year,species_code,sex,sex_desc,iss,nss,nhl
1991,3005012,0,total_pre,67.70639018218085,335,23
1991,3005012,1,male,35.36993765824034,164,19
1991,3005012,2,female,39.8798060940945,171,22
1991,3005012,4,total_post,60.943318139953206,335,23
1991,3005012,12,female_male,76.70866189815096,335,23
1994,3005012,0,total_pre,90.14931440487076,408,61
1994,3005012,1,male,34.63320325244575,199,48
1994,3005012,2,female,50.39450845796437,209,50
1994,3005012,4,total_post,77.9195734279279,408,61
1994,3005012,12,female_male,85.18913799125406,408,61
1997,3005012,0,total_pre,128.3579796450839,424,68
1997,3005012,1,male,60.596096659851305,215,56
1997,3005012,2,female,67.47835187488683,209,53
1997,3005012,4,total_post,118.07081731223616,424,68
1997,3005012,12,female_male,129.04746249029148,424,68
2000,3005012,0,total_pre,116.69355980384188,446,80
2000,3005012,1,male,63.4835519619027,228,69
2000,3005012,2,female,54.311943829381676,218,62
2000,3005012,4,total_post,105.41527783637476,446,80
2000,3005012,12,female_male,119.45011711809185,446,80
2002,3005012,0,total_pre,110.22180507488693,369,73
2002,3005012,1,male,46.800303402720004,185,61
2002,3005012,2,female,54.92241774300051,184,52
2002,3005012,4,total_post,93.63290088007264,369,73
2002,3005012,12,female_male,99.41151922974365,369,73
2004,3005012,0,total_pre,118.65098365226655,438,89
2004,3005012,1,male,47.82292616140465,214,63
2004,3005012,2,female,52.75494405370837,224,73
2004,3005012,4,total_post,101.29458424224856,438,89
2004,3005012,12,female_male,102.15871268104539,438,89
2006,3005012,0,total_pre,98.7157531988439,408,86
2006,3005012,1,male,52.3009490320485,199,65
2006,3005012,2,female,46.62422653702162,209,62
2006,3005012,4,total_post,88.82315107766999,408,86
2006,3005012,12,female_male,99.75896427419435,408,86
2010,3005012,0,total_pre,97.23877344101321,482,76
2010,3005012,1,male,50.10894827946736,249,63
2010,3005012,2,female,55.75500910391056,231,52
2010,3005012,4,total_post,87.59076636435415,482,76
2010,3005012,12,female_male,106.94802476774531,480,76
2012,3005012,0,total_pre,89.8106591036739,526,98
2012,3005012,1,male,52.549397002957505,275,79
2012,3005012,2,female,47.37865049619246,248,74
2012,3005012,4,total_post,81.53714298452977,526,98
2012,3005012,12,female_male,101.40408137812369,523,97
2014,3005012,0,total_pre,98.375931982589,431,79
2014,3005012,1,male,54.11619651721644,215,65
2014,3005012,2,female,48.38211207910226,216,61
2014,3005012,4,total_post,86.14110949344783,431,79
2014,3005012,12,female_male,103.02455361928175,431,79
2016,3005012,0,total_pre,54.518627380751205,323,97
2016,3005012,1,male,24.357310487052825,167,79
2016,3005012,2,female,38.899095315983075,156,74
2016,3005012,4,total_post,53.55801461964635,323,97
2016,3005012,12,female_male,59.94789264313707,323,97
2018,3005012,0,total_pre,57.506806777765604,314,96
2018,3005012,1,male,37.483863506103326,157,73
2018,3005012,2,female,25.17821397350109,154,70
2018,3005012,4,total_post,57.19510727520326,314,96
2018,3005012,12,female_male,63.320658989058515,311,95
