year,species_code,sex,sex_desc,iss,nss,nhls
2000,10112,4,total_post,444.90736819266783,3063,202
2000,10112,12,female_male,520.6824076538409,3063,202
2000,21720,0,total_pre,713.2805630792988,5924,278
2000,21720,1,male,482.3195370934038,2994,250
2000,21720,2,female,471.83402900234034,2930,247
2000,21720,4,total_post,713.2805511692872,5924,278
2000,21720,12,female_male,952.0650644881782,5924,278
2000,21740,0,total_pre,253.34987188583904,9815,254
2000,21740,1,male,188.36283709206788,4565,203
2000,21740,2,female,224.33787653587032,5237,222
2000,21740,4,total_post,253.3498768880233,9815,254
2000,21740,12,female_male,408.3912428945198,9802,252
2000,21921,0,total_pre,87.90333806812403,7710,128
2000,21921,1,male,65.07833927276013,3325,104
2000,21921,2,female,114.64989394190508,3537,99
2000,21921,4,total_post,87.90333804262382,7710,128
2000,21921,12,female_male,173.8450767696833,6862,127
2000,30060,0,total_pre,412.899095695987,21260,243
2000,30060,1,male,306.1636985606099,11786,230
2000,30060,2,female,252.90991853465306,9376,226
2000,30060,4,total_post,412.8990910648025,21260,243
2000,30060,12,female_male,559.529204866737,21162,242
2000,30420,0,total_pre,219.87030606105225,7230,131
2000,30420,1,male,154.38307888817846,2940,106
2000,30420,2,female,167.25698399564862,4284,110
2000,30420,4,total_post,219.8703067240125,7230,131
2000,30420,12,female_male,309.7712540065366,7224,130
2002,10110,0,total_pre,1298.1444592171579,12727,313
2002,10110,1,male,563.1630790572384,4421,272
2002,10110,2,female,1039.7546297445072,8294,289
2002,10110,4,total_post,1298.1441624551687,12727,313
2002,10110,12,female_male,1582.2251318145416,12715,312
2002,10112,0,total_pre,420.33746723463497,2638,186
2002,10112,1,male,303.03139924472805,1481,148
2002,10112,2,female,233.8717089254506,1157,152
2002,10112,4,total_post,420.3372247347628,2638,186
2002,10112,12,female_male,444.34454748778893,2638,186
2002,21720,0,total_pre,798.4597103947715,4829,249
2002,21720,1,male,530.8508711662562,2486,224
2002,21720,2,female,510.2931207952196,2328,221
2002,21720,4,total_post,798.4595173635687,4829,249
2002,21720,12,female_male,1041.9216926274594,4814,249
2002,21740,0,total_pre,483.00934724261964,13332,263
2002,21740,1,male,317.8313524325312,5808,216
2002,21740,2,female,385.76960066162866,7476,227
2002,21740,4,total_post,483.0093441774312,13332,263
2002,21740,12,female_male,695.1588402119351,13284,261
2002,21921,0,total_pre,299.35239608375196,15544,228
2002,21921,1,male,254.65503710238525,7874,195
2002,21921,2,female,261.6723973303596,7653,191
2002,21921,4,total_post,299.35239514173793,15544,228
2002,21921,12,female_male,524.2387134429097,15527,227
2002,30060,0,total_pre,316.5448193542044,19810,237
2002,30060,1,male,256.60622146847186,11505,215
2002,30060,2,female,235.8003035354094,8279,216
2002,30060,4,total_post,316.5448191604147,19810,237
2002,30060,12,female_male,482.79867927689713,19784,236
2002,30420,0,total_pre,296.7928958896649,9355,148
2002,30420,1,male,205.1639267061102,3715,120
2002,30420,2,female,266.80177444947094,5640,129
2002,30420,4,total_post,296.7928947901643,9355,148
2002,30420,12,female_male,469.423650928231,9355,148
2004,10110,0,total_pre,1349.9038897491123,11526,302
2004,10110,1,male,489.1428672526559,4206,254
2004,10110,2,female,1001.7060556923957,7319,280
2004,10110,4,total_post,1349.9040354004103,11526,302
2004,10110,12,female_male,1448.6663929588522,11525,301
2004,10112,0,total_pre,388.92339990435175,3631,231
2004,10112,1,male,256.5959693218165,2132,193
2004,10112,2,female,275.9773505957642,1498,198
2004,10112,4,total_post,388.9232878553345,3631,231
2004,10112,12,female_male,469.6894209445481,3630,231
2004,21720,0,total_pre,992.6768270803761,4979,250
2004,21720,1,male,591.2775752786929,2563,229
2004,21720,2,female,600.7177812753844,2415,212
2004,21720,4,total_post,992.6770464481434,4979,250
2004,21720,12,female_male,1193.4071005452795,4978,250
2004,21740,0,total_pre,282.9690001702175,8460,236
2004,21740,1,male,175.5680902659521,3847,195
2004,21740,2,female,206.45567236800298,4605,204
2004,21740,4,total_post,282.96901169849144,8460,236
2004,21740,12,female_male,378.0182384186776,8452,234
2004,21921,0,total_pre,628.4123299264395,18366,244
2004,21921,1,male,468.9122853640513,8974,228
