region,year,species_code,length,sex,abund
wai,1991,10110,17,0,47256
wai,1991,10110,17,2,47256
wai,1991,10110,19,0,15994
wai,1991,10110,19,2,15994
wai,1991,10110,20,0,15994
wai,1991,10110,20,1,15994
wai,1991,10110,21,0,34828
wai,1991,10110,21,1,17414
wai,1991,10110,21,2,17414
wai,1991,10110,22,0,74087
wai,1991,10110,22,1,47256
wai,1991,10110,22,2,26831
wai,1991,10110,23,0,215760
wai,1991,10110,23,1,72667
wai,1991,10110,23,2,143092
wai,1991,10110,24,0,56673
wai,1991,10110,24,1,9417
wai,1991,10110,24,2,47256
wai,1991,10110,25,0,264509
wai,1991,10110,25,1,132254
wai,1991,10110,25,2,132254
wai,1991,10110,26,0,207713
wai,1991,10110,26,1,191719
wai,1991,10110,26,2,15994
wai,1991,10110,27,0,165196
wai,1991,10110,27,1,31545
wai,1991,10110,27,2,133651
wai,1991,10110,28,0,187788
wai,1991,10110,28,1,34429
wai,1991,10110,28,2,153359
wai,1991,10110,29,0,90165
wai,1991,10110,29,1,55736
wai,1991,10110,29,2,34429
wai,1991,10110,30,0,57616
wai,1991,10110,30,1,16960
wai,1991,10110,30,2,40656
wai,1991,10110,31,0,55736
wai,1991,10110,31,1,47256
wai,1991,10110,31,2,8480
wai,1991,10110,32,0,53747
wai,1991,10110,32,1,45267
wai,1991,10110,32,2,8480
wai,1991,10110,33,0,85392
wai,1991,10110,33,1,62327
wai,1991,10110,33,2,23064
wai,1991,10110,34,0,130733
wai,1991,10110,34,1,110406
wai,1991,10110,34,2,20328
wai,1991,10110,35,0,198834
wai,1991,10110,35,1,151151
wai,1991,10110,35,2,47683
wai,1991,10110,36,0,309953
wai,1991,10110,36,1,172974
wai,1991,10110,36,2,136981
wai,1991,10110,37,0,368544
wai,1991,10110,37,1,241524
wai,1991,10110,37,2,127020
wai,1991,10110,38,0,372516
wai,1991,10110,38,1,217574
wai,1991,10110,38,2,154941
wai,1991,10110,39,0,225033
wai,1991,10110,39,1,56501
wai,1991,10110,39,2,168532
wai,1991,10110,40,0,284857
wai,1991,10110,40,1,134639
wai,1991,10110,40,2,150217
wai,1991,10110,41,0,144560
wai,1991,10110,41,1,26809
wai,1991,10110,41,2,117751
wai,1991,10110,42,0,129166
wai,1991,10110,42,1,54219
wai,1991,10110,42,2,74947
wai,1991,10110,43,0,81180
wai,1991,10110,43,1,28216
wai,1991,10110,43,2,52965
wai,1991,10110,44,0,122374
wai,1991,10110,44,1,80712
wai,1991,10110,44,2,41662
wai,1991,10110,45,0,166856
wai,1991,10110,45,1,88376
wai,1991,10110,45,2,78480
wai,1991,10110,46,0,130035
wai,1991,10110,46,1,45817
wai,1991,10110,46,2,84218
wai,1991,10110,47,0,230757
wai,1991,10110,47,1,79430
wai,1991,10110,47,2,151327
wai,1991,10110,48,0,83115
wai,1991,10110,48,2,83115
wai,1991,10110,49,0,199495
wai,1991,10110,49,1,36403
wai,1991,10110,49,2,163092
wai,1991,10110,50,0,201529
wai,1991,10110,50,1,16477
wai,1991,10110,50,2,185053
wai,1991,10110,51,0,115289
wai,1991,10110,51,1,26070
wai,1991,10110,51,2,89219
wai,1991,10110,52,0,80264
wai,1991,10110,52,1,35919
wai,1991,10110,52,2,44345
wai,1991,10110,53,0,17999
wai,1991,10110,53,2,17999
wai,1991,10110,54,0,48189
wai,1991,10110,54,2,48189
wai,1991,10110,55,0,14765
wai,1991,10110,55,2,14765
wai,1991,10110,56,0,53954
wai,1991,10110,56,1,9417
wai,1991,10110,56,2,44537
wai,1991,10110,57,0,60224
wai,1991,10110,57,2,60224
wai,1991,10110,58,0,10832
wai,1991,10110,58,2,10832
wai,1991,10110,59,0,15072
wai,1991,10110,59,2,15072
wai,1991,10110,60,0,5677
wai,1991,10110,60,2,5677
wai,1991,10110,61,0,10375
wai,1991,10110,61,2,10375
wai,1991,10110,62,0,16033
wai,1991,10110,62,2,16033
wai,1991,10110,63,0,30752
wai,1991,10110,63,2,30752
wai,1991,10110,64,0,19920
wai,1991,10110,64,2,19920
wai,1991,10110,65,0,34460
wai,1991,10110,65,2,34460
wai,1991,10110,66,0,71795
