region,year,species_code,sex,age,agepop,mean_length,sd_length
wai,1991,21720,1,1,6676,26,0
wai,1991,21720,1,2,526749,42.37,3.85
wai,1991,21720,1,3,746325,49.32,5.34
wai,1991,21720,1,4,1970747,62.01,4.25
wai,1991,21720,1,5,2984878,70.05,5.69
wai,1991,21720,1,6,563124,79.38,8.35
wai,1991,21720,1,7,667248,79.82,1.2
wai,1991,21720,1,8,263525,82.91,1
wai,1991,21720,1,10,184232,86,0
wai,1991,21720,2,1,57539,37,0
wai,1991,21720,2,2,530535,39.21,4.11
wai,1991,21720,2,3,510502,52.99,5.07
wai,1991,21720,2,4,2256526,63.92,7.42
wai,1991,21720,2,5,3092316,70.5,6.99
wai,1991,21720,2,6,276595,83.41,7.42
wai,1991,21720,2,7,243020,85.82,2.08
wai,1991,21720,2,8,399946,73,0
wai,1991,30060,1,2,129756,15.99,1.73
wai,1991,30060,1,3,2991601,17.31,0.82
wai,1991,30060,1,4,204130,21,0
wai,1991,30060,1,5,5426779,24.52,1.27
wai,1991,30060,1,6,4383268,27.04,1.88
wai,1991,30060,1,7,45792575,29.38,1.2
wai,1991,30060,1,8,14027005,29.56,2.26
wai,1991,30060,1,9,32791126,33.26,1.66
wai,1991,30060,1,10,9609797,35.13,2.78
wai,1991,30060,1,11,7514392,35.77,1.81
wai,1991,30060,1,12,7795239,36.9,1.03
wai,1991,30060,1,13,4643640,34.32,0.95
wai,1991,30060,1,14,9140337,36.77,1.97
wai,1991,30060,1,18,867824,40,0
wai,1991,30060,1,20,1991878,37,0
wai,1991,30060,1,32,1581139,33,0
wai,1991,30060,1,50,68709,41,0
wai,1991,30060,1,52,294952,42,0
wai,1991,30060,2,2,189213,15,0
wai,1991,30060,2,3,1362112,17.56,0.5
wai,1991,30060,2,4,1687104,20.07,3.02
wai,1991,30060,2,5,443425,23.24,0.97
wai,1991,30060,2,6,569876,24.52,0.5
wai,1991,30060,2,7,39993740,29.03,1.36
wai,1991,30060,2,8,12793192,29.32,1.42
wai,1991,30060,2,9,17193335,35.33,2.94
wai,1991,30060,2,10,28236450,36.66,1.56
wai,1991,30060,2,11,21234527,34.97,2.57
wai,1991,30060,2,12,9270183,36.95,1.84
wai,1991,30060,2,13,5386188,39.28,0.45
wai,1991,30060,2,14,11228615,39.91,0.77
wai,1991,30060,2,15,7638638,40.04,1.92
wai,1991,30060,2,16,1488855,40,0
wai,1991,30060,2,18,5585495,41.47,0.88
wai,1991,30060,2,19,1923152,43,0
wai,1991,30060,2,29,1885174,45,0
wai,1991,30060,2,47,4749890,42.59,1.96
wai,1991,30060,2,50,4096640,42,0
wai,1991,30060,2,63,1923152,43,0
wai,1991,30060,2,66,7879432,43.76,0.43
wai,1991,30060,2,79,2864717,41,0
wai,1991,30060,3,2,1892294,15.07,0.51
wai,1991,30060,3,3,1355957,17.38,0.9
wai,1991,30060,3,4,323326,17.15,1.25
wai,1991,30060,3,5,103404,20,0
wai,1994,21720,1,1,44588,25.29,1.51
wai,1994,21720,1,2,75425,37.82,3.04
wai,1994,21720,1,3,139320,51.62,3.64
wai,1994,21720,1,4,237460,56.07,3.11
wai,1994,21720,1,5,608953,67.94,4.2
wai,1994,21720,1,6,467663,76.03,3.54
wai,1994,21720,1,7,246711,85.46,5.88
wai,1994,21720,1,8,235516,86.69,5.95
wai,1994,21720,2,1,37421,21.38,2.87
wai,1994,21720,2,2,37907,37.21,4.39
wai,1994,21720,2,3,153350,47.48,4.05
wai,1994,21720,2,4,233537,56.25,3.56
wai,1994,21720,2,5,652149,66.87,6.39
wai,1994,21720,2,6,434180,75.69,4.07
wai,1994,21720,2,7,87554,90.93,5.7
wai,1994,21720,2,8,177288,90.82,5.16
wai,1994,21720,2,9,4218,100,0
wai,1994,21720,2,10,23079,93.27,5.16
wai,1994,21740,1,1,6776191,18.13,1.26
wai,1994,21740,1,2,301935,30.34,1.97
wai,1994,21740,1,3,760474,37.53,3.77
wai,1994,21740,1,4,464559,46.34,5.7
wai,1994,21740,1,5,185661,49.41,3.58
wai,1994,21740,1,6,193892,50.64,0.48
wai,1994,21740,1,7,220138,51.29,2.49
wai,1994,21740,1,8,604503,50.98,3.01
wai,1994,21740,1,9,187409,54.76,4.7
wai,1994,21740,1,10,538114,53.65,2.88
wai,1994,21740,1,11,527059,53.96,3.83
wai,1994,21740,1,12,178690,56.74,2.3
wai,1994,21740,1,13,42258,61.89,8.45
wai,1994,21740,1,16,101959,53.12,1.79
wai,1994,21740,1,17,73532,52,0
wai,1994,21740,2,1,4743617,18.54,1.27
wai,1994,21740,2,2,426108,29.52,2.89
wai,1994,21740,2,3,772328,38.89,4.1
wai,1994,21740,2,4,626146,49.35,2.83
wai,1994,21740,2,5,405514,50.01,1.15
wai,1994,21740,2,6,726558,53.66,3.45
wai,1994,21740,2,7,574062,55.93,1.92
wai,1994,21740,2,8,1147415,55.88,5.25
wai,1994,21740,2,9,101466,64.54,5.79
wai,1994,21740,2,10,1047099,58.88,4.92
wai,1994,21740,2,11,588846,59.97,4.59
wai,1994,21740,2,12,365853,59.64,4.87
wai,1994,21740,2,13,145911,69.12,1.98
wai,1994,21740,2,14,247318,58.35,1.25
wai,1994,21740,2,15,82640,59,0
wai,1994,21740,2,16,249132,61.07,4.4
wai,1994,21740,2,17,113130,58,0
wai,1994,21740,3,1,93285,18.46,1.52
wai,1994,21740,3,2,1489,21,0
wai,1994,21921,1,2,7722308,24.79,2.01
wai,1994,21921,1,3,69375435,32.49,1.82
wai,1994,21921,1,4,27050595,34.31,2.19
wai,1994,21921,1,5,28035326,35.71,1.52
wai,1994,21921,1,6,22209433,37.3,2.36
wai,1994,21921,1,7,12307293,37.73,1.14
wai,1994,21921,1,8,22264716,38.02,2.47
wai,1994,21921,1,9,11792935,38.78,0.81
wai,1994,21921,1,10,3450497,39,0
wai,1994,21921,2,2,7528026,25.46,2.09
wai,1994,21921,2,3,59110235,32.6,2.2
wai,1994,21921,2,4,15705619,36.08,0.86
wai,1994,21921,2,5,75350445,37.2,1.87
wai,1994,21921,2,6,42431171,37.09,2.05
wai,1994,21921,2,7,9238770,38.87,0.99
wai,1994,21921,2,8,26049961,39.09,2.23
wai,1994,21921,2,9,12914421,38.55,1.95
wai,1994,21921,2,10,43214361,39.56,2.17
wai,1994,21921,2,11,8283221,35.27,0.78
wai,1994,30060,1,3,3049,17,0
wai,1994,30060,1,4,175719,24,0
wai,1994,30060,1,5,212279,23.67,2.01
wai,1994,30060,1,6,3626095,26.26,1.59
wai,1994,30060,1,7,5255252,26.6,0.63
wai,1994,30060,1,8,5319682,28.93,1.47
wai,1994,30060,1,9,8309235,30.67,3.18
wai,1994,30060,1,10,26833907,31.97,1.57
wai,1994,30060,1,11,26207412,32.6,1.88
wai,1994,30060,1,12,8980299,33.21,2.37
wai,1994,30060,1,13,13530474,33.39,1.04
wai,1994,30060,1,14,10843614,33.7,1.28
wai,1994,30060,1,16,2415998,37.44,1.44
