year,species_code,sex,sex_desc,iss,nss,nhls
1991,3005012,0,total_pre,166.43267685236944,834,30
1991,3005012,1,male,109.7915854965786,421,29
1991,3005012,2,female,91.17876436932194,413,29
1991,3005012,4,total_post,166.4326138541117,834,30
1991,3005012,12,female_male,198.30403979607223,834,30
1994,3005012,0,total_pre,478.33982464014053,2095,93
1994,3005012,1,male,256.3887018924035,1005,80
1994,3005012,2,female,287.95424531578794,1090,83
1994,3005012,4,total_post,478.33996746651974,2095,93
1994,3005012,12,female_male,532.072411938827,2095,93
1997,3005012,0,total_pre,264.2265135677209,1232,92
1997,3005012,1,male,152.62722252699243,627,78
1997,3005012,2,female,160.20596426299724,605,74
1997,3005012,4,total_post,264.2267095209579,1232,92
1997,3005012,12,female_male,313.4096194473366,1232,92
2000,3005012,0,total_pre,374.6908929303707,1606,112
2000,3005012,1,male,230.22132150605674,787,98
2000,3005012,2,female,206.4978859706265,763,86
2000,3005012,4,total_post,374.6908613584345,1606,112
2000,3005012,12,female_male,439.55528024973245,1550,111
2002,3005012,0,total_pre,161.00619631496778,1064,87
2002,3005012,1,male,87.18421194074224,558,74
2002,3005012,2,female,95.85446118236275,505,64
2002,3005012,4,total_post,161.00621779440976,1064,87
2002,3005012,12,female_male,171.872849395955,1063,87
2004,3005012,0,total_pre,379.3068832498941,1507,111
2004,3005012,1,male,202.83336961783877,680,88
2004,3005012,2,female,235.77065585157027,823,98
2004,3005012,4,total_post,379.3069478471546,1507,111
2004,3005012,12,female_male,433.6744719794071,1503,111
2006,3005012,0,total_pre,293.817582651436,1070,106
2006,3005012,1,male,186.2381637310553,538,83
2006,3005012,2,female,170.66778151946636,532,78
2006,3005012,4,total_post,293.8177405394592,1070,106
2006,3005012,12,female_male,357.32634694302067,1070,106
2010,3005012,0,total_pre,182.63988407244446,986,78
2010,3005012,1,male,110.29342784361822,517,66
2010,3005012,2,female,108.45015489131764,464,60
2010,3005012,4,total_post,182.6397797839749,986,78
2010,3005012,12,female_male,218.623249239856,981,78
2012,3005012,0,total_pre,171.21412716895307,1286,103
2012,3005012,1,male,121.53541931421762,643,85
2012,3005012,2,female,110.0722488957005,640,77
2012,3005012,4,total_post,171.21415814375246,1286,103
2012,3005012,12,female_male,235.2648200813472,1283,102
2014,3005012,0,total_pre,199.8739962244144,1014,96
2014,3005012,1,male,132.69326986091465,494,84
2014,3005012,2,female,118.89262282782829,520,70
2014,3005012,4,total_post,199.87403598737552,1014,96
2014,3005012,12,female_male,249.447578274208,1014,96
2016,3005012,0,total_pre,250.0671316200275,1574,105
2016,3005012,1,male,143.4276932382361,803,86
2016,3005012,2,female,130.9940402269703,766,80
2016,3005012,4,total_post,250.0670692754384,1574,105
2016,3005012,12,female_male,271.94969186414664,1569,105
2018,3005012,0,total_pre,189.6435266839836,1209,104
2018,3005012,1,male,121.29550667777056,628,79
2018,3005012,2,female,113.00292074210323,559,79
2018,3005012,4,total_post,189.64342759982907,1209,104
2018,3005012,12,female_male,227.62481670018136,1187,103
2022,3005012,0,total_pre,148.87322404530582,2119,134
2022,3005012,1,male,102.57523308323609,1186,109
2022,3005012,2,female,100.97359310537965,932,110
2022,3005012,4,total_post,148.87306798183977,2119,134
2022,3005012,12,female_male,201.66892501819504,2118,134
