year,species_code,sex,age,agepop,mean_length,sd_length
1991,21720,1,1,801445,24.03,5.26
1991,21720,1,2,12106678,35.84,3.24
1991,21720,1,3,4989881,46.67,7.08
1991,21720,1,4,6705577,62.19,7.47
1991,21720,1,5,6061174,69.02,6.44
1991,21720,1,6,2398753,76.18,7.65
1991,21720,1,7,1187442,81.57,4.29
1991,21720,1,8,903072,79.95,6.68
1991,21720,1,9,167663,80,0
1991,21720,1,10,449202,84.7,2.65
1991,21720,2,1,462488,27.27,6.79
1991,21720,2,2,11488994,35.34,3.59
1991,21720,2,3,3660682,48.98,5.84
1991,21720,2,4,6787294,63.18,7.79
1991,21720,2,5,5416994,71.4,7.2
1991,21720,2,6,1552754,77.89,6.33
1991,21720,2,7,907043,83.39,5.86
1991,21720,2,8,641338,80.32,7.84
1991,21720,2,9,271307,90.45,1.07
1991,21720,2,10,160150,97.94,1
1991,21720,2,11,6524,109,0
1991,21740,1,2,5919177,31.16,1.78
1991,21740,1,3,8973334,37.31,4.24
1991,21740,1,4,19854087,45.16,2.88
1991,21740,1,5,11209023,46.96,3.06
1991,21740,1,6,3426248,48,3.4
1991,21740,1,7,4495083,49.88,2.89
1991,21740,1,8,3767386,50.77,2.39
1991,21740,1,9,8771786,51.37,2.21
1991,21740,1,10,3200885,52.1,2.65
1991,21740,1,11,4321951,51.78,2.86
1991,21740,1,12,2930519,51.1,2.15
1991,21740,1,13,6526539,51.62,2.01
1991,21740,1,14,5505788,52.21,2.89
1991,21740,1,15,3433757,52.07,3.06
1991,21740,1,16,1113465,53.03,3.12
1991,21740,1,17,302846,53,0
1991,21740,1,18,451444,50,0
1991,21740,1,19,667517,51.79,2.48
1991,21740,1,20,516345,49.7,1.49
1991,21740,1,21,451444,50,0
1991,21740,2,2,6848666,31.85,1.95
1991,21740,2,3,8490364,37.58,3.21
1991,21740,2,4,21806273,45.89,3.09
1991,21740,2,5,10330085,48.2,3.79
1991,21740,2,6,4129147,52.79,2.53
1991,21740,2,7,4885690,53.29,3.55
1991,21740,2,8,2127739,55.09,4.91
1991,21740,2,9,9016493,54.52,3.77
1991,21740,2,10,4868227,55.43,3.24
1991,21740,2,11,6729131,55.97,3.46
1991,21740,2,12,1882948,56.58,3.35
1991,21740,2,13,8279885,55.54,3.8
1991,21740,2,14,4437557,55.61,2.19
1991,21740,2,15,902860,56.58,3.08
1991,21740,2,16,1643407,56.48,3.46
1991,21740,2,18,508605,52.17,1.97
1991,21921,1,2,35300959,25.4,1.45
1991,21921,1,3,489014682,31.67,3.28
1991,21921,1,4,41178150,36.75,3.2
1991,21921,1,5,121013192,35.52,2.36
1991,21921,1,6,33798840,37.96,1
1991,21921,1,7,40680004,38.72,2.84
1991,21921,1,8,13049089,39,0
1991,21921,2,2,25073852,25.5,1.68
1991,21921,2,3,370168220,31.62,3.78
1991,21921,2,4,59523420,34.85,2.7
1991,21921,2,5,123787609,36.49,2.21
1991,21921,2,6,53347571,36.98,2.6
1991,21921,2,7,69163822,38.88,1.39
1991,21921,2,8,9083004,36.05,1.39
1991,21921,2,9,10063820,41.03,0.41
1991,21921,2,10,31257,49,0
1991,30060,1,1,467402,14.12,1.52
1991,30060,1,2,1874536,17.85,1.72
1991,30060,1,3,7344777,18.82,1.96
1991,30060,1,4,8385599,21.69,3.11
1991,30060,1,5,20979667,25.61,2.05
1991,30060,1,6,17513816,26.89,1.91
1991,30060,1,7,62769609,29.72,1.72
1991,30060,1,8,39032702,30.21,1.86
1991,30060,1,9,28449399,32.72,1.99
1991,30060,1,10,23132271,33.42,1.86
1991,30060,1,11,12781677,34.07,1.74
1991,30060,1,12,16805371,34.5,2.16
1991,30060,1,13,8985922,34.44,1.03
1991,30060,1,14,8103358,35.7,1.58
1991,30060,1,15,3760860,36.3,1.24
1991,30060,1,18,92708,40,0
1991,30060,1,19,883892,37,0
1991,30060,1,20,2190748,35.81,0.98
1991,30060,1,24,1970438,38.43,0.58
1991,30060,1,25,1308839,37.72,1.06
1991,30060,1,27,332239,39,0
1991,30060,1,28,332239,39,0
1991,30060,1,29,606626,38,0
1991,30060,1,31,401291,39.52,1.13
1991,30060,1,32,1315910,33.49,1.79
1991,30060,1,33,92708,40,0
1991,30060,1,34,606626,38,0
1991,30060,1,36,69052,42,0
1991,30060,1,37,606626,38,0
1991,30060,1,38,174690,43,0
1991,30060,1,39,332239,39,0
1991,30060,1,40,2374409,37.26,0.44
1991,30060,1,41,1333461,36.28,1.02
1991,30060,1,42,2684155,36.02,2.1
1991,30060,1,43,1240753,36,0
1991,30060,1,44,92708,40,0
1991,30060,1,45,69052,42,0
1991,30060,1,46,220288,40.16,0.37
1991,30060,1,47,92708,40,0
1991,30060,1,48,2159516,36.49,0.76
1991,30060,1,50,591610,41.24,1.31
1991,30060,1,51,367111,39.19,0.59
1991,30060,1,52,1706549,37.13,2.09
1991,30060,1,53,1857628,37.76,0.88
1991,30060,1,54,973737,38.45,0.68
1991,30060,1,55,332239,39,0
1991,30060,1,56,332239,39,0
1991,30060,1,61,883892,37,0
1991,30060,1,62,699334,38.27,0.68
1991,30060,1,65,883892,37,0
1991,30060,1,69,976600,37.28,0.88
1991,30060,1,75,69052,42,0
1991,30060,1,76,332239,39,0
1991,30060,1,86,92708,40,0
1991,30060,2,2,732482,15.77,1.82
1991,30060,2,3,6693390,18.38,1.79
1991,30060,2,4,6940135,21.78,3
1991,30060,2,5,9289176,25.59,1.68
1991,30060,2,6,13942443,27.1,2.33
1991,30060,2,7,69682542,29.52,1.72
1991,30060,2,8,18563631,29.77,1.55
1991,30060,2,9,29094267,34.61,2.63
1991,30060,2,10,45679060,35.32,2.3
1991,30060,2,11,22560081,34.79,2.5
1991,30060,2,12,20139354,36.05,1.75
1991,30060,2,13,10126095,36.95,2.08
1991,30060,2,14,15641220,38.57,2.06
1991,30060,2,15,8119891,39.28,1.73
1991,30060,2,16,1195514,40,0
1991,30060,2,17,1446410,39,0
1991,30060,2,18,6191036,41.61,0.79
1991,30060,2,19,1114624,43,0
1991,30060,2,23,1114624,43,0
1991,30060,2,29,989214,45,0
1991,30060,2,31,1982487,41,0
1991,30060,2,40,1195514,40,0
1991,30060,2,41,1195514,40,0
1991,30060,2,42,2135284,44,0
1991,30060,2,43,3178002,40.62,0.48
1991,30060,2,45,2435623,41.44,2.95
1991,30060,2,46,3296332,40.1,3.21
1991,30060,2,47,4167215,41.66,1.91
1991,30060,2,48,1446410,39,0
1991,30060,2,50,8092633,41.89,0.61
1991,30060,2,52,3315520,41.51,3.35
1991,30060,2,54,2229248,43,0
1991,30060,2,63,1114624,43,0
1991,30060,2,66,4696318,42.22,2.19
1991,30060,2,73,2307119,38,0
1991,30060,2,79,1982487,41,0
1991,30060,2,80,1195514,40,0
1991,30060,3,1,1472925,13.51,0.9
1991,30060,3,2,3564947,14.4,1.18
1991,30060,3,3,2227519,16.8,1.61
1991,30060,3,4,607378,17.84,1.3
1991,30060,3,5,73251,19.72,0.85
1991,30060,3,6,1049,23,0
1991,30060,3,7,1049,23,0
1991,30420,1,5,1754401,20,0
1991,30420,1,6,5681640,24.69,0.97
1991,30420,1,7,40874683,27.47,2.2
1991,30420,1,8,9216269,29.39,1.98
1991,30420,1,9,7509076,29.1,1.26
1991,30420,1,10,15750782,30.9,1.3
1991,30420,1,11,7883640,30.94,1.57
1991,30420,1,12,8602728,31.3,1.41
1991,30420,1,13,6337571,30.76,2.23
1991,30420,1,14,3246858,32.59,0.91
1991,30420,1,15,700024,30,0
1991,30420,1,16,700024,30,0
1991,30420,1,17,3780588,32.95,1.47
1991,30420,1,18,4227521,33.18,0.83
1991,30420,1,19,6618673,32.13,2.07
1991,30420,1,20,2554847,32.12,1.45
1991,30420,1,21,1174679,33,0
1991,30420,1,22,1174679,33,0
1991,30420,1,23,1322804,36,0
1991,30420,1,24,11145838,34.4,1.03
1991,30420,1,25,2833418,32.09,2.4
1991,30420,1,27,952942,34,0
1991,30420,1,29,1652967,32.31,1.98
1991,30420,1,33,952942,34,0
1991,30420,1,35,1174679,33,0
1991,30420,2,5,2012794,23,0
1991,30420,2,6,9024064,24.38,1.54
1991,30420,2,7,38491054,27.41,2.28
1991,30420,2,8,9168768,29.56,2.8
1991,30420,2,9,12123304,31.54,2.45
1991,30420,2,10,25623397,31.11,1.67
1991,30420,2,11,6048028,31.29,1.93
1991,30420,2,12,7336755,30.98,2.23
1991,30420,2,13,21488324,32.8,2.33
1991,30420,2,14,11065053,32.7,1.58
1991,30420,2,15,8986113,35.12,1.42
1991,30420,2,16,4163015,32.46,1.3
1991,30420,2,17,3936803,33.7,0.96
1991,30420,2,18,6945267,33.89,2.37
1991,30420,2,19,7363869,35.51,1.31
1991,30420,2,20,11877698,35.39,0.89
1991,30420,2,21,6395107,34.42,3.07
1991,30420,2,22,13376055,35.4,1.24
1991,30420,2,23,6239243,35.96,1.42
1991,30420,2,24,10382350,35.2,1.23
1991,30420,2,25,8083876,34.2,1.72
1991,30420,2,26,8255325,33.45,1.07
1991,30420,2,27,1385500,35,0
1991,30420,2,28,2216679,31.3,1.98
1991,30420,2,29,8543065,35.3,1.75
1991,30420,2,30,2661151,34.04,1
1991,30420,2,31,4072738,33.12,0.82
1991,30420,2,33,1632981,34,0
1991,30420,2,34,1385500,35,0
1991,30420,2,38,8505118,37.13,3.18
1991,30420,2,39,1164106,32,0
1991,30420,2,40,1632981,34,0
1991,30420,2,43,1385500,35,0
1991,30420,2,47,1275652,33,0
1991,30420,2,48,1385500,35,0
1991,30420,2,49,1608205,37,0
1991,30420,2,51,1511749,38,0
1991,30420,2,53,1385500,35,0
1991,30420,2,54,1608205,37,0
1991,30420,2,68,1385500,35,0
1994,21720,1,1,8731410,17.27,1.94
1994,21720,1,2,1923401,35.96,3.32
1994,21720,1,3,3710810,47.19,4.69
1994,21720,1,4,2955468,56.24,6.32
1994,21720,1,5,6103450,65.85,4.93
1994,21720,1,6,3092702,75.02,5.56
1994,21720,1,7,3016873,84.32,8.03
1994,21720,1,8,1444598,88.1,6.56
1994,21720,1,9,200522,90.07,3.21
1994,21720,1,10,99303,93.37,2.5
1994,21720,2,1,7088440,17.06,2.11
1994,21720,2,2,1583113,35.76,3.24
1994,21720,2,3,3373279,47.14,4.17
1994,21720,2,4,3407777,58.38,7
1994,21720,2,5,4995444,66.68,6.57
1994,21720,2,6,3472115,76.59,6.23
1994,21720,2,7,2057012,85.99,7.83
1994,21720,2,8,1417003,93,5.71
1994,21720,2,9,519153,96.26,5.37
1994,21720,2,10,165614,98.35,6.43
1994,21720,2,11,97657,101.23,5.98
1994,21740,1,1,16714939,19.01,1.72
1994,21740,1,2,1213871,29.7,3.66
1994,21740,1,3,5080006,41.4,2.83
1994,21740,1,4,9370042,46.09,3.07
1994,21740,1,5,12146004,48.09,3.04
1994,21740,1,6,3821388,50.51,3.52
1994,21740,1,7,2458986,52.89,2.6
1994,21740,1,8,2524103,52.98,4.13
1994,21740,1,9,1065091,55,4.19
1994,21740,1,10,3553517,54.62,2.81
1994,21740,1,11,3158286,54.82,3.46
1994,21740,1,12,1453243,56.41,3.26
1994,21740,1,13,303891,60.08,5.01
1994,21740,1,14,208296,56.8,2.75
1994,21740,1,15,270864,57.87,2.26
1994,21740,1,16,625009,55.39,2.91
1994,21740,1,17,150318,52,0
1994,21740,1,18,54383,63,0
1994,21740,2,1,13456165,19.27,1.61
1994,21740,2,2,1145085,29.26,3.79
1994,21740,2,3,7136901,42.48,2.97
1994,21740,2,4,13484747,47.25,2.76
1994,21740,2,5,16797878,49.98,2.88
1994,21740,2,6,8797205,52.63,4.09
1994,21740,2,7,6350302,56.96,2.74
1994,21740,2,8,3978731,55.94,4.77
1994,21740,2,9,1960052,59.95,3.7
1994,21740,2,10,3383541,59.21,3.76
1994,21740,2,11,2389498,60.52,3.67
1994,21740,2,12,2344805,59.82,2.71
1994,21740,2,13,327422,66.83,2.82
1994,21740,2,14,1261162,59.27,2.72
1994,21740,2,15,260420,61.02,2.84
1994,21740,2,16,741367,57.84,4.03
1994,21740,2,17,294210,58,0
1994,21740,3,1,20949253,18.4,1.43
1994,21740,3,2,71582,21.42,1.15
1994,21921,1,2,8005479,24.65,1.96
1994,21921,1,3,98989048,32.7,1.77
1994,21921,1,4,54776417,36.6,2.36
1994,21921,1,5,87773344,39.6,3.18
1994,21921,1,6,82382419,41.28,2.74
1994,21921,1,7,23980908,40.51,2.12
1994,21921,1,8,21438560,40.4,3.26
1994,21921,1,9,9609371,39.87,1.18
1994,21921,1,10,1483298,39,0
1994,21921,2,2,7952561,25.33,2.01
1994,21921,2,3,81966535,32.91,2.09
1994,21921,2,4,58213606,37.05,1.77
1994,21921,2,5,103194139,37.89,2.04
1994,21921,2,6,115898367,40.43,2.81
1994,21921,2,7,29087594,42.13,2.28
1994,21921,2,8,44903570,42.79,3.43
1994,21921,2,9,13028618,41.7,3.45
1994,21921,2,10,29125459,40.53,2.51
1994,21921,2,11,4699385,35.21,0.83
1994,21921,3,2,1312059,20,0.05
1994,30060,1,2,678958,16.92,3.59
1994,30060,1,3,1060658,19.63,2.41
1994,30060,1,4,4225911,24.38,3.56
1994,30060,1,5,12119542,27.41,3.52
1994,30060,1,6,16770005,27.59,2.01
1994,30060,1,7,33670552,30.84,2.1
1994,30060,1,8,41305621,31.78,2.06
1994,30060,1,9,25153377,32.95,1.97
1994,30060,1,10,45430395,33.04,1.6
1994,30060,1,11,25693291,33.25,2.14
1994,30060,1,12,22158379,34.52,1.85
1994,30060,1,13,14042607,34.09,1.55
1994,30060,1,14,10110848,34.22,1.73
1994,30060,1,15,8227716,36.17,2
1994,30060,1,16,11192775,36.5,1.68
1994,30060,1,17,6066393,35.98,1.59
1994,30060,1,18,5696052,35.17,1.12
1994,30060,1,19,940733,37,0
1994,30060,1,20,1400756,38.56,1.01
1994,30060,1,21,527219,38,0
1994,30060,1,23,2413974,34.09,2.07
1994,30060,1,25,194567,41,0
1994,30060,1,26,1519109,37.76,0.97
1994,30060,1,27,527219,38,0
1994,30060,1,28,1736256,34,0
1994,30060,1,29,527219,38,0
1994,30060,1,30,249034,40,0
1994,30060,1,31,578376,39,0
1994,30060,1,35,249034,40,0
1994,30060,1,36,1051177,36,0
1994,30060,1,37,155938,43,0
1994,30060,1,38,249034,40,0
1994,30060,1,42,940733,37,0
1994,30060,1,44,155938,43,0
1994,30060,1,46,494981,40.8,0.87
1994,30060,1,47,97283,41,0
1994,30060,1,49,97283,41,0
1994,30060,1,50,245946,41.6,0.49
1994,30060,1,51,397697,40.75,0.97
1994,30060,1,52,983349,39.89,1.42
1994,30060,1,53,180151,44.09,0.42
1994,30060,1,54,527219,38,0
1994,30060,1,57,772943,39.5,0.87
1994,30060,1,58,578376,39,0
1994,30060,1,60,527219,38,0
1994,30060,1,62,249034,40,0
1994,30060,1,64,249034,40,0
1994,30060,1,67,297326,42,0
1994,30060,1,68,97283,41,0
1994,30060,1,76,80759,45,0
1994,30060,1,81,578376,39,0
1994,30060,2,1,18553,15,0
1994,30060,2,2,495067,15.87,2.45
1994,30060,2,3,639340,19.67,1.81
1994,30060,2,4,2001011,22.44,2
1994,30060,2,5,7826743,27.05,2.63
1994,30060,2,6,22244954,29.36,2.79
1994,30060,2,7,25105974,31.05,2.37
1994,30060,2,8,19656800,31.68,2.14
1994,30060,2,9,38811490,33.29,2.31
1994,30060,2,10,75326538,34.22,1.73
1994,30060,2,11,13385831,35.05,1.89
1994,30060,2,12,28634041,34.94,1.91
1994,30060,2,13,33731752,36.7,2.56
1994,30060,2,14,9405193,37.17,2.44
1994,30060,2,15,15317037,37.81,2.11
1994,30060,2,16,10677389,38.3,2.11
1994,30060,2,17,9651581,38.62,2.19
1994,30060,2,18,5201854,38.18,1.55
1994,30060,2,19,1186253,41.59,1.19
1994,30060,2,20,6121213,39.44,1.24
1994,30060,2,21,3632016,40.01,1.62
1994,30060,2,22,2428220,40.41,1.5
1994,30060,2,23,1542352,40.88,1.36
1994,30060,2,25,684040,43.34,0.47
1994,30060,2,26,1500180,41.36,2.22
1994,30060,2,27,3380544,40.57,1.3
1994,30060,2,28,233930,44,0
1994,30060,2,29,2822844,36.7,4.82
1994,30060,2,30,213409,46,0
1994,30060,2,33,2820003,34.46,2.58
1994,30060,2,34,952323,41,0
1994,30060,2,37,952323,41,0
1994,30060,2,39,233930,44,0
1994,30060,2,40,803738,42.58,0.91
1994,30060,2,41,1402434,41.64,0.93
1994,30060,2,42,407939,45,0
1994,30060,2,44,407939,45,0
1994,30060,2,46,569808,42,0
1994,30060,2,47,77469,48,0
1994,30060,2,48,519280,43.59,1.57
1994,30060,2,50,952323,41,0
1994,30060,2,52,450110,43,0
1994,30060,2,53,213409,46,0
1994,30060,2,54,1186253,41.59,1.19
1994,30060,2,55,1373546,42.34,0.75
1994,30060,2,56,292356,44.6,1.2
1994,30060,2,58,862164,42.88,1.42
1994,30060,2,59,407939,45,0
1994,30060,2,62,952323,41,0
1994,30060,2,63,10744,50,0
1994,30060,2,67,233930,44,0
1994,30060,2,68,213409,46,0
1994,30060,2,73,569808,42,0
1994,30060,2,76,569808,42,0
1994,30060,2,92,450110,43,0
1994,30060,2,93,1092241,40,0
1994,30060,3,1,25955,8.81,2.14
1994,30060,3,2,180888,13.26,0.94
1994,30060,3,3,27080,14.27,1.88
1994,30060,3,4,4779,18.26,2.65
1994,30060,3,5,1963,20.4,0.49
1994,30060,3,6,589,20.33,0.47
1994,30420,1,3,163679,17,0
1994,30420,1,5,1815839,19.26,2.65
1994,30420,1,6,2230470,23.4,2.6
1994,30420,1,7,3662757,24.53,2.76
1994,30420,1,8,10184276,27.49,2.95
1994,30420,1,9,9389453,27.16,2.55
1994,30420,1,10,18519628,28.71,2.59
1994,30420,1,11,6644732,28.78,2.33
1994,30420,1,12,4164874,27.54,4.17
1994,30420,1,13,3497756,30.06,3.08
1994,30420,1,14,316767,33,0
1994,30420,1,15,3823470,30.98,1.28
1994,30420,1,16,2855576,31.21,2.1
1994,30420,1,17,3778729,27.76,4.52
1994,30420,1,18,2745311,28.49,4.39
1994,30420,1,19,903959,30.65,4.2
1994,30420,1,20,1635978,30.87,1.53
1994,30420,1,21,1984194,27.09,3.28
1994,30420,1,22,1690604,28.92,2.63
1994,30420,1,23,368030,24,0
1994,30420,1,24,2293119,29.95,2.48
1994,30420,1,25,1519963,31.13,1.41
1994,30420,1,26,128362,37,0
1994,30420,1,27,731710,31.45,1.43
1994,30420,1,28,316767,33,0
1994,30420,1,31,113355,38,0
1994,30420,1,33,918465,29.62,2.94
1994,30420,1,34,316767,33,0
1994,30420,1,37,632049,32.25,0.66
1994,30420,1,41,982369,31.64,0.93
1994,30420,1,46,553398,32,0
1994,30420,1,50,804203,29,0
1994,30420,2,4,446491,18.94,1.76
1994,30420,2,5,925918,20.26,2.01
1994,30420,2,6,5664315,23,3.52
1994,30420,2,7,2882243,24.19,3.01
1994,30420,2,8,5779592,25.19,2.91
1994,30420,2,9,13040498,29.76,2.68
1994,30420,2,10,30217889,30.01,2.27
1994,30420,2,11,2203560,28.51,1.8
1994,30420,2,12,6273708,31.3,1.87
1994,30420,2,13,14205199,30.95,2.29
1994,30420,2,14,4437581,32.2,1.42
1994,30420,2,15,4923850,31.69,1.62
1994,30420,2,16,4447710,31.19,4.3
1994,30420,2,17,3738046,32.74,3.79
1994,30420,2,18,1526030,27.29,7.32
1994,30420,2,19,2574416,32.57,2.47
1994,30420,2,20,5166201,31.45,2.74
1994,30420,2,21,1132979,28.33,2.36
1994,30420,2,22,2201909,26.2,4.98
1994,30420,2,23,3472105,32.1,3.31
1994,30420,2,24,4570436,29.33,5.3
1994,30420,2,25,388706,37,0
1994,30420,2,26,2192691,29.96,2.27
1994,30420,2,27,544507,29,0
1994,30420,2,28,3060404,32.28,0.45
1994,30420,2,30,1402717,33.49,0.67
1994,30420,2,31,893575,30.78,1.81
1994,30420,2,32,854494,29.9,4
1994,30420,2,33,1263732,33.33,0.47
1994,30420,2,34,1953287,31.28,1.03
1994,30420,2,35,610811,29.19,5.34
1994,30420,2,37,277969,35,0
1994,30420,2,40,2629342,32.32,0.73
1994,30420,2,43,416335,34,0
1994,30420,2,45,2213007,32,0
1994,30420,2,46,232422,36,0
1994,30420,2,47,232422,36,0
1994,30420,2,48,138984,35,0
1994,30420,2,49,416335,34,0
1994,30420,2,54,291951,39,0
1994,30420,2,56,2213007,32,0
1994,30420,2,66,416335,34,0
1994,30420,3,4,692,16,0
1994,30420,3,5,1385,16,0
1997,21720,1,1,1562590,23.18,2.01
1997,21720,1,2,1941196,37.39,3.22
1997,21720,1,3,1768518,50.77,5.49
1997,21720,1,4,3987619,60.26,5.98
1997,21720,1,5,3204471,64.94,7.84
1997,21720,1,6,1147346,75.08,7.47
1997,21720,1,7,581602,80.09,7.91
1997,21720,1,8,433181,90.45,8.06
1997,21720,1,9,123815,94.2,5.27
1997,21720,1,10,84838,94.78,6.26
1997,21720,1,11,20523,105,0
1997,21720,1,12,19094,103,0
1997,21720,2,1,1440904,23.07,1.97
1997,21720,2,2,2082908,37.36,3.01
1997,21720,2,3,1819412,53.11,7.91
1997,21720,2,4,3577639,60.19,7.24
1997,21720,2,5,2224801,66.42,8.11
1997,21720,2,6,1050076,76.4,9.76
1997,21720,2,7,562714,84.99,11.45
1997,21720,2,8,330559,88.61,12.41
1997,21720,2,9,163827,93.55,4.73
1997,21720,2,10,134541,95.59,9.14
1997,21720,2,11,40637,99,0
1997,21720,2,12,18088,106,0
1997,21720,3,3,365,60,0
1997,21720,3,4,2558,60,0
1997,21720,3,5,1096,60,0
1997,21720,3,6,1325,74.34,15.91
1997,21720,3,7,1188,92,0
1997,21720,3,8,1782,92,0
1997,21720,3,9,594,92,0
1997,21720,3,10,594,92,0
1997,21740,1,1,1934951,18.63,2.03
