year,region,species_code,sex,sex_desc,iss,nss,nhl
1990,egoa,10130,0,total_pre,1.4715605121277664,9,2
1990,egoa,10130,1,male,0.5764679201026566,3,1
1990,egoa,10130,2,female,1.0253048164400265,6,2
1990,egoa,10130,4,total_post,1.405248558930753,9,2
1990,egoa,10130,12,female_male,1.4398774415634275,9,2
1990,egoa,10200,0,total_pre,2.518443935267635,11,1
1990,egoa,10200,2,female,2.8292910107776916,11,1
1990,egoa,10200,4,total_post,2.8292910107776916,11,1
1990,egoa,10200,12,female_male,2.8292910107776916,11,1
1990,egoa,21720,0,total_pre,5.118229172792008,27,5
1990,egoa,21720,1,male,2.8029223519748494,9,4
1990,egoa,21720,2,female,4.077965772606095,18,5
1990,egoa,21720,4,total_post,5.256904879766913,27,5
1990,egoa,21720,12,female_male,6.530961987699752,27,5
1990,egoa,21740,0,total_pre,9.761625836901981,34,4
1990,egoa,21740,1,male,6.00146385356459,16,4
1990,egoa,21740,2,female,4.784547900362203,18,3
1990,egoa,21740,4,total_post,9.761669379757377,34,4
1990,egoa,21740,12,female_male,8.612562498209183,34,4
1990,egoa,30060,0,total_pre,90.52405036390675,957,20
1990,egoa,30060,1,male,73.76610577153616,471,20
1990,egoa,30060,2,female,61.076205985299964,486,20
1990,egoa,30060,4,total_post,88.49881866752868,957,20
1990,egoa,30060,12,female_male,131.2672986528186,957,20
1990,egoa,30420,0,total_pre,0.9835933573654377,1,1
1990,goa,10110,0,total_pre,88.42116821376918,325,14
1990,goa,10110,1,male,29.9026807945258,109,13
1990,goa,10110,2,female,67.65851147410719,216,14
1990,goa,10110,4,total_post,90.60696467724748,325,14
1990,goa,10110,12,female_male,99.91221055388867,325,14
1990,goa,10130,0,total_pre,55.34920885197758,247,22
1990,goa,10130,1,male,25.59413077849994,107,17
1990,goa,10130,2,female,28.726016105057063,138,18
1990,goa,10130,4,total_post,48.34593976317266,247,22
1990,goa,10130,12,female_male,56.61532608871562,245,22
1990,goa,10180,0,total_pre,37.591099231340884,201,18
1990,goa,10180,1,male,19.52979977373672,78,16
1990,goa,10180,2,female,24.718691581261343,123,18
1990,goa,10180,4,total_post,37.474737431715674,201,18
1990,goa,10180,12,female_male,44.71040372507676,201,18
1990,goa,10200,0,total_pre,41.47188499320269,270,27
1990,goa,10200,1,male,19.608840483474548,114,20
1990,goa,10200,2,female,27.073602621898054,156,26
1990,goa,10200,4,total_post,38.565670622370945,270,27
1990,goa,10200,12,female_male,47.60569042425515,270,27
1990,goa,21720,0,total_pre,109.12768621945094,493,29
1990,goa,21720,1,male,53.090873174316215,220,26
1990,goa,21720,2,female,65.16389676355027,273,28
1990,goa,21720,4,total_post,91.45147899851511,493,29
1990,goa,21720,12,female_male,125.86799517154085,493,29
1990,goa,21740,0,total_pre,73.4978040761834,1065,38
1990,goa,21740,1,male,46.78119992998775,503,35
1990,goa,21740,2,female,67.28964917409736,560,35
1990,goa,21740,4,total_post,68.62624771989825,1065,38
1990,goa,21740,12,female_male,120.92583899291256,1063,38
1990,goa,30060,0,total_pre,106.92081953457271,1754,54
1990,goa,30060,1,male,97.67785312146238,868,51
1990,goa,30060,2,female,75.45621883282793,884,51
1990,goa,30060,4,total_post,106.11650308504413,1754,54
1990,goa,30060,12,female_male,174.81104953374583,1752,54
1990,goa,30420,0,total_pre,54.45922652872388,331,12
1990,goa,30420,1,male,27.42213142742174,150,11
