region,year,species_code,sex,age,agepop,mean_length,sd_length
wgoa,1990,10110,1,2,8463220,24.42,2.97
wgoa,1990,10110,1,3,32381671,27.94,2.79
wgoa,1990,10110,1,4,16047313,34.94,3.13
wgoa,1990,10110,1,5,19462024,38.46,1.43
wgoa,1990,10110,1,6,14606028,36.17,2.76
wgoa,1990,10110,2,2,6618972,21.33,1.6
wgoa,1990,10110,2,3,31860902,27.28,3.39
wgoa,1990,10110,2,4,19210826,32.05,1.13
wgoa,1990,10110,2,5,59118010,36.96,2.45
wgoa,1990,10110,2,6,34534507,41.46,1.61
wgoa,1990,10110,2,7,12397798,44,0
wgoa,1990,10110,2,8,22037191,50.58,2.62
wgoa,1990,10110,2,9,13581398,50.26,4
wgoa,1990,10110,2,10,3237859,57.07,2.3
wgoa,1990,10110,2,12,1933839,59,0
wgoa,1990,10110,2,14,313047,67,0
wgoa,1990,10110,2,15,3648021,52,0
wgoa,1990,10110,2,16,688762,65,0
wgoa,1990,10130,1,3,332265,11.29,0.46
wgoa,1990,10130,1,4,596481,20,0
wgoa,1990,10130,1,5,3403169,21.31,1.98
wgoa,1990,10130,1,6,15159046,26.66,3.07
wgoa,1990,10130,1,7,13385786,27.96,1.93
wgoa,1990,10130,1,8,7416019,30.43,0.5
wgoa,1990,10130,1,9,10617733,30.6,0.49
wgoa,1990,10130,1,10,16110020,28.6,1.87
wgoa,1990,10130,1,11,67268,40,0
wgoa,1990,10130,1,12,3210628,33.41,0.49
wgoa,1990,10130,1,13,4955959,33.29,2.18
wgoa,1990,10130,1,14,5425063,33.54,1.19
wgoa,1990,10130,1,15,532022,36,0
wgoa,1990,10130,1,16,841708,35.33,1.1
wgoa,1990,10130,1,18,772047,35,0
wgoa,1990,10130,1,22,44778,42,0
wgoa,1990,10130,2,4,610140,18,0
wgoa,1990,10130,2,5,2594914,20.8,0.82
wgoa,1990,10130,2,6,17532146,26.13,1.7
wgoa,1990,10130,2,7,7241274,30.79,1.72
wgoa,1990,10130,2,8,13075108,31.75,1.67
wgoa,1990,10130,2,9,6095494,33.57,0.5
wgoa,1990,10130,2,10,6099016,30.6,0.49
wgoa,1990,10130,2,11,5633644,34.69,3.78
wgoa,1990,10130,2,12,6608426,36.59,3.01
wgoa,1990,10130,2,13,12157778,38.14,1.47
wgoa,1990,10130,2,14,2766560,42.76,1.15
wgoa,1990,10130,2,15,7759505,36.94,2.38
wgoa,1990,10130,2,16,4276612,39.08,2.12
wgoa,1990,10130,3,3,48334,11.17,0.37
wgoa,1990,10130,3,5,13416,21.33,0.47
wgoa,1990,10130,3,6,114031,26.51,2.15
wgoa,1990,10130,3,7,93162,29.34,2.47
wgoa,1990,10130,3,8,43227,30.37,1.26
wgoa,1990,10130,3,9,32048,31.14,1.38
wgoa,1990,10130,3,10,41886,29.33,1.59
wgoa,1990,10130,3,11,12670,35.76,3.99
wgoa,1990,10130,3,12,19676,34.15,2.49
wgoa,1990,10130,3,13,38906,37.1,2.96
wgoa,1990,10130,3,14,34582,37.88,4.63
wgoa,1990,10130,3,15,29812,38.8,3.43
wgoa,1990,10130,3,16,12521,36.14,1.81
wgoa,1990,10130,3,18,8944,35,0
wgoa,1990,10130,3,22,5962,42,0
wgoa,1990,10180,1,4,59094,35,0
wgoa,1990,10180,1,5,199595,37.24,0.97
wgoa,1990,10180,2,5,14629,37,0
wgoa,1990,10180,2,6,35478,40,0
wgoa,1990,10180,2,7,59645,43.42,5.97
wgoa,1990,10180,2,10,35927,51,0
wgoa,1990,10180,2,19,35478,40,0
wgoa,1990,10180,2,24,46853,39,0
wgoa,1990,10180,2,26,11172,36,0
wgoa,1990,10180,2,30,15262,41,0
wgoa,1990,10180,2,32,50801,45.12,9.58
wgoa,1990,10180,2,33,14629,37,0
wgoa,1990,10200,1,3,1137105,27.22,1.98
wgoa,1990,10200,1,4,2175094,34.35,2.04
wgoa,1990,10200,1,5,1690984,38.77,1.48
wgoa,1990,10200,1,6,74299,44,0
wgoa,1990,10200,2,3,1175132,28.29,1.47
wgoa,1990,10200,2,4,520260,33.26,1.57
wgoa,1990,10200,2,5,3363142,41.48,2.95
wgoa,1990,10200,2,6,1580524,42.78,2.85
wgoa,1990,10200,2,7,811634,47.49,1.84
wgoa,1990,10200,2,8,871986,47.2,2.92
wgoa,1990,21720,1,2,3227415,34.28,2.4
wgoa,1990,21720,1,3,3325136,46.4,3.21
wgoa,1990,21720,1,4,6326908,53.33,3.45
wgoa,1990,21720,1,5,4086802,60.42,3.3
wgoa,1990,21720,1,6,3896160,64.03,5.45
wgoa,1990,21720,1,7,924096,75.08,6.92
wgoa,1990,21720,1,8,617072,82.67,2.38
wgoa,1990,21720,1,9,321274,80.17,8.22
wgoa,1990,21720,1,10,82471,78,0
wgoa,1990,21720,2,2,3743604,34.98,2.3
wgoa,1990,21720,2,3,3047470,45.67,3.24
wgoa,1990,21720,2,4,5795640,54.39,3.3
wgoa,1990,21720,2,5,6674966,60.61,4.14
wgoa,1990,21720,2,6,1806052,67.7,3.89
wgoa,1990,21720,2,7,1203722,73.34,4.46
wgoa,1990,21720,2,8,1469680,84.03,5.37
wgoa,1990,21720,2,9,1022108,86.15,6.78
wgoa,1990,21720,2,10,262136,92.76,5.24
wgoa,1990,21720,2,11,81782,96.03,3.48
wgoa,1990,21720,2,12,20790,102,0
wgoa,1990,21740,1,1,174163,17,0
wgoa,1990,21740,1,3,1861700,40,0
wgoa,1990,21740,1,4,3946064,44.26,1.96
wgoa,1990,21740,1,5,12576069,45.89,2.27
wgoa,1990,21740,1,6,16234195,46,4.01
wgoa,1990,21740,1,7,12354309,48.32,4.2
wgoa,1990,21740,1,8,12976164,49.37,4.49
wgoa,1990,21740,1,9,4474791,48.65,0.48
wgoa,1990,21740,1,10,1175264,57,0
wgoa,1990,21740,1,12,9865133,55.5,2.03
wgoa,1990,21740,1,13,663258,59,0
wgoa,1990,21740,2,2,2606447,32,0
wgoa,1990,21740,2,4,5727304,40.48,1.55
wgoa,1990,21740,2,5,19395655,47.21,3.53
wgoa,1990,21740,2,6,15480640,47.64,2.98
wgoa,1990,21740,2,7,3856462,49.19,3.48
wgoa,1990,21740,2,8,6648882,51.44,2.48
wgoa,1990,21740,2,9,7158745,55.35,3.08
wgoa,1990,21740,2,10,10031683,56.05,1.99
wgoa,1990,21740,2,11,354054,62,0
wgoa,1990,21740,2,12,3747140,58.41,2.88
wgoa,1990,21740,2,13,1488584,61,0
wgoa,1990,21740,2,16,701204,64.59,1.42
wgoa,1990,21740,3,1,4091508,17,0
wgoa,1990,30060,1,2,232449,13.62,0.48
wgoa,1990,30060,1,3,1306308,18.78,0.84
wgoa,1990,30060,1,4,2235536,24,0
wgoa,1990,30060,1,5,5279525,25.73,1.48
wgoa,1990,30060,1,6,9389944,27.08,2.72
wgoa,1990,30060,1,7,3328380,33.21,1.68
wgoa,1990,30060,1,8,3185129,34.11,1.08
wgoa,1990,30060,1,9,1097825,35.85,0.78
wgoa,1990,30060,1,10,146719,37,0
wgoa,1990,30060,1,11,184635,37.21,0.4
wgoa,1990,30060,1,12,58978,39,0
wgoa,1990,30060,1,14,24230,40,0
wgoa,1990,30060,1,15,37916,38,0
wgoa,1990,30060,1,16,24230,40,0
wgoa,1990,30060,1,19,31453,41,0
wgoa,1990,30060,2,2,78628,13.37,0.48
wgoa,1990,30060,2,3,509662,19.23,0.42
wgoa,1990,30060,2,4,6461524,24.73,1.21
wgoa,1990,30060,2,5,3829339,24.76,1.99
wgoa,1990,30060,2,6,642368,31.28,0.45
wgoa,1990,30060,2,7,4232487,34.51,1.8
wgoa,1990,30060,2,8,1960716,33.78,0.72
wgoa,1990,30060,2,9,839362,34.55,2.23
wgoa,1990,30060,2,10,86146,38,0
wgoa,1990,30060,2,11,80807,39,0
wgoa,1990,30060,2,14,166953,38.48,0.5
wgoa,1990,30060,2,15,86146,38,0
wgoa,1990,30060,2,49,19710,44,0
wgoa,1990,30060,3,3,10597,20,0
wgoa,1990,30060,3,4,128338,24.48,0.89
wgoa,1990,30060,3,5,77710,23.64,0.48
wgoa,1990,30060,3,6,42387,25.78,2.2
wgoa,1990,30060,3,7,4710,32,0
wgoa,1990,30060,3,9,4710,32,0
wgoa,1990,30420,1,3,53770,15,0
wgoa,1990,30420,1,4,51422,17.87,0.99
wgoa,1990,30420,1,5,1473181,23,1.36
wgoa,1990,30420,1,6,5754260,26.23,0.97
wgoa,1990,30420,1,7,2513130,28.34,0.84
wgoa,1990,30420,1,8,664418,32.12,1.59
wgoa,1990,30420,1,9,831768,32.62,0.79
wgoa,1990,30420,1,10,264584,30,0
wgoa,1990,30420,1,11,1700110,34.69,1.67
wgoa,1990,30420,1,12,252340,34,0
wgoa,1990,30420,1,14,1208606,37.25,2.35
wgoa,1990,30420,1,15,1570429,34.77,0.98
wgoa,1990,30420,1,17,1122578,36.1,2.07
wgoa,1990,30420,1,20,452056,37,0
wgoa,1990,30420,1,21,1565392,38.88,2.32
wgoa,1990,30420,1,22,1273244,38.25,4.15
wgoa,1990,30420,1,23,726292,34.65,0.48
wgoa,1990,30420,1,25,334303,38,0
wgoa,1990,30420,1,26,334303,38,0
wgoa,1990,30420,1,27,386364,40,0
wgoa,1990,30420,1,28,120457,32,0
wgoa,1990,30420,1,29,277478,42,0
wgoa,1990,30420,1,30,159328,31,0
wgoa,1990,30420,1,33,773962,39,0
wgoa,1990,30420,2,4,73358,22,0
wgoa,1990,30420,2,5,163260,23,0
wgoa,1990,30420,2,6,3632306,25.68,1.61
wgoa,1990,30420,2,7,2095997,26.97,1.11
wgoa,1990,30420,2,8,625515,31.24,0.68
wgoa,1990,30420,2,9,2104823,32.15,2.54
wgoa,1990,30420,2,10,1433947,32.06,4.07
wgoa,1990,30420,2,11,596020,33.28,0.45
wgoa,1990,30420,2,12,582632,35.55,1.84
wgoa,1990,30420,2,13,210180,37,0
wgoa,1990,30420,2,14,913518,36.57,4.05
wgoa,1990,30420,2,15,561274,36.04,1.43
wgoa,1990,30420,2,17,897570,37.61,1.87
wgoa,1990,30420,2,20,1763834,39,3.22
wgoa,1990,30420,2,21,1175865,39.81,2.34
wgoa,1990,30420,2,22,929334,42.33,1.72
wgoa,1990,30420,2,23,301253,41.34,0.47
wgoa,1990,30420,2,24,477292,35.92,1.68
wgoa,1990,30420,2,27,415112,44,0
wgoa,1990,30420,2,30,840990,44.63,0.98
wgoa,1990,30420,2,32,279230,40,0
wgoa,1993,10110,1,2,18389664,19.89,1.63
wgoa,1993,10110,1,3,27375110,26.26,2.78
wgoa,1993,10110,1,4,16036980,31.46,3.17
wgoa,1993,10110,1,5,9067902,35.47,3.23
