year,species_code,sex,sex_desc,iss,nss,nhl
1996,301502,0,total_pre,101.42956473303899,554,46
1996,301502,1,male,59.04337296813258,274,41
1996,301502,2,female,60.97101587019547,280,31
1996,301502,4,total_post,92.74079765995388,554,46
1996,301502,12,female_male,119.40880402949072,554,46
1999,301502,0,total_pre,28.378060267249495,174,24
1999,301502,1,male,11.47921284785437,70,19
1999,301502,2,female,20.98663181469418,104,20
1999,301502,4,total_post,26.733809919727594,174,24
1999,301502,12,female_male,33.22428972380053,174,24
2001,301502,0,total_pre,81.00687192243682,676,63
2001,301502,1,male,54.33982962264782,304,49
2001,301502,2,female,67.25619376434032,372,52
2001,301502,4,total_post,79.04178578167539,676,63
2001,301502,12,female_male,121.74384207655523,676,63
2003,301502,0,total_pre,11.697700009190621,195,23
2003,301502,1,male,6.218047358304893,121,16
2003,301502,2,female,7.277930684575713,74,14
2003,301502,4,total_post,9.719546068017346,195,23
2003,301502,12,female_male,14.223929572810656,195,23
2005,301502,0,total_pre,69.80014713763853,461,82
2005,301502,1,male,44.63085935966409,225,67
2005,301502,2,female,45.317310386758095,236,57
2005,301502,4,total_post,62.65465744755532,461,82
2005,301502,12,female_male,92.36578599497675,461,82
2007,301502,0,total_pre,78.71506744912068,489,88
2007,301502,1,male,42.67043789284997,221,65
2007,301502,2,female,58.63924780267406,268,71
2007,301502,4,total_post,77.04829173330295,489,88
2007,301502,12,female_male,100.46085463077034,489,88
2009,301502,0,total_pre,77.49207608645527,495,59
2009,301502,1,male,48.4199001699268,219,47
2009,301502,2,female,47.21603625828108,276,40
2009,301502,4,total_post,78.84181276104484,495,59
2009,301502,12,female_male,96.38023096533821,495,59
2011,301502,0,total_pre,129.45647873720105,427,64
2011,301502,1,male,59.7767743928583,199,50
2011,301502,2,female,65.49923045705489,228,52
2011,301502,4,total_post,107.6977177414509,427,64
2011,301502,12,female_male,127.52153791982668,427,64
2013,301502,0,total_pre,119.03407671278288,434,74
2013,301502,1,male,56.83651756834768,205,60
2013,301502,2,female,66.35849254985918,229,59
2013,301502,4,total_post,105.63038628069411,434,74
2013,301502,12,female_male,120.64003548102822,434,74
2015,301502,0,total_pre,139.66113447255702,471,68
2015,301502,1,male,71.1935328763384,207,50
2015,301502,2,female,96.61045046497351,264,56
2015,301502,4,total_post,134.74620026903753,471,68
2015,301502,12,female_male,170.64711430943427,471,68
2017,301502,0,total_pre,100.63611204463743,429,44
2017,301502,1,male,45.282271501094456,188,26
2017,301502,2,female,75.9098409024926,241,39
2017,301502,4,total_post,90.30511276456772,429,44
2017,301502,12,female_male,119.81502582641869,429,44
2019,301502,0,total_pre,128.50302761082213,403,93
2019,301502,1,male,63.26864271397949,193,74
2019,301502,2,female,71.02517647793454,210,74
2019,301502,4,total_post,109.04150841655155,403,93
2019,301502,12,female_male,137.06095847989522,403,93
2021,301502,0,total_pre,92.7737675005797,440,92
2021,301502,1,male,49.634673524092385,208,71
2021,301502,2,female,51.67358592477413,232,71
2021,301502,4,total_post,81.57758295437256,440,92
2021,301502,12,female_male,103.51804330884866,440,92
