year,region,species_code,sex,sex_desc,iss,nss,nhl
1990,cgoa,10110,0,total_pre,68.61374505846322,264,12
1990,cgoa,10110,1,male,21.49960463925244,87,11
1990,cgoa,10110,2,female,54.988825352937894,177,12
1990,cgoa,10110,4,total_post,69.5114318607917,264,12
1990,cgoa,10110,12,female_male,78.20918103741205,264,12
1990,cgoa,10130,0,total_pre,29.043037631020074,154,18
1990,cgoa,10130,1,male,13.314270781824783,63,14
1990,cgoa,10130,2,female,13.449020179034697,89,14
1990,cgoa,10130,4,total_post,24.85275016862916,154,18
1990,cgoa,10130,12,female_male,27.889573245871368,152,18
1990,cgoa,10180,0,total_pre,35.73827662722644,186,16
1990,cgoa,10180,1,male,19.102868668300335,75,15
1990,cgoa,10180,2,female,23.667180409564228,111,16
1990,cgoa,10180,4,total_post,36.632225805603305,186,16
1990,cgoa,10180,12,female_male,43.34960057600481,186,16
1990,cgoa,10200,0,total_pre,30.45151149756296,186,13
1990,cgoa,10200,1,male,14.244968222258704,89,11
1990,cgoa,10200,2,female,15.912131465554909,97,12
1990,cgoa,10200,4,total_post,28.254600991631968,186,13
1990,cgoa,10200,12,female_male,31.770736941164305,186,13
1990,cgoa,21720,0,total_pre,48.565574978226536,246,20
1990,cgoa,21720,1,male,24.141858325214702,107,18
1990,cgoa,21720,2,female,33.999545862345784,139,19
1990,cgoa,21720,4,total_post,44.52587679685414,246,20
1990,cgoa,21720,12,female_male,61.29252908443172,246,20
1990,cgoa,21740,0,total_pre,60.66852898591987,914,32
1990,cgoa,21740,1,male,38.461701338290744,432,29
1990,cgoa,21740,2,female,58.04333500799072,480,30
1990,cgoa,21740,4,total_post,58.13674436060466,914,32
1990,cgoa,21740,12,female_male,102.44481713720636,912,32
1990,cgoa,30060,0,total_pre,103.09936033397489,709,31
1990,cgoa,30060,1,male,78.76636632674634,353,28
1990,cgoa,30060,2,female,65.10170518287454,354,28
1990,cgoa,30060,4,total_post,100.6124908698932,709,31
1990,cgoa,30060,12,female_male,149.071276359117,707,31
1990,cgoa,30420,0,total_pre,25.991527645533644,175,5
1990,cgoa,30420,1,male,10.355764513022612,78,5
1990,cgoa,30420,2,female,15.079547041437731,97,5
1990,cgoa,30420,4,total_post,24.76839136954438,175,5
1990,cgoa,30420,12,female_male,27.501558230919628,175,5
1990,egoa,10130,0,total_pre,1.4077684421320311,9,2
1990,egoa,10130,1,male,0.6675637536756359,3,1
1990,egoa,10130,2,female,0.8303924312026008,6,2
1990,egoa,10130,4,total_post,1.3495841372103252,9,2
1990,egoa,10130,12,female_male,1.3704665415825703,9,2
1990,egoa,10200,0,total_pre,2.8911976716942682,11,1
1990,egoa,10200,2,female,2.8752051696475225,11,1
1990,egoa,10200,4,total_post,2.8752051696475225,11,1
1990,egoa,10200,12,female_male,2.8752051696475225,11,1
1990,egoa,21720,0,total_pre,4.438651386650727,27,5
1990,egoa,21720,1,male,2.3043728569699247,9,4
1990,egoa,21720,2,female,3.837143564851535,18,5
1990,egoa,21720,4,total_post,5.053737495666047,27,5
1990,egoa,21720,12,female_male,6.51086778226924,27,5
1990,egoa,21740,0,total_pre,8.813606757892572,34,4
1990,egoa,21740,1,male,5.894118539337261,16,4
1990,egoa,21740,2,female,4.430326127766408,18,3
1990,egoa,21740,4,total_post,9.22446847748374,34,4
1990,egoa,21740,12,female_male,8.210092161934043,34,4
1990,egoa,30060,0,total_pre,89.61865848377165,957,20
1990,egoa,30060,1,male,73.4046288252431,471,20
1990,egoa,30060,2,female,62.571322730595476,486,20
1990,egoa,30060,4,total_post,88.02925094913765,957,20
1990,egoa,30060,12,female_male,132.21565325462106,957,20
1990,egoa,30420,0,total_pre,0.9493679321586739,1,1
1990,goa,10110,0,total_pre,82.59740312388605,325,14
1990,goa,10110,1,male,27.53297777817969,109,13
1990,goa,10110,2,female,62.9617529952634,216,14
1990,goa,10110,4,total_post,84.10883251260128,325,14
1990,goa,10110,12,female_male,92.31079785720088,325,14
1990,goa,10130,0,total_pre,45.509826200706854,247,22
1990,goa,10130,1,male,19.63044733101944,107,17
1990,goa,10130,2,female,22.978958004619358,138,18
1990,goa,10130,4,total_post,40.56937669498942,247,22
1990,goa,10130,12,female_male,44.36528643529621,245,22
1990,goa,10180,0,total_pre,36.115442141919694,201,18
1990,goa,10180,1,male,19.45795278965361,78,16
1990,goa,10180,2,female,23.739627410818834,123,18
1990,goa,10180,4,total_post,36.92527801257717,201,18
1990,goa,10180,12,female_male,43.690487723966115,201,18
1990,goa,10200,0,total_pre,35.898603324984826,270,27
1990,goa,10200,1,male,16.32974038449698,114,20
1990,goa,10200,2,female,18.578007672926287,156,26
1990,goa,10200,4,total_post,32.35898450869022,270,27
1990,goa,10200,12,female_male,36.06579393088707,270,27
1990,goa,21720,0,total_pre,83.42839048721338,493,29
1990,goa,21720,1,male,42.44535823392495,220,26
1990,goa,21720,2,female,57.67522260633717,273,28
1990,goa,21720,4,total_post,77.21824436344988,493,29
1990,goa,21720,12,female_male,105.0386701721528,493,29
1990,goa,21740,0,total_pre,77.14505826597943,1065,38
1990,goa,21740,1,male,48.61614622422218,503,35
1990,goa,21740,2,female,68.03218826075792,560,35
1990,goa,21740,4,total_post,72.35819885292385,1065,38
1990,goa,21740,12,female_male,123.58287483779168,1063,38
1990,goa,30060,0,total_pre,102.5428358838466,1754,54
1990,goa,30060,1,male,94.90843189119565,868,51
1990,goa,30060,2,female,77.72796104835693,884,51
1990,goa,30060,4,total_post,118.29699832318549,1754,54
1990,goa,30060,12,female_male,171.53374389401415,1752,54
1990,goa,30420,0,total_pre,39.63780973669787,331,12
1990,goa,30420,1,male,17.661582970116577,150,11
1990,goa,30420,2,female,24.901955597080267,178,11
1990,goa,30420,4,total_post,38.108982458938605,331,12
1990,goa,30420,12,female_male,43.06771717174828,328,11
1990,wgoa,10110,0,total_pre,6.834940568503862,61,2
1990,wgoa,10110,1,male,3.263583832307645,22,2
1990,wgoa,10110,2,female,6.566391988265077,39,2
1990,wgoa,10110,4,total_post,7.121692031125165,61,2
1990,wgoa,10110,12,female_male,10.791481080239294,61,2
1990,wgoa,10130,0,total_pre,22.104659254349077,84,2
1990,wgoa,10130,1,male,8.61785832797189,41,2
1990,wgoa,10130,2,female,11.904898730798653,43,2
1990,wgoa,10130,4,total_post,20.75007550983066,84,2
1990,wgoa,10130,12,female_male,22.90108011098064,84,2
1990,wgoa,10180,0,total_pre,2.5747263159732823,15,2
1990,wgoa,10180,1,male,1.515708761032788,3,1
1990,wgoa,10180,2,female,1.495817922375895,12,2
1990,wgoa,10180,4,total_post,1.7536439878837515,15,2
1990,wgoa,10180,12,female_male,1.7414119428465114,15,2
1990,wgoa,10200,0,total_pre,18.758662448147547,73,13
1990,wgoa,10200,1,male,5.140924719336747,25,9
1990,wgoa,10200,2,female,10.013795887977533,48,13
1990,wgoa,10200,4,total_post,14.463547202725504,73,13
1990,wgoa,10200,12,female_male,15.918762893065036,73,13
1990,wgoa,21720,0,total_pre,20.939363357453928,220,4
1990,wgoa,21720,1,male,12.321278782265662,104,4
1990,wgoa,21720,2,female,15.275066725039457,116,4
1990,wgoa,21720,4,total_post,18.80117301815847,220,4
1990,wgoa,21720,12,female_male,30.874417834502633,220,4
1990,wgoa,21740,0,total_pre,27.571491033083067,117,2
1990,wgoa,21740,1,male,14.819760032677017,55,2
1990,wgoa,21740,2,female,17.990345871919704,62,2
1990,wgoa,21740,4,total_post,28.262324260148773,117,2
1990,wgoa,21740,12,female_male,34.72448853213886,117,2
1990,wgoa,30060,0,total_pre,7.292292043352339,88,3
1990,wgoa,30060,1,male,4.572371505605081,44,3
1990,wgoa,30060,2,female,5.227225527029606,44,3
1990,wgoa,30060,4,total_post,8.303227832228254,88,3
1990,wgoa,30060,12,female_male,10.171755920927879,88,3
1990,wgoa,30420,0,total_pre,17.870342796194482,155,6
1990,wgoa,30420,1,male,10.04149743972863,72,6
1990,wgoa,30420,2,female,13.52393487795843,81,6
1990,wgoa,30420,4,total_post,18.84377791306549,155,6
1990,wgoa,30420,12,female_male,23.060920508137446,153,6
1993,cgoa,10110,0,total_pre,61.44541169377804,283,17
1993,cgoa,10110,1,male,24.59521461752435,112,12
1993,cgoa,10110,2,female,40.980319216268825,171,16
1993,cgoa,10110,4,total_post,56.88761919616299,283,17
1993,cgoa,10110,12,female_male,65.11057518383956,283,17
1993,cgoa,10130,0,total_pre,23.98866630623635,90,14
1993,cgoa,10130,1,male,6.150807482753163,39,8
1993,cgoa,10130,2,female,13.458951236145927,51,12
1993,cgoa,10130,4,total_post,23.46448120034413,90,14
1993,cgoa,10130,12,female_male,23.275720694815618,90,14
1993,cgoa,10180,0,total_pre,37.183339635130075,142,23
1993,cgoa,10180,1,male,14.203634809512437,56,13
1993,cgoa,10180,2,female,15.351297142999229,86,19
1993,cgoa,10180,4,total_post,28.13990729332009,142,23
1993,cgoa,10180,12,female_male,30.64314302051586,142,23
1993,cgoa,10200,0,total_pre,30.575391716830346,201,19
1993,cgoa,10200,1,male,12.555115347108336,86,12
1993,cgoa,10200,2,female,18.19499657432686,115,18
1993,cgoa,10200,4,total_post,31.196361166698566,201,19
1993,cgoa,10200,12,female_male,32.29969672136363,201,19
1993,cgoa,21720,0,total_pre,43.29171118471669,320,27
1993,cgoa,21720,1,male,21.58799027827675,151,27
1993,cgoa,21720,2,female,34.70340774984808,169,27
1993,cgoa,21720,4,total_post,38.84850974691895,320,27
1993,cgoa,21720,12,female_male,56.894621838063955,320,27
1993,cgoa,21740,0,total_pre,52.26346941147014,568,34
1993,cgoa,21740,1,male,32.118151379967394,266,32
1993,cgoa,21740,2,female,36.63276605033918,302,28
1993,cgoa,21740,4,total_post,49.155993641335954,568,34
1993,cgoa,21740,12,female_male,72.85495235560184,568,34
1993,cgoa,30060,0,total_pre,31.207452680280866,339,20
1993,cgoa,30060,1,male,16.536972861398347,179,19
1993,cgoa,30060,2,female,21.468797847391116,160,16
1993,cgoa,30060,4,total_post,30.325693767694048,339,20
1993,cgoa,30060,12,female_male,40.85670002595908,339,20
1993,cgoa,30420,0,total_pre,9.393247206333575,74,6
1993,cgoa,30420,1,male,3.8822678340984154,32,5
1993,cgoa,30420,2,female,6.856638154474727,42,6
1993,cgoa,30420,4,total_post,9.94566227601011,74,6
1993,cgoa,30420,12,female_male,11.97745939280196,74,6
1993,egoa,10110,0,total_pre,83.17139867532913,383,25
1993,egoa,10110,1,male,29.6654680828583,140,17
1993,egoa,10110,2,female,57.291902323424814,243,23
1993,egoa,10110,4,total_post,82.9416200695251,383,25
1993,egoa,10110,12,female_male,86.59457128629037,383,25
1993,egoa,10130,0,total_pre,12.394663256830476,27,1
1993,egoa,10130,1,male,5.463208223317838,14,1
1993,egoa,10130,2,female,6.074029343900518,13,1
1993,egoa,10130,4,total_post,12.036856874791175,27,1
1993,egoa,10130,12,female_male,11.373976814920892,27,1
1993,egoa,10180,0,total_pre,5.990089318520612,34,4
1993,egoa,10180,1,male,0.9795402963799098,12,4
1993,egoa,10180,2,female,3.3462070992149147,22,4
1993,egoa,10180,4,total_post,5.924404840911838,34,4
1993,egoa,10180,12,female_male,4.409648163846229,34,4
1993,egoa,10200,0,total_pre,1.013704425819994,1,1
1993,egoa,10200,2,female,0.9976934615770577,1,1
1993,egoa,10200,4,total_post,0.9976934615770577,1,1
1993,egoa,10200,12,female_male,0.9976934615770577,1,1
1993,egoa,21720,0,total_pre,5.30584897402758,18,1
1993,egoa,21720,1,male,1.1203508646975302,8,1
1993,egoa,21720,2,female,3.7024251091053038,10,1
1993,egoa,21720,4,total_post,5.448030021298664,18,1
1993,egoa,21720,12,female_male,5.433151933301207,18,1
1993,egoa,21740,0,total_pre,60.645950046724785,904,21
1993,egoa,21740,1,male,38.88216357623565,417,21
1993,egoa,21740,2,female,39.10776054651296,464,21
1993,egoa,21740,4,total_post,60.34090537390843,904,21
1993,egoa,21740,12,female_male,88.32777016726048,881,21
1993,egoa,30060,0,total_pre,85.6473033392367,914,21
1993,egoa,30060,1,male,67.93233328404811,420,21
1993,egoa,30060,2,female,57.87661650398412,491,21
1993,egoa,30060,4,total_post,80.08258785321954,914,21
1993,egoa,30060,12,female_male,125.52294992169732,911,21
1993,goa,10110,0,total_pre,117.88307428879985,1023,72
1993,goa,10110,1,male,57.593766675555884,389,45
1993,goa,10110,2,female,79.2244770915354,634,66
1993,goa,10110,4,total_post,114.97984914230112,1023,72
1993,goa,10110,12,female_male,133.34835705654453,1023,72
1993,goa,10130,0,total_pre,57.29857774536669,303,35
1993,goa,10130,1,male,23.080714995307265,132,26
1993,goa,10130,2,female,31.58213658651597,170,29
1993,goa,10130,4,total_post,58.44764731807428,303,35
1993,goa,10130,12,female_male,55.748333624881596,302,35
1993,goa,10180,0,total_pre,39.9763390801944,252,35
1993,goa,10180,1,male,16.387532034668634,105,23
1993,goa,10180,2,female,21.20286495231396,147,31
1993,goa,10180,4,total_post,37.37109208865357,252,35
1993,goa,10180,12,female_male,38.35869885173698,252,35
1993,goa,10200,0,total_pre,41.957501848900414,332,29
1993,goa,10200,1,male,17.27714758115643,139,20
1993,goa,10200,2,female,25.672195691113295,193,26
1993,goa,10200,4,total_post,42.15460184284653,332,29
1993,goa,10200,12,female_male,43.05965669104862,332,29
1993,goa,21720,0,total_pre,95.55435412690511,803,65
1993,goa,21720,1,male,42.17374859764087,365,61
1993,goa,21720,2,female,73.98751302971631,438,63
1993,goa,21720,4,total_post,77.61426169759918,803,65
1993,goa,21720,12,female_male,114.05082234022225,803,65
1993,goa,21740,0,total_pre,99.7466809884834,1898,64
1993,goa,21740,1,male,61.371008700339715,868,62
1993,goa,21740,2,female,72.55487607265883,1007,58
1993,goa,21740,4,total_post,89.83847423186585,1898,64
1993,goa,21740,12,female_male,138.3925716787437,1875,64
1993,goa,30060,0,total_pre,79.54662639309362,1378,48
1993,goa,30060,1,male,44.44301671208506,655,47
1993,goa,30060,2,female,64.09042275923738,714,44
1993,goa,30060,4,total_post,83.26424945325422,1378,48
1993,goa,30060,12,female_male,108.3300952536343,1369,48
1993,goa,30420,0,total_pre,15.270739531855064,242,17
1993,goa,30420,1,male,8.995128938074645,115,16
1993,goa,30420,2,female,10.37355049377942,127,15
1993,goa,30420,4,total_post,15.850329199715706,242,17
1993,goa,30420,12,female_male,19.686352111530702,242,17
1993,wgoa,10110,0,total_pre,79.75285657464967,357,30
1993,wgoa,10110,1,male,35.457536225985166,137,16
1993,wgoa,10110,2,female,49.31502524395177,220,27
1993,wgoa,10110,4,total_post,71.11923792117743,357,30
1993,wgoa,10110,12,female_male,85.49716786467911,357,30
1993,wgoa,10130,0,total_pre,39.8253073821001,186,20
1993,wgoa,10130,1,male,18.04262904189603,79,17
1993,wgoa,10130,2,female,27.77482467763246,106,16
1993,wgoa,10130,4,total_post,38.55236417749893,186,20
