year,region,species_code,sex,sex_desc,iss,nss,nhls
1990,wcgoa,10130,4,total_post,1693.415075733079,21847,253
1990,wcgoa,10130,12,female_male,1522.6227108264827,21754,252
1990,wcgoa,10180,0,total_pre,467.5660620298587,4524,135
1990,wcgoa,10180,1,male,189.62525028959246,1908,128
1990,wcgoa,10180,2,female,414.3907845066178,2616,134
1990,wcgoa,10180,4,total_post,467.56615455790615,4524,135
1990,wcgoa,10180,12,female_male,477.07584884010316,4524,135
1990,wcgoa,10200,0,total_pre,1119.6123208602673,10990,191
1990,wcgoa,10200,1,male,379.10583903615867,4814,181
1990,wcgoa,10200,2,female,1042.4831103970919,6176,191
1990,wcgoa,10200,4,total_post,1119.6127987485934,10990,191
1990,wcgoa,10200,12,female_male,951.41769559110935,10990,191
1990,wcgoa,20510,0,total_pre,402.75977365547266,3613,102
1990,wcgoa,20510,1,male,293.55540577339775,2041,100
1990,wcgoa,20510,2,female,154.91503444861218,1506,100
1990,wcgoa,20510,4,total_post,402.7597310026385,3613,102
1990,wcgoa,20510,12,female_male,373.5166502824982,3547,100
1990,wcgoa,21720,0,total_pre,332.30777641338216,10938,255
1990,wcgoa,21720,1,male,330.7106866016853,5317,253
1990,wcgoa,21720,2,female,396.12532157125685,5510,254
1990,wcgoa,21720,4,total_post,332.30788254354303,10938,255
1990,wcgoa,21720,12,female_male,729.2123486823948,10827,255
1990,wcgoa,21740,0,total_pre,267.33852996257764,34110,248
1990,wcgoa,21740,1,male,233.59062886374736,12011,228
1990,wcgoa,21740,2,female,324.80824494395483,16788,228
1990,wcgoa,21740,4,total_post,267.33852357984387,34110,248
1990,wcgoa,21740,12,female_male,557.1521915154484,28799,229
1990,wcgoa,30060,0,total_pre,230.9643538304673,6195,94
1990,wcgoa,30060,1,male,192.61478550036128,3408,89
1990,wcgoa,30060,2,female,182.5963048544848,2669,89
1990,wcgoa,30060,4,total_post,230.96437322259447,6195,94
1990,wcgoa,30060,12,female_male,374.6171611421012,6077,91
1990,wcgoa,30420,0,total_pre,164.55610221431104,2982,44
1990,wcgoa,30420,1,male,126.81603024720069,1668,43
1990,wcgoa,30420,2,female,107.18436162030945,1312,44
1990,wcgoa,30420,4,total_post,164.55611037028436,2982,44
1990,wcgoa,30420,12,female_male,239.25610972868606,2980,44
1993,egoa,10110,0,total_pre,1993.1468862781521,11602,130
1993,egoa,10110,1,male,866.9092237179207,4333,127
1993,egoa,10110,2,female,1469.8733935665055,7140,129
1993,egoa,10110,4,total_post,1993.1472958109127,11602,130
1993,egoa,10110,12,female_male,2117.898194585748,11473,129
1993,egoa,10130,0,total_pre,345.529171661374,3468,43
1993,egoa,10130,1,male,242.33186210439467,1964,41
1993,egoa,10130,2,female,246.36248230826783,1446,43
1993,egoa,10130,4,total_post,345.5292843948967,3468,43
1993,egoa,10130,12,female_male,473.6949847355537,3410,43
1993,egoa,10180,0,total_pre,903.6056978703386,4867,73
1993,egoa,10180,1,male,539.8500431219956,2463,68
1993,egoa,10180,2,female,392.982111802966,2095,67
1993,egoa,10180,4,total_post,903.6062693893276,4867,73
1993,egoa,10180,12,female_male,761.3936061456491,4558,68
1993,egoa,10200,0,total_pre,934.15895151269,5139,57
1993,egoa,10200,1,male,368.4816942728634,2337,49
1993,egoa,10200,2,female,389.81569167292446,1820,50
1993,egoa,10200,4,total_post,934.1590086372179,5139,57
1993,egoa,10200,12,female_male,639.6550638598846,4157,50
1993,egoa,20510,0,total_pre,170.4445784744498,1159,43
1993,egoa,20510,1,male,48.065124860744305,313,28
1993,egoa,20510,2,female,52.08770614332086,309,31
1993,egoa,20510,4,total_post,170.44471800907047,1159,43
1993,egoa,20510,12,female_male,103.36200578024493,622,31
1993,egoa,21720,0,total_pre,109.97000473117602,437,25
1993,egoa,21720,1,male,58.88883737139061,197,22
1993,egoa,21720,2,female,56.01651907717149,240,22
1993,egoa,21720,4,total_post,109.96999693090612,437,25
1993,egoa,21720,12,female_male,112.85225251366086,437,25
1993,egoa,21740,0,total_pre,314.22228604232635,5184,81
1993,egoa,21740,1,male,162.00702399298495,2280,79
1993,egoa,21740,2,female,161.02787926398162,2399,78
1993,egoa,21740,4,total_post,314.222346375932,5184,81
1993,egoa,21740,12,female_male,324.3252974650795,4679,80
1993,egoa,30060,0,total_pre,131.77196770252905,7344,58
1993,egoa,30060,1,male,101.24446084047695,3476,58
1993,egoa,30060,2,female,85.47417350705469,3435,57
1993,egoa,30060,4,total_post,131.77196750032726,7344,58
1993,egoa,30060,12,female_male,184.0280739466281,6911,58
1993,goa,10110,0,total_pre,8287.97256130948,66060,638
1993,goa,10110,1,male,2148.840722772983,19311,609
1993,goa,10110,2,female,6576.409508488553,46558,629
1993,goa,10110,4,total_post,8287.973174084611,66060,638
1993,goa,10110,12,female_male,8183.9471434647285,65869,635
1993,goa,10130,0,total_pre,1843.554804499654,25995,363
1993,goa,10130,1,male,801.7860068193174,12248,337
1993,goa,10130,2,female,1032.3142552683164,13509,361
1993,goa,10130,4,total_post,1843.5548411434108,25995,363
1993,goa,10130,12,female_male,1762.6159839727268,25757,363
1993,goa,10180,0,total_pre,2124.9237889684346,10491,321
1993,goa,10180,1,male,997.045400660119,5316,283
1993,goa,10180,2,female,1103.0788158507498,4866,306
1993,goa,10180,4,total_post,2124.926606033187,10491,321
1993,goa,10180,12,female_male,1891.4816042215357,10182,316
1993,goa,10200,0,total_pre,2179.6105012370467,19100,374
1993,goa,10200,1,male,1233.0608287199173,8166,319
1993,goa,10200,2,female,1382.7556786878613,9943,359
1993,goa,10200,4,total_post,2179.610495960586,19100,374
1993,goa,10200,12,female_male,2165.1190158921054,18109,367
1993,goa,20510,0,total_pre,312.4857706009764,7705,262
1993,goa,20510,1,male,212.44008195547116,4295,234
1993,goa,20510,2,female,264.0503569736471,2873,236
1993,goa,20510,4,total_post,312.4856563086999,7705,262
1993,goa,20510,12,female_male,372.9232159292659,7168,250
1993,goa,21720,0,total_pre,1117.1217126190843,17447,453
1993,goa,21720,1,male,713.4735913625966,8414,433
1993,goa,21720,2,female,788.5162439200492,8570,435
1993,goa,21720,4,total_post,1117.1219095376725,17447,453
1993,goa,21720,12,female_male,1491.5359206248775,16984,452
1993,goa,21740,0,total_pre,882.5350863602579,35210,457
1993,goa,21740,1,male,414.97176960471575,14675,427
1993,goa,21740,2,female,624.918497741902,18848,430
1993,goa,21740,4,total_post,882.5351141079083,35210,457
1993,goa,21740,12,female_male,1010.6066748403096,33523,449
1993,goa,30060,0,total_pre,357.8386298517404,17357,219
1993,goa,30060,1,male,371.35889526822916,8815,208
1993,goa,30060,2,female,242.8082212655983,7976,208
1993,goa,30060,4,total_post,357.83865714537274,17357,219
1993,goa,30060,12,female_male,595.3447805753859,16791,218
1993,goa,30420,0,total_pre,157.25142445924862,4384,106
1993,goa,30420,1,male,117.5022832253289,2252,99
1993,goa,30420,2,female,102.92595086846916,2132,91
1993,goa,30420,4,total_post,157.2514023261219,4384,106
1993,goa,30420,12,female_male,197.5196330558564,4384,106
1993,wcgoa,10110,0,total_pre,6801.553241931962,54458,508
1993,wcgoa,10110,1,male,1512.5033911956684,14978,482
1993,wcgoa,10110,2,female,5591.184562121034,39418,500
1993,wcgoa,10110,4,total_post,6801.553526196322,54458,508
1993,wcgoa,10110,12,female_male,6666.5480542007335,54396,506
1993,wcgoa,10130,0,total_pre,1590.8884831125988,22527,320
1993,wcgoa,10130,1,male,665.4686553009223,10284,296
1993,wcgoa,10130,2,female,936.7377372079287,12063,318
1993,wcgoa,10130,4,total_post,1590.8884480937252,22527,320
1993,wcgoa,10130,12,female_male,1532.706453722107,22347,320
1993,wcgoa,10180,0,total_pre,1219.2543973307656,5624,248
1993,wcgoa,10180,1,male,518.3162188518332,2853,215
1993,wcgoa,10180,2,female,695.3548972458661,2771,239
1993,wcgoa,10180,4,total_post,1219.2553318030364,5624,248
1993,wcgoa,10180,12,female_male,1178.8914866575362,5624,248
1993,wcgoa,10200,0,total_pre,2302.9328225163085,13961,317
1993,wcgoa,10200,1,male,1099.8702917219418,5829,270
1993,wcgoa,10200,2,female,1788.699072398646,8123,309
1993,wcgoa,10200,4,total_post,2302.9339557681647,13961,317
1993,wcgoa,10200,12,female_male,2194.1739572952633,13952,317
1993,wcgoa,20510,0,total_pre,246.38639805372875,6546,219
1993,wcgoa,20510,1,male,194.5712487152472,3982,206
1993,wcgoa,20510,2,female,216.87352013848198,2564,205
1993,wcgoa,20510,4,total_post,246.3862700695084,6546,219
1993,wcgoa,20510,12,female_male,329.83809412205693,6546,219
