year,species_code,length,sex,abund
1990,21740,59,2,12449916
1990,21740,59,3,578968
1990,21740,60,0,15149701
1990,21740,60,1,3445119
1990,21740,60,2,11504827
1990,21740,60,3,199751
1990,21740,61,0,11277051
1990,21740,61,1,1783848
1990,21740,61,2,9395499
1990,21740,61,3,97703
1990,21740,62,0,8127001
1990,21740,62,1,1444863
1990,21740,62,2,6442275
1990,21740,62,3,239865
1990,21740,63,0,6443952
1990,21740,63,1,718623
1990,21740,63,2,5667742
1990,21740,63,3,57589
1990,21740,64,0,4722882
1990,21740,64,1,367619
1990,21740,64,2,4219679
1990,21740,64,3,135583
1990,21740,65,0,3641889
1990,21740,65,1,312961
1990,21740,65,2,3223949
1990,21740,65,3,104976
1990,21740,66,0,2673078
1990,21740,66,1,373632
1990,21740,66,2,2279043
1990,21740,66,3,20405
1990,21740,67,0,1143219
1990,21740,67,1,44053
1990,21740,67,2,1099166
1990,21740,68,0,728447
1990,21740,68,1,55318
1990,21740,68,2,642522
1990,21740,68,3,30607
1990,21740,69,0,1270399
1990,21740,69,1,14222
1990,21740,69,2,1245974
1990,21740,69,3,10202
1990,21740,70,0,453343
1990,21740,70,2,422736
1990,21740,70,3,30607
1990,21740,71,0,82069
1990,21740,71,2,71867
1990,21740,71,3,10202
1990,21740,72,0,131141
1990,21740,72,2,120939
1990,21740,72,3,10202
1990,21740,73,0,69492
1990,21740,73,2,69492
1990,21740,74,0,48145
1990,21740,74,2,48145
1990,21740,75,0,23048
1990,21740,75,2,12846
1990,21740,75,3,10202
1990,21740,77,0,27747
1990,21740,77,2,27747
1993,21740,5,0,75575
1993,21740,5,3,75575
1993,21740,6,0,1339639
1993,21740,6,3,1339639
1993,21740,7,0,708573
1993,21740,7,3,708573
1993,21740,8,0,225845
1993,21740,8,3,225845
1993,21740,9,0,206782
1993,21740,9,2,28032
1993,21740,9,3,178750
1993,21740,10,0,346807
1993,21740,10,1,4335
1993,21740,10,3,342472
1993,21740,11,0,60352
1993,21740,11,1,4335
1993,21740,11,3,56017
1993,21740,12,0,198296
1993,21740,12,1,37490
1993,21740,12,2,45671
1993,21740,12,3,115135
1993,21740,13,0,1575567
1993,21740,13,1,143004
1993,21740,13,2,238692
1993,21740,13,3,1193871
1993,21740,14,0,6128515
1993,21740,14,1,705527
1993,21740,14,2,1113812
1993,21740,14,3,4309173
1993,21740,15,0,8607691
1993,21740,15,1,1551777
1993,21740,15,2,1406372
1993,21740,15,3,5649540
1993,21740,16,0,10334852
1993,21740,16,1,2334929
1993,21740,16,2,4283398
1993,21740,16,3,3716525
1993,21740,17,0,16968124
1993,21740,17,1,8473742
1993,21740,17,2,6683421
1993,21740,17,3,1810962
1993,21740,18,0,21593919
1993,21740,18,1,11324569
1993,21740,18,2,8305373
1993,21740,18,3,1963977
1993,21740,19,0,13105598
1993,21740,19,1,5078125
1993,21740,19,2,5329488
1993,21740,19,3,2697987
1993,21740,20,0,8941516
1993,21740,20,1,2682513
1993,21740,20,2,3801774
