year,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
1996,301502,0,3,22.837500000000002,0.17670597047072267,NA,NA
1996,301502,0,4,23.028000000000002,0.5729029392294804,22.96,1.52
1996,301502,0,5,24.532,1.5189455406812835,26.98,3.09
1996,301502,0,6,31.753750000000004,2.0643777166843424,32.83,1.8
1996,301502,0,7,38.32199999999999,3.236310656699487,33.47,3.45
1996,301502,0,8,39.767,0.8869178842110094,39.31,2.35
1996,301502,0,9,41.078,0.8996641348612017,40.6,2.79
1996,301502,0,10,42.369,0.6698001360273226,42.14,2.17
1996,301502,0,11,43.634,0.5351053894120078,43.89,2.28
1996,301502,0,12,44.42,0.5065570056765584,44.410000000000004,2.04
1996,301502,0,13,44.394000000000005,0.7817245891830015,45.14,2.08
1996,301502,0,14,45.071,0.6896287245886572,46.19,2.23
1996,301502,0,15,44.870999999999995,0.7162471640432513,44.83,2.06
1996,301502,0,16,45.899,1.5715558462166637,44.39,2.32
1996,301502,0,17,45.851000000000006,0.44510797691246806,45.95,1.7399999999999998
1996,301502,0,18,46.538999999999994,0.5169665796204276,46.34,1.7899999999999998
1996,301502,0,19,46.578,0.4595601762071595,47.07,2.23
1996,301502,0,20,46.809999999999995,0.704446196983449,45.82,1.9899999999999998
1996,301502,0,21,46.453,0.9204352834996663,47.05,0.97
1996,301502,0,22,46.731,0.6082844729236486,46.84,2.4
1996,301502,0,23,46.92333333333333,1.4131348131017094,47.98,2.54
1996,301502,0,24,45.881,2.0808355693486855,45.49,1.8100000000000003
1996,301502,0,25,46.431,1.194258952005152,46.74,1.6599999999999997
1996,301502,0,26,46.331,0.9816816637224555,46.16,3.55
1996,301502,0,27,45.812000000000005,1.444874465904294,45.45,1.41
1996,301502,0,28,45.81099999999999,1.3898157351885827,45.16,2.11
1996,301502,0,29,45.574,0.7808570789701363,44.92,2.01
1996,301502,0,30,46.49777777777778,1.7657348171354745,46.43,1.55
1996,301502,0,31,46.18,1.8853470060796058,NA,NA
1996,301502,0,32,43.63333333333333,1.5176736583776278,45,0
1996,301502,0,33,47.5,0.7071067811865476,NA,NA
1996,301502,0,34,45.833333333333336,1.3291601358251257,48,0
1996,301502,0,35,46.5,2.1213203435596424,48,0
1996,301502,0,36,48,0,NA,NA
1996,301502,0,38,47.333333333333336,2.309401076758503,NA,NA
1996,301502,0,39,47.4375,3.2556041426029263,NA,NA
1996,301502,0,40,49.6,1.5405626677721798,NA,NA
1996,301502,0,41,49.14,1.216223663640861,47.89,1.37
1996,301502,0,43,48.35,1.5223337347638333,NA,NA
1996,301502,0,46,48,NA,NA,NA
1996,301502,1,3,23,0.816496580927726,NA,NA
1996,301502,1,4,22.93444444444445,0.8577166069149982,23.16,1.64
1996,301502,1,5,24.558,2.5726372115442593,28.81,1.65
1996,301502,1,6,31.759999999999998,2.10269668124847,32.2,1.9199999999999997
1996,301502,1,7,38.83,2.935370504723381,33.66,1.24
1996,301502,1,8,40.217999999999996,1.1873294029506347,39.71,2.06
1996,301502,1,9,41.015,0.9340146322908077,40.4,2.84
1996,301502,1,10,42.18599999999999,0.7877986206300879,42.25,2.39
1996,301502,1,11,43.11099999999999,0.7125611084905858,43.35,1.91
1996,301502,1,12,43.778,0.6227144878139039,43.980000000000004,1.85
1996,301502,1,13,44.026,0.3797133421704095,45.11,3.21
1996,301502,1,14,44.67399999999999,1.458623399723938,46.01,1.77
1996,301502,1,15,44.575,1.4136575885898894,44.47,1.7399999999999998
1996,301502,1,16,44.748000000000005,1.1099028986557538,44.61,1.78
1996,301502,1,17,45.693333333333335,1.454939861300116,45,0
1996,301502,1,18,45.910000000000004,1.5574908596129162,44.93,0.72
1996,301502,1,19,45.708999999999996,1.2088511534143127,45.42,1.93
1996,301502,1,20,45.388,1.269740130892932,45.47,2.13
1996,301502,1,21,45.602999999999994,2.2009142039919083,47.5,0.77
1996,301502,1,22,46.295,1.681522127914666,44.96,2.52
1996,301502,1,23,44.441250000000004,1.385346140345954,45.52,2
1996,301502,1,24,45.354444444444454,1.1920686967527414,44.57,1.5
1996,301502,1,25,45.86,1.0867382389517726,45.98,1.5
1996,301502,1,26,45.312222222222225,1.422021253162007,42.83,0.36999999999999994
1996,301502,1,27,44.413,1.6876943509481275,45.12,1.7199999999999998
1996,301502,1,28,44.698750000000004,1.6272978259328288,NA,NA
1996,301502,1,29,44.28333333333333,1.0906190902418684,43.7,0.99
1996,301502,1,30,46.326,3.4309444763796453,46.42,1.61
1996,301502,1,31,46.75,2.217355782608345,NA,NA
1996,301502,1,34,47,NA,NA,NA
1996,301502,1,38,45.5,0.7071067811865476,NA,NA
1996,301502,2,3,22.415,1.2578685675909598,NA,NA
1996,301502,2,4,23.28,1.083687121718154,22.88,1.32
1996,301502,2,5,24.86777777777778,3.1299671634770303,25.39,2.7
1996,301502,2,6,31.488,4.79693339541003,33.22,1.66
1996,301502,2,7,36.47857142857143,2.721184965974863,34.88,3.07
1996,301502,2,8,39.388999999999996,1.3320781592017117,38.96,2.5
1996,301502,2,9,40.23,1.4013961292622132,40.71,2.75
1996,301502,2,10,42.275999999999996,0.7741116772720127,41.96,1.75
1996,301502,2,11,44.184,0.8488842350076042,44.57,2.56
1996,301502,2,12,44.355,0.744942205066197,44.87,2.15
1996,301502,2,13,44.907,0.5183745964283186,45.27,1.78
1996,301502,2,14,45.13100000000001,0.43436927454260266,46.08,2.41
1996,301502,2,15,45.095,1.2950697106934264,44.93,2.22
1996,301502,2,16,45.330000000000005,1.1046153176558797,43.09,2.17
