year,region,species_code,sex,sex_desc,iss,nss,nhls
1990,cgoa,10110,0,total_pre,2207.024039004577,36060,304
1990,cgoa,10110,1,male,894.0477015734083,10132,299
1990,cgoa,10110,2,female,1709.1750501867634,25764,304
1990,cgoa,10110,4,total_post,2207.024008212581,36060,304
1990,cgoa,10110,12,female_male,2365.4191973309294,35896,304
1990,cgoa,10130,0,total_pre,1118.174338298709,16628,200
1990,cgoa,10130,1,male,642.0522023968466,7709,192
1990,cgoa,10130,2,female,685.421284904919,8892,200
1990,cgoa,10130,4,total_post,1118.1743188850949,16628,200
1990,cgoa,10130,12,female_male,1259.985214856407,16601,200
1990,cgoa,10180,0,total_pre,368.44452952142217,4389,127
1990,cgoa,10180,1,male,147.18396589703244,1831,122
1990,cgoa,10180,2,female,321.2338597597522,2558,126
1990,cgoa,10180,4,total_post,368.4445289486405,4389,127
1990,cgoa,10180,12,female_male,369.68628728972857,4389,127
1990,cgoa,10200,0,total_pre,881.1404841679317,9897,164
1990,cgoa,10200,1,male,337.2520514286196,4342,160
1990,cgoa,10200,2,female,720.65567324259,5555,164
1990,cgoa,10200,4,total_post,881.1405054431181,9897,164
1990,cgoa,10200,12,female_male,733.5468283518117,9897,164
1990,cgoa,20510,0,total_pre,358.98876423012234,3493,97
1990,cgoa,20510,1,male,415.4869103892962,1985,95
1990,cgoa,20510,2,female,145.5955490640258,1442,95
1990,cgoa,20510,4,total_post,358.9887816608921,3493,97
1990,cgoa,20510,12,female_male,361.8984859812139,3427,95
1990,cgoa,21720,0,total_pre,323.08104692456067,7422,179
1990,cgoa,21720,1,male,238.6847467453517,3631,178
1990,cgoa,21720,2,female,265.2784124030348,3680,178
1990,cgoa,21720,4,total_post,323.0811307133681,7422,179
1990,cgoa,21720,12,female_male,504.07404473649405,7311,179
1990,cgoa,21740,0,total_pre,277.8321177706064,30003,205
1990,cgoa,21740,1,male,266.66304557599756,10253,191
1990,cgoa,21740,2,female,456.85641031541115,14805,191
1990,cgoa,21740,4,total_post,277.8321162120746,30003,205
1990,cgoa,21740,12,female_male,702.8565434703839,25058,192
1990,cgoa,30060,0,total_pre,313.5232036001125,4523,78
1990,cgoa,30060,1,male,247.2590799798588,2534,74
1990,cgoa,30060,2,female,216.07207725214562,1891,74
1990,cgoa,30060,4,total_post,313.523172307407,4523,78
1990,cgoa,30060,12,female_male,464.88136136490084,4425,76
1990,cgoa,30420,0,total_pre,72.4527095866487,1919,31
1990,cgoa,30420,1,male,49.32981362444859,1086,30
1990,cgoa,30420,2,female,41.92982018877098,833,31
1990,cgoa,30420,4,total_post,72.45270708781032,1919,31
1990,cgoa,30420,12,female_male,95.07894535115838,1919,31
1990,egoa,10110,0,total_pre,1357.4058462309306,7918,96
1990,egoa,10110,1,male,684.3645872003777,3499,94
1990,egoa,10110,2,female,958.2368832935274,4278,94
1990,egoa,10110,4,total_post,1357.40586292458,7918,96
1990,egoa,10110,12,female_male,1519.1475422794101,7777,94
1990,egoa,10130,0,total_pre,303.68067725008297,2475,33
1990,egoa,10130,1,male,167.70166456245138,1225,33
1990,egoa,10130,2,female,198.66009429870925,1215,33
1990,egoa,10130,4,total_post,303.68071019836526,2475,33
1990,egoa,10130,12,female_male,354.9157336951496,2440,33
1990,egoa,10180,0,total_pre,678.0786200390555,2911,60
1990,egoa,10180,1,male,393.4044242031584,1493,60
1990,egoa,10180,2,female,387.48487136151874,1418,60
1990,egoa,10180,4,total_post,678.0786010571104,2911,60
1990,egoa,10180,12,female_male,714.0087173707346,2911,60
1990,egoa,10200,0,total_pre,385.42331248534407,3397,46
1990,egoa,10200,1,male,323.82435409608433,1979,46
1990,egoa,10200,2,female,162.2129284439544,1417,46
1990,egoa,10200,4,total_post,385.42328182280977,3397,46
1990,egoa,10200,12,female_male,349.7956429791814,3396,46
1990,egoa,20510,0,total_pre,392.3550790102239,1559,53
1990,egoa,20510,1,male,237.69015605299145,849,44
1990,egoa,20510,2,female,187.34606370402008,573,45
1990,egoa,20510,4,total_post,392.35497868856544,1559,53
1990,egoa,20510,12,female_male,408.6752442092253,1422,45
1990,egoa,21720,0,total_pre,152.0731936329841,480,21
1990,egoa,21720,1,male,81.35386226682623,218,21
1990,egoa,21720,2,female,90.17945613912353,262,21
1990,egoa,21720,4,total_post,152.07323955562632,480,21
1990,egoa,21720,12,female_male,172.01232706022043,480,21
1990,egoa,21740,0,total_pre,129.58195134995805,8521,77
1990,egoa,21740,1,male,246.2517790263356,3003,74
1990,egoa,21740,2,female,299.3519214241227,3265,74
1990,egoa,21740,4,total_post,129.58195169077152,8521,77
1990,egoa,21740,12,female_male,541.2649573378748,6268,74
1990,egoa,30060,0,total_pre,186.65414543474114,6417,62
1990,egoa,30060,1,male,159.36415686030497,3094,60
