year,region,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
1990,egoa,21720,1,7,70,0,71.96,3.71
1990,egoa,21720,1,8,70,0,NA,NA
1990,egoa,21720,2,1,26.33,0.9428326115134824,26.41,0.91
1990,egoa,21720,2,3,52.1375,0.2749999999999986,52,0
1990,egoa,21720,2,4,52.467499999999994,0.8192461691788893,52.75,0.43
1990,egoa,21720,2,5,63.99428571428571,7.803202028959771,NA,NA
1990,egoa,21720,2,6,73.735,3.478222247068178,68.21,2.41
1990,egoa,21720,2,7,79.06857142857143,5.573474166596117,75.78,1.98
1990,egoa,21720,2,8,80.40857142857143,5.640855220535947,76.74,2.52
1990,egoa,21720,2,9,82.944,7.3536167971957855,90,0
1990,egoa,21720,2,10,83.34,NA,NA,NA
1990,egoa,21720,4,1,26.92763386996225,0.8136278564385623,26.360854772090125,1.4751701209635308
1990,egoa,21720,4,2,29.906666666666666,0.16165807537309587,30,0
1990,egoa,21720,4,3,48.18528676406645,8.000295475938954,52,0
1990,egoa,21720,4,4,52.467499999999994,0.8192461691788893,52.75,0.42999999999999994
1990,egoa,21720,4,5,65.72448094058964,6.817249563099661,NA,NA
1990,egoa,21720,4,6,73.12832887231534,2.8334084206816477,68.97369686069327,1.7503191991861058
1990,egoa,21720,4,7,75.77227870651676,6.7640943253262655,74.44686077756617,2.5837515326729106
1990,egoa,21720,4,8,78.06385892700084,6.6177809103277685,76.74,2.52
1990,egoa,21720,4,9,82.944,7.3536167971957855,90,0
1990,egoa,21720,4,10,83.34,NA,NA,NA
1990,egoa,21740,0,1,22.63111111111111,2.872940325017405,21.22,0.41
1990,egoa,21740,0,2,27.505000000000003,1.3814987835278354,27.74,3.4
1990,egoa,21740,0,3,31.529999999999998,1.840455106760282,33.48,1.46
1990,egoa,21740,0,4,35.48428571428571,1.8580801663980777,35.97,2
1990,egoa,21740,0,5,38.48714285714285,1.241916721385594,39,0
1990,egoa,21740,0,6,36.5,3.5355339059327378,NA,NA
