year,species_code,sex,sex_desc,iss,nss,nhls
1990,10110,0,total_pre,3323.621169669569,54708,492
1990,10110,1,male,1878.3204343404473,16829,485
1990,10110,2,female,2148.85966628739,37574,490
1990,10110,4,total_post,3323.6208748002027,54708,492
1990,10110,12,female_male,3537.3753861875875,54403,490
1990,10130,0,total_pre,1842.364816537408,24322,286
1990,10130,1,male,976.1429590793605,11255,276
1990,10130,2,female,1179.8127038783407,12939,285
1990,10130,4,total_post,1842.3647522302529,24322,286
1990,10130,12,female_male,2152.4623695297932,24194,285
1990,10180,0,total_pre,539.7892238330644,7435,195
1990,10180,1,male,194.06555532134448,3401,188
1990,10180,2,female,561.9777615853685,4034,194
1990,10180,4,total_post,539.7894509475583,7435,195
1990,10180,12,female_male,548.6042368584949,7435,195
1990,10200,0,total_pre,1238.7586352759306,14387,237
1990,10200,1,male,533.7898263412696,6793,227
1990,10200,2,female,878.2185620586141,7593,237
1990,10200,4,total_post,1238.7584416017696,14387,237
1990,10200,12,female_male,1263.820015473371,14386,237
1990,20510,0,total_pre,410.0436377113008,5172,155
1990,20510,1,male,565.1731135882965,2890,144
1990,20510,2,female,143.25184289965975,2079,145
1990,20510,4,total_post,410.0437683185173,5172,155
1990,20510,12,female_male,424.7840362426627,4969,145
1990,21720,0,total_pre,672.8705210042142,11418,276
1990,21720,1,male,461.3983855648746,5535,274
1990,21720,2,female,531.0767422950545,5772,275
1990,21720,4,total_post,672.8706572596881,11418,276
1990,21720,12,female_male,992.958010900738,11307,276
1990,21740,0,total_pre,361.9154048976955,42631,325
1990,21740,1,male,569.0729189890372,15014,302
1990,21740,2,female,750.705777309972,20053,302
1990,21740,4,total_post,361.9153925026765,42631,325
1990,21740,12,female_male,1328.3486574114218,35067,303
1990,30060,0,total_pre,241.97310348488892,12612,156
1990,30060,1,male,244.59231246608297,6502,149
1990,30060,2,female,133.29633384666164,5718,149
1990,30060,4,total_post,241.97309499583147,12612,156
1990,30060,12,female_male,330.2191139223659,12220,151
1990,30420,0,total_pre,100.3295597413035,3018,46
1990,30420,1,male,68.37334498455466,1682,45
1990,30420,2,female,69.25280906596299,1334,46
1990,30420,4,total_post,100.32954785937896,3018,46
1990,30420,12,female_male,139.00500051208806,3016,46
1993,10110,0,total_pre,6230.320796357016,66060,638
1993,10110,1,male,2265.578465841002,19311,609
1993,10110,2,female,5155.740906595934,46558,629
1993,10110,4,total_post,6230.321033550704,66060,638
1993,10110,12,female_male,7117.438050489587,65869,635
1993,10130,0,total_pre,1975.043878754141,25995,363
1993,10130,1,male,880.1058402273907,12248,337
1993,10130,2,female,1130.533123109789,13509,361
1993,10130,4,total_post,1975.0443430421124,25995,363
1993,10130,12,female_male,1841.038346207851,25757,363
1993,10180,0,total_pre,1641.2747137608876,10491,321
1993,10180,1,male,1078.2953330156347,5316,283
