year,region,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
1990,cgoa,10110,0,1,23.34,1.4425394275374244,NA,NA
1990,cgoa,10110,0,2,23.901,0.6687376167077782,23.47,2.28
1990,cgoa,10110,0,3,30.685000000000002,1.1098072905789653,28.62,2.68
1990,cgoa,10110,0,4,35.737,1.6196299302961497,33.55,3.24
1990,cgoa,10110,0,5,39.961,1.7826225998043819,38.5,4.85
1990,cgoa,10110,0,6,42.02799999999999,0.8005109479437353,42.77,4.85
1990,cgoa,10110,0,7,43.142,1.6723091154980232,44.1,4.54
1990,cgoa,10110,0,8,46.609,1.379085445745357,47.62,3.68
1990,cgoa,10110,0,9,47.928000000000004,2.791609651159067,49.72,6.38
1990,cgoa,10110,0,10,48.609,4.021029304378005,51.71,5.74
1990,cgoa,10110,0,11,52.528999999999996,3.099123352749219,55.38,6.45
1990,cgoa,10110,0,12,54.547000000000004,4.483143862167362,58.51,8.49
1990,cgoa,10110,0,13,55.862,4.9101952891690335,58.58,5.17
1990,cgoa,10110,0,14,56.17444444444444,4.057136031460837,58.94,6.61
1990,cgoa,10110,0,15,60.32,6.717879129606306,59.48,0.5
1990,cgoa,10110,0,16,66.52714285714286,7.4078892951719935,57,0
1990,cgoa,10110,0,17,65.04714285714286,7.276184243328171,74.75,2.58
1990,cgoa,10110,0,18,66.65375,6.939662275644255,73.4,0.77
1990,cgoa,10110,0,19,67.546,5.44963118018091,63,0
1990,cgoa,10110,0,20,68.14333333333333,8.972147643308892,NA,NA
1990,cgoa,10110,0,21,68.83333333333333,5.751811308912466,70,0
1990,cgoa,10110,0,22,60,NA,NA,NA
1990,cgoa,10110,0,23,71.95,NA,NA,NA
1990,cgoa,10110,0,24,70,NA,NA,NA
1990,cgoa,10110,0,25,70,NA,NA,NA
1990,cgoa,10110,1,1,24.75,1.707825127659933,NA,NA
1990,cgoa,10110,1,2,24.717000000000002,1.0641642521507453,24.31,2.36
1990,cgoa,10110,1,3,30.331999999999994,1.7020693287877557,29.12,2.85
1990,cgoa,10110,1,4,33.734,1.2862538197762092,33.34,2.74
1990,cgoa,10110,1,5,37.086,1.1103372860932343,36.65,3.15
1990,cgoa,10110,1,6,40.05,1.528063407643078,39.29,2.02
1990,cgoa,10110,1,7,40.657,1.581328906682956,41.48,2.3
1990,cgoa,10110,1,8,41.836,1.5124755278093662,43.39,3.5
1990,cgoa,10110,1,9,45.433749999999996,2.3792492063073776,44.27,1.28
1990,cgoa,10110,1,10,44.635555555555555,1.9428208300761491,44.86,2.42
1990,cgoa,10110,1,11,46.212857142857146,2.4821141142563277,46.13,1.64
1990,cgoa,10110,1,12,45.51333333333333,2.633831176568967,NA,NA
1990,cgoa,10110,1,13,44.8525,2.648085786626509,NA,NA
1990,cgoa,10110,1,14,49,4,51,0
1990,cgoa,10110,1,15,47.5,3.5355339059327378,NA,NA
1990,cgoa,10110,1,16,51,NA,NA,NA
1990,cgoa,10110,1,17,51,NA,NA,NA
1990,cgoa,10110,1,20,50,NA,NA,NA
1990,cgoa,10110,2,1,23.61,1.5120515864215742,NA,NA
1990,cgoa,10110,2,2,23.754,1.1860691379510722,22.96,1.96
1990,cgoa,10110,2,3,30.413,3.409486927839893,28.09,2.47
1990,cgoa,10110,2,4,35.910999999999994,1.8477581010511082,33.57,3.66
1990,cgoa,10110,2,5,40.612,2.3985680913596945,38.68,5.4
1990,cgoa,10110,2,6,43.473000000000006,1.9454165506532395,43.97,5.02
1990,cgoa,10110,2,7,44.692,3.2702898274549863,45.75,5.08
1990,cgoa,10110,2,8,48.945,2.206526934145856,48.3,3.37
1990,cgoa,10110,2,9,50.246,2.663515638316313,52.14,6.15
1990,cgoa,10110,2,10,53.88800000000001,3.487749353889346,55.22,3.46
1990,cgoa,10110,2,11,58.44,5.674776549688005,58.05,4.82
1990,cgoa,10110,2,12,57.718,2.2351574640031275,58.45,8.48
