year,sex,age,agepop,mean_length,sd_length,species_code
1990,0,6,104003,27,0,301502
1990,0,7,19424,33.32,1.97,301502
1990,0,8,20745,34.04,2.44,301502
1990,0,9,94186,39.08,1.48,301502
1990,0,10,1939577,41.87,2.39,301502
1990,0,11,1645496,42.220000000000006,1.48,301502
1990,0,12,1536171,43.43,1.65,301502
1990,0,13,2031094,43.98,1.93,301502
1990,0,14,2485088,44.75,1.7799999999999998,301502
1990,0,15,1561967,44.97,1.16,301502
1990,0,16,1125394,45.16,1.09,301502
1990,0,17,108443,48.44,0.5,301502
1990,0,18,1307848,44.55,1.8099999999999998,301502
1990,0,19,360592,45.53,1.36,301502
1990,0,20,183036,47,0,301502
1990,0,21,220441,46,0,301502
1990,0,29,10178,52,0,301502
1990,0,30,265028,44.91,1.68,301502
1990,0,31,10178,51,0,301502
1990,0,32,10178,53,0,301502
1990,0,46,60288,48,0,301502
1990,0,50,220441,46,0,301502
1990,1,7,15353,33.94,1.77,301502
1990,1,8,11859,34.28,2.37,301502
1990,1,9,7787,36,0,301502
1990,1,10,267770,41.6,2.69,301502
1990,1,11,620107,41.45,0.69,301502
1990,1,12,795982,43,1.58,301502
1990,1,13,717706,42.32,1.41,301502
1990,1,14,752072,42.88,1.12,301502
1990,1,15,634950,44.68,1.34,301502
1990,1,16,439973,45.11,0.94,301502
1990,1,17,18263,49,0,301502
1990,1,18,613890,43.48,1.7599999999999998,301502
1990,1,19,137423,45,0,301502
1990,1,20,29327,47,0,301502
1990,1,30,196738,45.14,1.8,301502
1990,1,46,55962,48,0,301502
1990,1,50,132447,46,0,301502
1990,2,6,39260,27,0,301502
1990,2,8,4072,36,0,301502
1990,2,9,113480,38.64,1.4900000000000002,301502
1990,2,10,1335405,42.95,1.87,301502
1990,2,11,1339125,43.01,1.68,301502
1990,2,12,872414,43.959999999999994,1.42,301502
1990,2,13,1543084,45.19,1.5399999999999998,301502
1990,2,14,2229983,45.8,1,301502
1990,2,15,858219,44.91,0.98,301502
1990,2,16,264565,44,0,301502
1990,2,17,62450,48,0,301502
1990,2,18,400294,45.59,2.27,301502
1990,2,19,63101,49,0,301502
1990,2,21,293770,46,0,301502
1990,2,29,10178,52,0,301502
1990,2,31,10178,51,0,301502
1990,2,32,10178,53,0,301502
1990,3,10,2070,44,0,301502
1990,3,13,6210,44,0,301502
1990,3,14,4140,44,0,301502
1990,3,15,2070,44,0,301502
1990,3,16,4140,44,0,301502
1990,3,18,4140,44,0,301502
1990,3,30,2070,44,0,301502
1993,0,3,290271,20.16,1.16,301502
1993,0,4,844676,24.16,1.06,301502
1993,0,5,2919719,27.160000000000004,1.02,301502
1993,0,6,4281640,30.73,1.76,301502
1993,0,7,10165415,33.64,2.11,301502
1993,0,8,6033985,36.14,2.8599999999999994,301502
1993,0,9,6506887,39.07,2.71,301502
1993,0,10,1891239,42.04,2.58,301502
1993,0,11,1933879,42.32,3.43,301502
1993,0,12,1232915,43.83,3.34,301502
1993,0,13,2919383,44.28,2.76,301502
1993,0,14,1383967,43.35,3.74,301502
