year,sex,age,agepop,mean_length,sd_length,species_code
1990,0,3,43637,13.99,1.42,3005012
1990,0,4,89621,15.7,2.03,3005012
1990,0,5,243320,19.21,1.73,3005012
1990,0,6,404289,20.49,2.34,3005012
1990,0,7,2012383,28.2,3.97,3005012
1990,0,8,1892658,31.079999999999995,5.32,3005012
1990,0,9,4733290,32.94,4.72,3005012
1990,0,10,7051097,34.15,4.7,3005012
1990,0,11,4026011,34.21,4.93,3005012
1990,0,12,1393788,37.96,3.6299999999999994,3005012
1990,0,13,2406748,39.73,4.29,3005012
1990,0,14,3047492,36.8,5.17,3005012
1990,0,15,1276653,37.79,5.98,3005012
1990,0,16,764379,42.52,3.5,3005012
1990,0,17,371838,43.58,2.5,3005012
1990,0,18,193491,43,0,3005012
1990,0,19,981749,39.61,6.39,3005012
1990,0,20,386982,43,0,3005012
1990,0,21,290203,45,0,3005012
1990,0,22,204343,51,0,3005012
1990,0,24,574227,43.63,3.05,3005012
1990,0,25,394197,53.8,0.98,3005012
1990,0,26,505146,44.32,5.38,3005012
1990,0,28,271071,44,0,3005012
1990,0,29,497726,42.32,2.92,3005012
1990,0,30,290203,45,0,3005012
1990,0,31,640985,47.43,0.82,3005012
1990,0,32,251632,47,0,3005012
1990,0,33,814829,47.52000000000001,3.54,3005012
1990,0,34,835254,46.24,1.74,3005012
1990,0,35,888908,45.90999999999999,1.5899999999999999,3005012
1990,0,36,1150430,48.07,4.98,3005012
1990,0,37,230324,50.21,1.47,3005012
1990,0,38,186015,48,0,3005012
1990,0,39,534959,44.64,4.97,3005012
1990,0,40,534895,47.03,2.24,3005012
1990,0,41,408792,45.68,2.36,3005012
1990,0,43,208527,42,0,3005012
1990,0,44,192153,46,0,3005012
1990,0,47,106971,50,0,3005012
1990,0,48,14375,73,0,3005012
1990,0,53,186015,48,0,3005012
1990,0,65,76720,56,0,3005012
1990,0,73,117905,54,0,3005012
1990,1,3,14750,12,0,3005012
1990,1,4,9406,14,0,3005012
1990,1,5,163910,19.95,0.8199999999999998,3005012
1990,1,6,268791,20.49,2.47,3005012
1990,1,7,600709,27.21,3.08,3005012
1990,1,8,848032,27.84,4.24,3005012
1990,1,9,1736556,33.33,4.08,3005012
1990,1,10,3988232,35.11,4.73,3005012
1990,1,11,1991801,33.86,4.35,3005012
1990,1,12,624860,38.75,4.29,3005012
1990,1,13,1595945,40.05,4.6,3005012
1990,1,14,1579576,38.38,3.76,3005012
1990,1,15,744270,37.67,6.45,3005012
1990,1,16,544612,43.29,3.41,3005012
1990,1,17,359610,43.32,2.49,3005012
1990,1,20,205093,43,0,3005012
