year,species_code,sex,sex_desc,iss,nss,nhls
2002,10110,0,total_pre,927.4366634509001,3565,79
2002,10110,1,male,260.63084033208565,790,57
2002,10110,2,female,707.2056783316001,2775,77
2002,10110,4,total_post,927.4367305662403,3565,79
2002,10110,12,female_male,905.096569705387,3565,79
2002,10112,0,total_pre,572.3130560848358,1612,119
2002,10112,1,male,290.9023376530882,799,95
2002,10112,2,female,325.4110302132705,813,114
2002,10112,4,total_post,572.3131938808351,1612,119
2002,10112,12,female_male,573.2900231350089,1612,119
2002,10115,0,total_pre,437.7407559364228,1054,102
2002,10115,1,male,292.9779895313373,675,84
2002,10115,2,female,181.4350759421642,379,81
2002,10115,4,total_post,437.74075682593764,1054,102
2002,10115,12,female_male,435.8600975287865,1054,102
2002,30060,0,total_pre,188.78551711122824,2040,51
2002,30060,1,male,96.41583351725293,1127,46
2002,30060,2,female,111.74072180766906,909,46
2002,30060,4,total_post,188.78551370948358,2040,51
2002,30060,12,female_male,185.03145766400604,2036,51
2004,10110,0,total_pre,1690.129527897337,7433,136
2004,10110,1,male,401.29536268404377,1604,101
2004,10110,2,female,1320.5365341841566,5828,133
2004,10110,4,total_post,1690.12967831158,7433,136
2004,10110,12,female_male,1611.5065813697172,7432,136
2004,10112,0,total_pre,826.5195396839229,2774,193
2004,10112,1,male,542.4199404848798,1797,159
2004,10112,2,female,397.56176229155096,977,186
2004,10112,4,total_post,826.5196569625494,2774,193
2004,10112,12,female_male,902.7552814662486,2774,193
2004,10115,0,total_pre,359.88507836484024,1792,157
2004,10115,1,male,401.28302121100603,1008,120
2004,10115,2,female,210.54042655848238,784,132
2004,10115,4,total_post,359.8850149646176,1792,157
2004,10115,12,female_male,365.6929324228241,1792,157
2004,30060,0,total_pre,248.18333742612742,3955,98
2004,30060,1,male,197.11919357614613,2297,89
2004,30060,2,female,91.68814640387896,1652,87
2004,30060,4,total_post,248.18335156441066,3955,98
2004,30060,12,female_male,202.7087293590823,3949,97
2008,10110,0,total_pre,1032.5362044994285,7528,123
2008,10110,1,male,225.18550580569604,1426,90
2008,10110,2,female,1024.905174491641,6102,122
2008,10110,4,total_post,1032.5362425126452,7528,123
2008,10110,12,female_male,1118.3758865142127,7528,123
2008,10112,0,total_pre,717.4909843973891,3926,170
2008,10112,1,male,465.3738633514394,2326,152
2008,10112,2,female,408.20537839085983,1600,161
2008,10112,4,total_post,717.4908055564476,3926,170
2008,10112,12,female_male,755.7312136957886,3926,170
2008,10115,0,total_pre,466.20500535599973,1307,135
2008,10115,1,male,342.67013364244286,866,106
2008,10115,2,female,201.28034608566998,441,103
2008,10115,4,total_post,466.2053023651915,1307,135
2008,10115,12,female_male,489.01093132682104,1307,135
2008,30060,0,total_pre,147.92243962981055,2818,74
2008,30060,1,male,101.34175131014152,1543,67
2008,30060,2,female,90.47258739650569,1204,68
2008,30060,4,total_post,147.92244161969074,2818,74
2008,30060,12,female_male,153.65638700914764,2747,73
2010,10110,0,total_pre,1024.373436038114,6662,141
2010,10110,1,male,333.7041657738744,1349,92
2010,10110,2,female,847.6226025280982,5313,141
2010,10110,4,total_post,1024.3734521857361,6662,141
2010,10110,12,female_male,1027.770894828537,6662,141
2010,10112,0,total_pre,1156.139782850542,4903,177
2010,10112,1,male,807.1154663134704,2931,161
2010,10112,2,female,543.3971577063079,1972,173
2010,10112,4,total_post,1156.1393533669489,4903,177
2010,10112,12,female_male,1209.3369504519853,4903,177
2010,10115,0,total_pre,524.3824425619831,1485,142
2010,10115,1,male,388.2308144272339,1032,128
2010,10115,2,female,145.85948715774032,453,93
2010,10115,4,total_post,524.3826678234633,1485,142
2010,10115,12,female_male,490.8286676470872,1485,142
2010,30060,0,total_pre,238.02473434985237,3348,89
2010,30060,1,male,122.86360740685821,1936,81
2010,30060,2,female,106.68667476014883,1410,76
2010,30060,4,total_post,238.0247336294455,3348,89
2010,30060,12,female_male,217.13246856577499,3346,88
2012,10110,0,total_pre,831.8122173804437,5897,122
2012,10110,1,male,297.5046114602204,1131,91
2012,10110,2,female,671.7047430829659,4766,121
2012,10110,4,total_post,831.8121973952484,5897,122
2012,10110,12,female_male,823.0768000542249,5897,122
2012,10112,0,total_pre,393.73810878403816,3623,161
2012,10112,1,male,237.29185515652046,1958,138
2012,10112,2,female,340.4964742072447,1665,154
2012,10112,4,total_post,393.73793145473354,3623,161
2012,10112,12,female_male,418.61638241277905,3623,161
2012,10115,0,total_pre,361.1972343953804,2144,132
2012,10115,1,male,265.2692957417047,1348,114
2012,10115,2,female,241.36837479075842,796,96
2012,10115,4,total_post,361.1973221355504,2144,132
2012,10115,12,female_male,475.162999430614,2144,132
2012,30060,0,total_pre,208.35424845015194,3459,69
