year,species_code,sex,age,agepop,mean_length,sd_length
1982,10110,1,1,1066471,13,0
1982,10110,1,2,26653454,20.77,1.88
1982,10110,1,3,24099281,27.63,3.14
1982,10110,1,4,9285526,31.24,2.74
1982,10110,1,5,19016165,34.72,3.19
1982,10110,1,6,7607405,38.91,4.36
1982,10110,1,7,5520463,41.66,2.49
1982,10110,1,8,509742,40.74,4.98
1982,10110,1,9,106387,49,0
1982,10110,2,2,37894057,20.62,1.84
1982,10110,2,3,22045149,28.14,2.94
1982,10110,2,4,11850587,33.13,2.35
1982,10110,2,5,16925317,35.84,3.39
1982,10110,2,6,16990755,39.66,3.81
1982,10110,2,7,10308348,43.65,4.32
1982,10110,2,8,3848504,48.67,2.57
1982,10110,2,9,1696876,50.47,3.64
1982,10110,3,1,718870,13,0
1982,10110,3,2,47615,18,0
1982,10115,1,1,5242982,16.67,1.27
1982,10115,1,2,7656547,24.06,3.68
1982,10115,1,3,6956117,34.58,3.14
1982,10115,1,4,10312115,39.86,2.86
1982,10115,1,5,1641872,45.56,1.63
1982,10115,1,6,58308,50,0
1982,10115,1,7,127646,52,0
1982,10115,2,1,5014473,16.99,1.07
1982,10115,2,2,6107761,24.91,2.11
1982,10115,2,3,8441725,33.17,3.79
1982,10115,2,4,14140811,40.54,3.02
1982,10115,2,5,3997771,45.62,1.95
1982,10115,2,6,2703679,47.64,1.98
1982,10115,2,7,505567,52.3,1.2
1982,10115,3,1,320458,16.7,1.69
1982,10115,3,2,78121,19.81,0.47
1982,10130,1,2,24744031,13,0.81
1982,10130,1,3,70705317,16.57,2.12
1982,10130,1,4,79579415,20.65,1.82
1982,10130,1,5,103357918,24.97,2.1
1982,10130,1,6,96687107,26.14,2.86
1982,10130,1,7,58921382,28.03,2.52
1982,10130,1,8,43918552,29.36,1.32
1982,10130,1,9,12430336,31.37,0.99
1982,10130,1,10,15497683,31.46,1.35
1982,10130,1,11,23448085,30.25,1.77
1982,10130,1,12,6434277,34.14,1.58
1982,10130,1,13,13277776,30.42,2.61
1982,10130,1,14,12816949,31.35,2.03
1982,10130,1,15,1256671,34,0
1982,10130,1,17,732720,36,0
1982,10130,1,18,1416130,33,0
1982,10130,1,20,2508303,32,0
1982,10130,2,1,943629,11,0
1982,10130,2,2,17381056,13.08,1.01
1982,10130,2,3,65902113,16.52,2.17
1982,10130,2,4,94783117,21.26,1.67
1982,10130,2,5,55663359,24.96,1.29
1982,10130,2,6,84920738,27.24,2.2
1982,10130,2,7,58437740,29.75,2.62
1982,10130,2,8,48066133,30.74,2.14
1982,10130,2,9,46660205,32.43,1.76
1982,10130,2,10,15041270,33.32,2.78
1982,10130,2,11,9289159,34.37,2.06
