year,species_code,sex,sex_desc,length,iss,nss,nhl
1982,10110,0,total,13,1.1637390213299874,1,1
1982,10110,0,total,17,2.152417879814228,3,2
1982,10110,0,total,17,2.152417879814228,3,1
1982,10110,0,total,18,2.9413391680003214,5,2
1982,10110,0,total,18,2.9413391680003214,5,1
1982,10110,0,total,19,2.6992166302246274,5,4
1982,10110,0,total,20,3.526045692271254,9,2
1982,10110,0,total,20,3.526045692271254,9,4
1982,10110,0,total,21,2.849398280763569,4,2
1982,10110,0,total,21,2.849398280763569,4,1
1982,10110,0,total,22,4.010430770052484,9,4
1982,10110,0,total,22,4.010430770052484,9,5
1982,10110,0,total,23,2.5631058622023084,4,2
1982,10110,0,total,23,2.5631058622023084,4,2
1982,10110,0,total,24,3.495112922001432,9,4
1982,10110,0,total,24,3.495112922001432,9,4
1982,10110,0,total,25,3.97385402918938,7,4
1982,10110,0,total,25,3.97385402918938,7,3
1982,10110,0,total,26,1.6580976612736447,2,1
1982,10110,0,total,26,1.6580976612736447,2,1
1982,10110,0,total,27,2.884901914964879,8,4
1982,10110,0,total,27,2.884901914964879,8,4
1982,10110,0,total,28,2.560542387198706,5,2
1982,10110,0,total,28,2.560542387198706,5,1
1982,10110,0,total,29,2.5711660056479357,5,1
1982,10110,0,total,29,2.5711660056479357,5,3
1982,10110,0,total,30,4.231324217203539,12,3
1982,10110,0,total,30,4.231324217203539,12,4
1982,10110,0,total,31,4.976416651195363,14,6
1982,10110,0,total,31,4.976416651195363,14,5
1982,10110,0,total,32,4.2971817960275365,10,4
1982,10110,0,total,32,4.2971817960275365,10,5
1982,10110,0,total,33,5.144476517213713,10,4
1982,10110,0,total,33,5.144476517213713,10,4
1982,10110,0,total,34,3.663207283935921,8,5
1982,10110,0,total,34,3.663207283935921,8,3
1982,10110,0,total,35,3.1619290960531665,8,4
1982,10110,0,total,35,3.1619290960531665,8,3
1982,10110,0,total,36,4.866404517547014,13,6
1982,10110,0,total,36,4.866404517547014,13,5
1982,10110,0,total,37,4.752780929804555,10,5
1982,10110,0,total,37,4.752780929804555,10,5
1982,10110,0,total,38,4.69217633505026,8,2
1982,10110,0,total,38,4.69217633505026,8,6
1982,10110,0,total,39,5.115375254593321,10,5
1982,10110,0,total,39,5.115375254593321,10,4
1982,10110,0,total,40,6.066844808901084,12,4
1982,10110,0,total,40,6.066844808901084,12,5
1982,10110,0,total,41,3.363428276113729,7,2
1982,10110,0,total,41,3.363428276113729,7,4
1982,10110,0,total,42,3.8354892544718964,7,3
1982,10110,0,total,42,3.8354892544718964,7,4
1982,10110,0,total,43,4.235369175954403,7,2
1982,10110,0,total,43,4.235369175954403,7,4
1982,10110,0,total,44,1.2395359027951995,5,2
1982,10110,0,total,44,1.2395359027951995,5,2
1982,10110,0,total,45,2.816856378477915,3,2
1982,10110,0,total,45,2.816856378477915,3,1
1982,10110,0,total,46,2.943895138891717,2,1
1982,10110,0,total,46,2.943895138891717,2,1
1982,10110,0,total,47,3.33212496949364,3,1
1982,10110,0,total,47,3.33212496949364,3,2
1982,10110,0,total,48,3.3471982059410013,3,1
1982,10110,0,total,48,3.3471982059410013,3,2
1982,10110,0,total,49,1.795523121123035,3,1
1982,10110,0,total,49,1.795523121123035,3,2
1982,10110,0,total,51,1.1010562191712776,1,1
1982,10110,0,total,52,1.151705248979523,1,1
1982,10110,0,total,54,0.9650761523202989,1,1
1982,10110,0,total,55,1.067882204680916,1,1
1982,10110,0,total,56,1.0932224214348771,1,1
1982,10110,0,total,64,1.0127794996184043,1,1
1982,10110,1,male,13,1.0929326191617517,1,1
1982,10110,1,male,17,1.8274458963947695,2,2
1982,10110,1,male,18,2.313316002183162,3,2
1982,10110,1,male,20,2.1616206840216496,2,2
1982,10110,1,male,21,3.057752257220175,3,2
1982,10110,1,male,22,2.513449766471196,4,4
1982,10110,1,male,23,1.7877485956158956,2,2
1982,10110,1,male,24,3.4298945405131245,5,4
1982,10110,1,male,25,2.8967768118451174,4,4
1982,10110,1,male,26,1.788792836108868,1,1
1982,10110,1,male,27,2.7069243442012363,4,4
1982,10110,1,male,28,2.016630405436703,2,2
1982,10110,1,male,29,1.41298088308088,1,1
1982,10110,1,male,30,3.616134617233816,5,3
1982,10110,1,male,31,3.444742537029311,6,6
1982,10110,1,male,32,3.415174275758928,5,4
1982,10110,1,male,33,3.4074913583169635,4,4
1982,10110,1,male,34,3.500266297983153,5,5
1982,10110,1,male,35,1.424398294921231,4,4
1982,10110,1,male,36,2.108175703261444,6,6
1982,10110,1,male,37,3.137311902841237,5,5
1982,10110,1,male,38,1.3286678527654283,2,2
1982,10110,1,male,39,3.799189975274111,6,5
1982,10110,1,male,40,3.6807761006027397,6,4
1982,10110,1,male,41,2.1147047501825655,3,2
1982,10110,1,male,42,2.598133315213294,3,3
1982,10110,1,male,43,1.2856955222933146,2,2
1982,10110,1,male,44,1.1000358334237799,2,2
1982,10110,1,male,45,2.929911093090796,2,2
1982,10110,1,male,46,1.0255750179351455,1,1
1982,10110,1,male,47,1.3211133698731217,1,1
1982,10110,1,male,48,1.094444540011739,1,1
1982,10110,1,male,49,0.9848197846265577,1,1
1982,10110,1,male,55,0.9786391218919409,1,1
1982,10110,2,female,17,1.888374908131944,1,1
1982,10110,2,female,18,2.1869693265703045,2,1
1982,10110,2,female,19,2.6020356905115176,5,4
1982,10110,2,female,20,3.320987103544488,7,4
1982,10110,2,female,21,2.2090860998450075,1,1
1982,10110,2,female,22,3.308043684888301,5,5
1982,10110,2,female,23,1.86618287309784,2,2
1982,10110,2,female,24,2.7520984294835857,4,4
1982,10110,2,female,25,3.353728709501941,3,3
1982,10110,2,female,26,1.691565309252461,1,1
1982,10110,2,female,27,2.6113308176374432,4,4
1982,10110,2,female,28,2.169235263435102,3,1
1982,10110,2,female,29,2.082550790300935,4,3
1982,10110,2,female,30,3.833837572782672,7,4
1982,10110,2,female,31,3.9863100733611603,8,5
1982,10110,2,female,32,3.6019182994250762,5,5
1982,10110,2,female,33,3.424797536466725,6,4
1982,10110,2,female,34,2.2125139367305495,3,3
1982,10110,2,female,35,3.780584508895112,4,3
1982,10110,2,female,36,3.898447703635942,7,5
1982,10110,2,female,37,3.786957494912534,5,5
1982,10110,2,female,38,3.541389305512632,6,6
1982,10110,2,female,39,3.522901154369038,4,4
1982,10110,2,female,40,4.028350398070092,6,5
1982,10110,2,female,41,2.878348234537294,4,4
1982,10110,2,female,42,3.6351546234554437,4,4
1982,10110,2,female,43,3.0134630646706597,5,4
1982,10110,2,female,44,1.146439865493948,3,2
1982,10110,2,female,45,1.2806735240151659,1,1
1982,10110,2,female,46,1.1743755877394286,1,1
1982,10110,2,female,47,2.575748029496563,2,2
1982,10110,2,female,48,2.456635556156924,2,2
1982,10110,2,female,49,1.136645249897726,2,2
1982,10110,2,female,51,1.0312185295008478,1,1
1982,10110,2,female,52,1.027819425455676,1,1
1982,10110,2,female,54,0.994741269367835,1,1
1982,10110,2,female,56,1.0877759759483103,1,1
1982,10110,2,female,64,0.9907760225431055,1,1
1982,10115,0,total,14,2.0185062156428684,1,1
1982,10115,0,total,15,3.431692789040694,9,1
1982,10115,0,total,15,3.431692789040694,9,3
1982,10115,0,total,16,3.9397018799841237,10,4
1982,10115,0,total,16,3.9397018799841237,10,2
1982,10115,0,total,17,3.966924899114831,10,4
1982,10115,0,total,17,3.966924899114831,10,4
1982,10115,0,total,18,4.695559856594224,11,5
1982,10115,0,total,18,4.695559856594224,11,3
1982,10115,0,total,19,3.0698693643635027,3,3
1982,10115,0,total,20,2.7033437694994973,3,2
1982,10115,0,total,20,2.7033437694994973,3,1
1982,10115,0,total,21,2.557254668236956,6,3
1982,10115,0,total,21,2.557254668236956,6,2
1982,10115,0,total,22,2.829894659072857,10,3
1982,10115,0,total,22,2.829894659072857,10,3
1982,10115,0,total,23,4.340151481513806,10,3
1982,10115,0,total,23,4.340151481513806,10,2
1982,10115,0,total,24,3.0317931948841057,10,2
1982,10115,0,total,24,3.0317931948841057,10,4
1982,10115,0,total,25,2.8955422695270654,9,2
1982,10115,0,total,25,2.8955422695270654,9,5
1982,10115,0,total,26,5.609535431896519,8,1
1982,10115,0,total,26,5.609535431896519,8,1
1982,10115,0,total,27,6.157658151598866,10,2
1982,10115,0,total,27,6.157658151598866,10,3
1982,10115,0,total,28,4.0349913152961,8,2
1982,10115,0,total,28,4.0349913152961,8,4
1982,10115,0,total,29,3.2850514442145347,4,3
1982,10115,0,total,29,3.2850514442145347,4,1
1982,10115,0,total,30,2.9609678541907964,8,5
1982,10115,0,total,30,2.9609678541907964,8,2
1982,10115,0,total,31,2.826776069159078,9,4
1982,10115,0,total,31,2.826776069159078,9,3
1982,10115,0,total,32,2.3045142985454685,7,4
1982,10115,0,total,32,2.3045142985454685,7,2
1982,10115,0,total,33,2.846379252477968,8,2
1982,10115,0,total,33,2.846379252477968,8,2
1982,10115,0,total,34,1.5339540085227101,8,4
1982,10115,0,total,34,1.5339540085227101,8,2
1982,10115,0,total,35,2.9301849817790644,8,3
1982,10115,0,total,35,2.9301849817790644,8,3
1982,10115,0,total,36,2.7478608696339557,10,5
1982,10115,0,total,36,2.7478608696339557,10,3
1982,10115,0,total,37,2.1882132707841273,10,3
1982,10115,0,total,37,2.1882132707841273,10,3
1982,10115,0,total,38,3.2099717217905157,9,2
1982,10115,0,total,38,3.2099717217905157,9,4
1982,10115,0,total,39,2.8419035830753887,10,4
1982,10115,0,total,39,2.8419035830753887,10,4
1982,10115,0,total,40,1.6207938848778154,10,4
1982,10115,0,total,40,1.6207938848778154,10,3
1982,10115,0,total,41,1.2656896179913995,7,1
1982,10115,0,total,41,1.2656896179913995,7,3
1982,10115,0,total,42,1.3789053196954437,10,3
1982,10115,0,total,42,1.3789053196954437,10,2
1982,10115,0,total,43,3.7027424135582647,8,2
1982,10115,0,total,43,3.7027424135582647,8,3
1982,10115,0,total,44,3.351215974465794,5,1
1982,10115,0,total,44,3.351215974465794,5,2
1982,10115,0,total,45,5.093676072540296,9,1
1982,10115,0,total,45,5.093676072540296,9,5
1982,10115,0,total,46,4.582411803584215,7,2
1982,10115,0,total,46,4.582411803584215,7,4
1982,10115,0,total,47,4.081957646362429,6,3
1982,10115,0,total,47,4.081957646362429,6,1
1982,10115,0,total,48,1.1757005189502616,6,2
1982,10115,0,total,48,1.1757005189502616,6,3
1982,10115,0,total,49,2.4917468205389497,4,4
1982,10115,0,total,50,1.0477354076964847,5,3
1982,10115,0,total,50,1.0477354076964847,5,2
1982,10115,0,total,51,2.4540673400266075,2,2
1982,10115,0,total,52,1.01362404377734,2,1
1982,10115,0,total,52,1.01362404377734,2,1
1982,10115,0,total,53,0.9448938657158436,1,1
1982,10115,0,total,54,0.9941595743449632,1,1
1982,10115,1,male,14,1.9108967247179232,1,1
1982,10115,1,male,15,3.101299795215009,5,1
1982,10115,1,male,16,2.632218575158726,5,4
1982,10115,1,male,17,2.895758908115258,5,4
1982,10115,1,male,18,3.114125940100674,6,5
1982,10115,1,male,19,3.410333098105765,3,3
1982,10115,1,male,20,1.8111939759015323,2,2
1982,10115,1,male,21,1.933258257501115,3,3
1982,10115,1,male,22,2.5611376470234424,6,3
1982,10115,1,male,23,2.4202043153189727,5,3
1982,10115,1,male,24,2.379312904659807,4,2
1982,10115,1,male,25,1.9306565274584155,2,2
1982,10115,1,male,26,2.8135874909473766,5,1
1982,10115,1,male,27,2.504068986101466,5,2
1982,10115,1,male,28,2.9877383818389567,3,2
1982,10115,1,male,29,3.6638307604230578,3,3
1982,10115,1,male,30,3.643303232797163,5,5
1982,10115,1,male,31,2.003408329461135,5,4
1982,10115,1,male,32,2.4850021705260654,4,4
1982,10115,1,male,33,1.990280525162632,5,2
1982,10115,1,male,34,1.2662823433527632,4,4
1982,10115,1,male,35,2.575036859973756,4,3
1982,10115,1,male,36,3.5274151079810014,5,5
1982,10115,1,male,37,2.0363280887156026,5,3
1982,10115,1,male,38,3.3838595296502305,5,2
1982,10115,1,male,39,2.342924895420359,4,4
1982,10115,1,male,40,1.881390590521936,5,4
1982,10115,1,male,41,1.1553578013320838,2,1
1982,10115,1,male,42,1.2370640488821996,5,3
1982,10115,1,male,43,2.5944976067749703,3,2
1982,10115,1,male,44,1.161954811098658,2,1
1982,10115,1,male,45,2.5934470587819263,3,1
1982,10115,1,male,46,3.0784246184837016,2,2
1982,10115,1,male,47,3.5784585467999457,4,3
1982,10115,1,male,48,0.9858611010483426,2,2
1982,10115,1,male,50,0.9635915771885967,3,3
1982,10115,1,male,52,0.982361029388857,1,1
1982,10115,2,female,15,2.3936820964294867,4,3
1982,10115,2,female,16,2.8317119603470533,5,2
1982,10115,2,female,17,2.377516307921167,5,4
1982,10115,2,female,18,2.9305700606459792,5,3
1982,10115,2,female,20,1.7322989295885298,1,1
1982,10115,2,female,21,2.2012642443912642,3,2
1982,10115,2,female,22,2.2671492384831256,4,3
1982,10115,2,female,23,3.723206247083934,5,2
1982,10115,2,female,24,2.2935386183346718,6,4
1982,10115,2,female,25,2.652248734588297,7,5
1982,10115,2,female,26,4.07704443577157,3,1
1982,10115,2,female,27,3.7688019290596535,5,3
1982,10115,2,female,28,4.050686388129341,5,4
1982,10115,2,female,29,1.2024865740116013,1,1
1982,10115,2,female,30,1.2921047349059969,3,2
1982,10115,2,female,31,2.641690169594762,4,3
1982,10115,2,female,32,1.372015224274384,3,2
1982,10115,2,female,33,3.098925309289004,3,2
1982,10115,2,female,34,1.3205740885027286,4,2
1982,10115,2,female,35,2.6556522424744435,4,3
1982,10115,2,female,36,1.3686365432713097,5,3
1982,10115,2,female,37,2.035969203185986,5,3
1982,10115,2,female,38,2.1438776757476483,4,4
1982,10115,2,female,39,3.0426772177724355,6,4
1982,10115,2,female,40,1.1892075498907049,5,3
1982,10115,2,female,41,1.086618989674048,5,3
1982,10115,2,female,42,1.2030762147614007,5,2
1982,10115,2,female,43,3.44473929159197,5,3
1982,10115,2,female,44,2.6320700670767083,3,2
1982,10115,2,female,45,4.093151632695114,6,5
1982,10115,2,female,46,3.7900592376995386,5,4
1982,10115,2,female,47,2.656879762605781,2,1
1982,10115,2,female,48,1.0881303567263494,4,3
1982,10115,2,female,49,2.629170628813636,4,4
1982,10115,2,female,50,0.9671803892278726,2,2
1982,10115,2,female,51,2.13419052101115,2,2
1982,10115,2,female,52,0.9713082926055553,1,1
1982,10115,2,female,53,0.9624062433189075,1,1
1982,10115,2,female,54,1.019479389702441,1,1
1982,10130,0,total,7,1.5606823762770734,1,1
1982,10130,0,total,8,1.277292576419214,1,1
1982,10130,0,total,10,1.6603034091293036,1,1
1982,10130,0,total,11,2.5395428457277003,2,1
1982,10130,0,total,11,2.5395428457277003,2,1
1982,10130,0,total,12,5.399151315297227,11,4
1982,10130,0,total,12,5.399151315297227,11,5
1982,10130,0,total,13,3.030786040229323,22,3
1982,10130,0,total,13,3.030786040229323,22,6
1982,10130,0,total,14,3.3929358312527307,17,6
1982,10130,0,total,14,3.3929358312527307,17,6
