year,species_code,sex,sex_desc,iss,nss,nhls
1984,21740,2,female,1524.0912544786436,23002,299
1984,21740,4,total_post,1930.556550406326,51847,330
1984,21740,12,female_male,2777.131753488729,44243,312
1985,10110,0,total_pre,1497.1112251517438,5550,104
1985,10110,1,male,638.4927577621844,2103,99
1985,10110,2,female,1009.8315948770753,3445,102
1985,10110,4,total_post,1497.1112674352612,5550,104
1985,10110,12,female_male,1643.179546033986,5548,104
1985,10115,0,total_pre,80.63774452176118,200,46
1985,10115,1,male,38.296389862524606,72,28
1985,10115,2,female,48.62656535354321,100,31
1985,10115,4,total_post,80.63773833898269,200,46
1985,10115,12,female_male,86.41525163774709,172,38
1985,10130,0,total_pre,2077.8827801809894,13706,192
1985,10130,1,male,1278.793301420369,6827,187
1985,10130,2,female,1481.8125318250688,6877,188
1985,10130,4,total_post,2077.882780315335,13706,192
1985,10130,12,female_male,2712.4253195731285,13704,192
1985,10210,0,total_pre,1516.4414044939488,33824,261
1985,10210,1,male,950.390483734226,11196,218
1985,10210,2,female,1493.7837295067475,22628,259
1985,10210,4,total_post,1516.4414049434192,33824,261
1985,10210,12,female_male,2240.256206842646,33824,261
1985,10285,0,total_pre,1936.7996247912804,10914,168
1985,10285,1,male,1216.4343380829898,5171,142
1985,10285,2,female,1244.7916522887529,5742,168
1985,10285,4,total_post,1936.7996364102187,10914,168
1985,10285,12,female_male,1805.8197225670312,10913,168
1985,21720,0,total_pre,884.0720871488994,16921,345
1985,21720,1,male,689.6099009680219,7522,329
1985,21720,2,female,756.6216227709996,7177,325
1985,21720,4,total_post,884.0720858674914,16921,345
1985,21720,12,female_male,1443.1098859724627,14699,331
1985,21740,0,total_pre,286.1660877805345,209638,346
1985,21740,1,male,1537.4227003791461,40059,306
1985,21740,2,female,1923.5328706901255,46746,316
1985,21740,4,total_post,286.1660876072841,209638,346
1985,21740,12,female_male,3401.441543873933,86805,326
1986,10110,0,total_pre,997.3689441930571,5812,133
1986,10110,1,male,501.7311589737395,2208,122
1986,10110,2,female,725.9520974835582,3600,126
1986,10110,4,total_post,997.3689389982753,5812,133
1986,10110,12,female_male,1217.3238331203124,5808,131
1986,10115,0,total_pre,94.45807522380458,195,53
1986,10115,1,male,47.413529990155354,80,30
1986,10115,2,female,45.50130744004835,60,26
1986,10115,4,total_post,94.45807580722641,195,53
1986,10115,12,female_male,90.02991824011555,140,38
1986,10130,0,total_pre,1630.7202761419035,13561,259
1986,10130,1,male,984.4467371010655,6692,247
1986,10130,2,female,1140.5104866668944,6844,256
1986,10130,4,total_post,1630.7202883386717,13561,259
1986,10130,12,female_male,2082.73768167346,13536,259
1986,10210,0,total_pre,2152.8871029767834,30470,249
1986,10210,1,male,973.2886782396115,11075,218
1986,10210,2,female,2230.1256709056047,19395,248
1986,10210,4,total_post,2152.887102794267,30470,249
1986,10210,12,female_male,2576.2581702687708,30470,249
1986,10285,0,total_pre,1523.3711711212775,12349,236
1986,10285,1,male,1250.0053395689501,6483,186
1986,10285,2,female,968.8789035460748,5866,230
1986,10285,4,total_post,1523.3711596517571,12349,236
1986,10285,12,female_male,1567.5617243610284,12349,236
1986,21720,0,total_pre,2165.309391479321,15872,349
1986,21720,1,male,1310.9062712336474,7226,324
1986,21720,2,female,1430.5769908265459,7165,324
1986,21720,4,total_post,2165.3093902358664,15872,349
1986,21720,12,female_male,2725.2496280774926,14391,331
1986,21740,0,total_pre,1475.7414703592674,137690,346
1986,21740,1,male,1041.0101568361226,36163,311
1986,21740,2,female,1317.6967753379904,35186,323
1986,21740,4,total_post,1475.7414690317523,137690,346
1986,21740,12,female_male,2309.4026442566187,71349,330
1987,10110,0,total_pre,1615.8279867657038,7885,141
1987,10110,1,male,703.2018051553297,2768,133
1987,10110,2,female,1148.365198825647,5116,136
1987,10110,4,total_post,1615.8279978504058,7885,141
1987,10110,12,female_male,1822.4365260968855,7884,141
1987,10112,0,total_pre,10.982220430302021,5,1
1987,10112,1,male,8.935241503798288,3,1
1987,10112,2,female,8.188289351387859,2,1
1987,10112,4,total_post,10.982044872755518,5,1
1987,10112,12,female_male,14.019478711677893,5,1
1987,10115,0,total_pre,90.50645482552119,290,33
1987,10115,1,male,46.926204955056086,140,26
1987,10115,2,female,46.836288102508256,130,27
1987,10115,4,total_post,90.50645209041245,290,33
1987,10115,12,female_male,91.22175727051012,270,32
1987,10130,0,total_pre,1790.2286525329982,13924,192
1987,10130,1,male,1098.3887233869418,7017,184
1987,10130,2,female,1273.6643549982127,6534,190
1987,10130,4,total_post,1790.228661584027,13924,192
1987,10130,12,female_male,2318.5650562450314,13551,192
1987,10210,0,total_pre,1860.6837025466998,31241,224
1987,10210,1,male,1008.0224281606356,11536,211
1987,10210,2,female,1874.9931264002264,19705,222
1987,10210,4,total_post,1860.6837039781085,31241,224
1987,10210,12,female_male,2629.7345595066427,31241,224
1987,10285,0,total_pre,1511.42318751485,8533,172
1987,10285,1,male,1086.6931575358785,4667,146
1987,10285,2,female,925.462894912317,3866,169
1987,10285,4,total_post,1511.4231905415274,8533,172
1987,10285,12,female_male,1508.0914703879228,8533,172
1987,21720,0,total_pre,2128.7887564343923,9483,339
1987,21720,1,male,1203.7042917067604,4703,334
1987,21720,2,female,1100.944531169003,4547,332
1987,21720,4,total_post,2128.788775177391,9483,339
1987,21720,12,female_male,2299.861163336321,9250,338
1987,21740,0,total_pre,1482.576677417886,38518,329
1987,21740,1,male,1106.076886388021,17400,311
1987,21740,2,female,1203.8837813128455,16963,325
1987,21740,4,total_post,1482.5766814920726,38518,329
1987,21740,12,female_male,2280.383553774524,34363,327
1988,10110,0,total_pre,1011.9583041289329,6492,123
1988,10110,1,male,520.958880673162,2256,114
1988,10110,2,female,733.2873754150087,4234,112
1988,10110,4,total_post,1011.9582969733451,6492,123
1988,10110,12,female_male,1231.0812193384838,6490,121
1988,10112,0,total_pre,45.93145324777469,142,18
1988,10112,1,male,24.362439860262946,66,16
1988,10112,2,female,27.875806856254467,76,17
1988,10112,4,total_post,45.931457528127936,142,18
1988,10112,12,female_male,53.08978352109358,142,18
1988,10115,0,total_pre,108.20528258056362,414,58
1988,10115,1,male,51.337761595120035,191,40
