year,species_code,sex,sex_desc,iss,nss,nhl
1989,21720,2,female,89.9272427556231,334,37
1989,21720,4,total_post,144.26112176569043,703,40
1989,21720,12,female_male,197.64130869670618,697,40
1989,21740,0,total_pre,58.220442176615485,1227,38
1989,21740,1,male,45.13798570618504,530,36
1989,21740,2,female,42.49547870142615,608,36
1989,21740,4,total_post,57.22638505376118,1227,38
1989,21740,12,female_male,94.30013425614143,1138,37
1990,10210,0,total_pre,114.20114001110748,792,28
1990,10210,1,male,74.0935733104249,357,24
1990,10210,2,female,84.44738162213687,435,27
1990,10210,4,total_post,108.19200496271942,792,28
1990,10210,12,female_male,167.70360595285524,792,28
1990,21720,0,total_pre,102.67159224127882,793,72
1990,21720,1,male,85.01906141419792,400,67
1990,21720,2,female,65.07193521158581,393,69
1990,21720,4,total_post,86.00422508914133,793,72
1990,21720,12,female_male,155.3578846815784,793,72
1990,21740,0,total_pre,49.497791704794075,1257,46
1990,21740,1,male,37.389847959309705,573,46
1990,21740,2,female,29.150212100843646,623,45
1990,21740,4,total_post,48.10714832973835,1257,46
1990,21740,12,female_male,72.81750651999391,1196,46
1991,10210,0,total_pre,73.4857935704901,742,26
1991,10210,1,male,50.40473184148515,334,23
1991,10210,2,female,66.0743692625034,408,23
1991,10210,4,total_post,72.33500263268857,742,26
1991,10210,12,female_male,122.70812296969859,742,26
1991,21720,0,total_pre,124.09046405320387,659,43
1991,21720,1,male,75.26748665947613,309,40
1991,21720,2,female,77.84658333667493,350,40
1991,21720,4,total_post,108.12542334679476,659,43
1991,21720,12,female_male,169.29074774556597,659,43
1991,21740,0,total_pre,80.96190820321193,1063,46
1991,21740,1,male,45.16357888325288,515,45
1991,21740,2,female,40.40037285230881,494,40
1991,21740,4,total_post,79.52046474821036,1063,46
1991,21740,12,female_male,90.75023453013287,1009,45
1992,10130,0,total_pre,89.41287022188568,419,11
1992,10130,1,male,46.874869614455044,191,11
1992,10130,2,female,56.35167845824792,228,10
1992,10130,4,total_post,83.74979773447397,419,11
1992,10130,12,female_male,105.34940551024415,419,11
1992,10210,0,total_pre,94.03478341352393,606,16
1992,10210,1,male,54.420711760533294,248,14
1992,10210,2,female,74.81237335478308,358,16
1992,10210,4,total_post,89.4326327097729,606,16
1992,10210,12,female_male,133.0200035511222,606,16
1992,10285,0,total_pre,83.70099235227833,311,10
1992,10285,1,male,36.68504916082702,127,10
1992,10285,2,female,57.70729821135479,184,10
1992,10285,4,total_post,81.04915914360176,311,10
1992,10285,12,female_male,94.61243248594351,311,10
1992,21720,0,total_pre,134.21026323270982,717,26
1992,21720,1,male,98.49259626681959,368,24
1992,21720,2,female,93.20025938400654,349,25
1992,21720,4,total_post,116.76821694172749,717,26
1992,21720,12,female_male,207.27856310209748,717,26
1992,21740,0,total_pre,87.68856037261935,1263,30
1992,21740,1,male,79.16788010684571,595,30
1992,21740,2,female,77.19971965893959,638,30
1992,21740,4,total_post,84.89700207547898,1263,30
1992,21740,12,female_male,165.7455224681674,1233,30
1993,10110,0,total_pre,42.574034106249414,209,5
1993,10110,1,male,13.430927321148003,71,5
1993,10110,2,female,30.161571927540166,138,5
1993,10110,4,total_post,42.437490276217254,209,5
1993,10110,12,female_male,46.55877984264089,209,5
1993,10130,0,total_pre,32.404699935272504,136,5
1993,10130,1,male,18.32977100735641,58,4
1993,10130,2,female,20.4231279876669,78,5
1993,10130,4,total_post,32.25631697264927,136,5
1993,10130,12,female_male,39.598976490819354,136,5
1993,10210,0,total_pre,56.724086299236895,549,20
1993,10210,1,male,32.15539227985456,192,15
1993,10210,2,female,49.46368416055476,357,20
1993,10210,4,total_post,52.05557218377384,549,20
1993,10210,12,female_male,85.00426751917045,549,20
1993,10285,0,total_pre,46.38300961255837,183,4
1993,10285,1,male,21.50689957427159,83,4
1993,10285,2,female,31.14831796631173,100,4
1993,10285,4,total_post,42.89601253508525,183,4
1993,10285,12,female_male,49.36412931920032,183,4
1993,21720,0,total_pre,145.07986842732637,635,32
1993,21720,1,male,69.30214666029036,271,29
1993,21720,2,female,85.80833400233949,316,29
1993,21720,4,total_post,113.02053647493314,635,32
1993,21720,12,female_male,160.83687473883103,587,29
1993,21740,0,total_pre,94.19412042109577,1385,33
1993,21740,1,male,72.37728775950333,649,33
1993,21740,2,female,66.93915607885242,704,33
1993,21740,4,total_post,89.72988968174785,1385,33
1993,21740,12,female_male,151.4865605068885,1353,33
1994,10110,0,total_pre,37.194555113921545,125,3
1994,10110,1,male,8.542926208146746,40,3
1994,10110,2,female,27.085014015981965,85,3
1994,10110,4,total_post,36.640352090894865,125,3
1994,10110,12,female_male,39.39613198248993,125,3
1994,10130,0,total_pre,82.08179587477522,371,7
1994,10130,1,male,43.300673451931374,166,7
1994,10130,2,female,59.767430785398076,204,7
1994,10130,4,total_post,76.80521470458233,371,7
1994,10130,12,female_male,102.1101007444814,370,7
1994,10210,0,total_pre,74.40585436633027,522,14
1994,10210,1,male,48.13043912834839,231,14
1994,10210,2,female,53.45132462963199,291,14
1994,10210,4,total_post,70.72564346142805,522,14
1994,10210,12,female_male,106.16580050499364,522,14
1994,10285,0,total_pre,59.661067891192914,228,6
1994,10285,1,male,31.59248317296682,104,6
1994,10285,2,female,34.770156705580746,124,6
1994,10285,4,total_post,58.04885281590015,228,6
1994,10285,12,female_male,68.35469185593935,228,6
1994,21720,0,total_pre,95.10130987845736,715,22
1994,21720,1,male,58.367225982062386,338,22
1994,21720,2,female,75.41844356332672,377,22
1994,21720,4,total_post,90.80171989027681,715,22
1994,21720,12,female_male,145.76499797837621,715,22
1994,21740,0,total_pre,96.71869306613927,1141,23
1994,21740,1,male,46.074323557351335,501,21
1994,21740,2,female,74.94656147605833,603,22
1994,21740,4,total_post,89.5584842581252,1141,23
1994,21740,12,female_male,120.00661664484971,1104,22
1995,10130,0,total_pre,89.922391416428,395,10
1995,10130,1,male,51.87754122727833,179,9
1995,10130,2,female,57.44591532192921,216,10
1995,10130,4,total_post,98.67620232993572,395,10
1995,10130,12,female_male,110.14824128437986,395,10
1995,10210,0,total_pre,82.61039856761626,647,20
1995,10210,1,male,50.99288233149558,272,19
1995,10210,2,female,67.92702812327977,375,20
1995,10210,4,total_post,79.29539057004358,647,20
1995,10210,12,female_male,123.27965887652545,647,20
1995,10285,0,total_pre,80.33412869866785,285,11
1995,10285,1,male,30.81049182062168,112,10
1995,10285,2,female,59.83808345958545,173,11
1995,10285,4,total_post,71.78334460755681,285,11
1995,10285,12,female_male,87.06296231145002,285,11
1995,21720,0,total_pre,74.55030677055838,571,27
1995,21720,1,male,48.655874429785484,269,27
1995,21720,2,female,60.02931688751146,301,26
1995,21720,4,total_post,72.77782432416898,571,27
1995,21720,12,female_male,122.17023129950984,570,27
1995,21740,0,total_pre,108.98537930582233,1156,26
1995,21740,1,male,77.4024596195939,551,25
1995,21740,2,female,97.27036722372867,581,24
1995,21740,4,total_post,106.34231880279258,1156,26
1995,21740,12,female_male,166.7437479554896,1132,25
1996,10110,0,total_pre,47.34910828950168,211,4
1996,10110,1,male,19.890972192213834,72,4
1996,10110,2,female,35.9754166516874,137,4
1996,10110,4,total_post,47.23157678379547,211,4
1996,10110,12,female_male,53.93281675561446,209,4
1996,10210,0,total_pre,105.55778608928321,721,16
1996,10210,1,male,79.04752304977521,338,16
1996,10210,2,female,68.60966910971672,383,15
1996,10210,4,total_post,97.74202971257998,721,16
1996,10210,12,female_male,149.09490383673148,721,16
1996,10261,0,total_pre,115.68009833913005,496,14
1996,10261,1,male,58.805576419989094,215,14
1996,10261,2,female,77.35891667672222,281,13
1996,10261,4,total_post,103.90857727591487,496,14
1996,10261,12,female_male,138.8941011546876,496,14
1996,21720,0,total_pre,99.88557270515842,711,21
1996,21720,1,male,68.71785877284655,364,21
1996,21720,2,female,68.62483595569178,347,21
1996,21720,4,total_post,89.74600509208034,711,21
1996,21720,12,female_male,150.39910979785412,711,21
1996,21740,0,total_pre,244.8785852142048,1387,28
1996,21740,1,male,123.09793878847383,587,28
1996,21740,2,female,127.4883543966677,711,28
1996,21740,4,total_post,231.58494926936956,1387,28
1996,21740,12,female_male,262.2637892126944,1298,28
1997,10210,0,total_pre,97.86804188078905,466,11
1997,10210,1,male,63.23895860012891,223,11
1997,10210,2,female,63.45665303949587,231,11
1997,10210,4,total_post,96.02656498751337,466,11
1997,10210,12,female_male,131.39484783383537,454,11
1997,10261,0,total_pre,71.21912920348429,336,10
1997,10261,1,male,33.30492678729555,129,10
1997,10261,2,female,55.55050291241764,207,10
1997,10261,4,total_post,67.24692468997556,336,10
1997,10261,12,female_male,88.43675021795706,336,10
1997,21720,0,total_pre,122.14732459566865,719,36
1997,21720,1,male,79.93546079678559,353,33
1997,21720,2,female,70.50037755904762,347,36
1997,21720,4,total_post,86.45799508059783,719,36
1997,21720,12,female_male,157.61478579077763,700,36
1997,21740,0,total_pre,78.46963387668534,1193,35
1997,21740,1,male,52.97610018253438,524,31
1997,21740,2,female,58.904984899157114,579,34
1997,21740,4,total_post,75.72412552210209,1193,35
1997,21740,12,female_male,120.49457705802674,1103,35
1998,10110,0,total_pre,63.077502293852056,275,8
1998,10110,1,male,20.56516857678916,75,6
1998,10110,2,female,49.848015357200666,200,8
1998,10110,4,total_post,57.10893542458038,275,8
1998,10110,12,female_male,67.92647262972451,275,8
1998,10115,0,total_pre,28.285007006221672,127,21
1998,10115,1,male,11.960054182349078,63,16
1998,10115,2,female,11.01474511204636,58,20
1998,10115,4,total_post,20.95725314984456,127,21
1998,10115,12,female_male,22.069237859013917,121,21
1998,10210,0,total_pre,154.2049260586528,570,15
1998,10210,1,male,83.26687812368725,244,14
1998,10210,2,female,89.80030701889979,326,15
1998,10210,4,total_post,138.98008605696356,570,15
1998,10210,12,female_male,178.0538014591138,570,15
1998,10261,0,total_pre,93.36492543123542,405,22
1998,10261,1,male,43.684830141659944,166,14
1998,10261,2,female,53.56278754975439,233,20
1998,10261,4,total_post,82.68593087423649,405,22
1998,10261,12,female_male,101.1992549651221,399,22
1998,10285,0,total_pre,106.98522440766925,416,14
1998,10285,1,male,52.22318945433346,180,14
1998,10285,2,female,65.65892948685958,236,13
1998,10285,4,total_post,99.69107516918015,416,14
1998,10285,12,female_male,118.65350557562935,416,14
1998,21720,0,total_pre,72.41166170921191,635,31
1998,21720,1,male,59.67715551979969,292,27
1998,21720,2,female,52.813207112715524,325,30
1998,21720,4,total_post,82.35041933084267,635,31
1998,21720,12,female_male,122.61881419135462,617,31
1998,21740,0,total_pre,63.70438950287379,1233,32
1998,21740,1,male,41.881502380656464,558,31
1998,21740,2,female,48.158803353539426,602,30
1998,21740,4,total_post,63.59113946243078,1233,32
1998,21740,12,female_male,95.94368707218612,1160,31
1999,10130,0,total_pre,117.01347179089197,413,18
1999,10130,1,male,56.668637610516576,187,16
1999,10130,2,female,61.14520181725412,226,18
1999,10130,4,total_post,99.45191544712182,413,18
1999,10130,12,female_male,119.80682097648983,413,18
1999,10210,0,total_pre,144.67842051018405,770,31
1999,10210,1,male,95.92305310224204,353,30
1999,10210,2,female,92.1954987155169,417,30
1999,10210,4,total_post,136.37938286213856,770,31
1999,10210,12,female_male,195.07080904656732,770,31
1999,10261,0,total_pre,88.09219112747432,484,26
1999,10261,1,male,37.48864654248179,194,24
1999,10261,2,female,57.752875630393675,282,25
1999,10261,4,total_post,72.1303955335005,484,26
1999,10261,12,female_male,92.46015982701994,476,26
1999,21720,0,total_pre,170.76226006225434,860,45
1999,21720,1,male,122.63795577780303,404,44
1999,21720,2,female,104.95427115950083,446,44
1999,21720,4,total_post,171.58657294424455,860,45
1999,21720,12,female_male,251.86046255448974,850,45
1999,21740,0,total_pre,102.95483501560682,1364,52
1999,21740,1,male,99.42950084819293,627,50
1999,21740,2,female,48.534996032247875,656,50
1999,21740,4,total_post,97.17097099264436,1364,52
1999,21740,12,female_male,134.14600693078376,1283,50
2000,10130,0,total_pre,108.7253006474581,453,19
2000,10130,1,male,47.92749319694812,204,18
2000,10130,2,female,69.05799685113105,248,19
2000,10130,4,total_post,94.6622460913225,453,19
2000,10130,12,female_male,115.7767065528919,452,19
2000,10210,0,total_pre,140.12717916852418,511,20
2000,10210,1,male,66.64067415148969,204,18
2000,10210,2,female,89.2465320384244,307,19
2000,10210,4,total_post,133.00430598584316,511,20
2000,10210,12,female_male,161.68225442140158,511,20
2000,10261,0,total_pre,94.67424418944506,403,23
2000,10261,1,male,39.666766837678495,157,22
2000,10261,2,female,59.45138117671338,246,23
2000,10261,4,total_post,77.82940511058298,403,23
2000,10261,12,female_male,98.83544533731232,403,23
2000,10285,0,total_pre,90.80420132834892,359,16
2000,10285,1,male,33.22506921824179,128,12
2000,10285,2,female,71.314332908995,231,16
2000,10285,4,total_post,80.119025888324515,359,16
2000,10285,12,female_male,94.85220762162173,359,16
2000,21720,0,total_pre,140.66264099801487,860,38
2000,21720,1,male,108.10216289357577,414,36
2000,21720,2,female,83.55768469239176,434,37
2000,21720,4,total_post,121.56093570176408,860,38
2000,21720,12,female_male,204.40596724968057,848,38
2000,21740,0,total_pre,87.67988385176217,1545,54
2000,21740,1,male,74.2073354082552,690,48
2000,21740,2,female,49.074275066432435,805,51
2000,21740,4,total_post,86.44263557018309,1545,54
2000,21740,12,female_male,127.91384181821488,1495,51
2001,10130,0,total_pre,169.8278962521663,536,21
2001,10130,1,male,75.3626854708229,254,20
2001,10130,2,female,92.88789158890428,282,20
2001,10130,4,total_post,143.42348596839597,536,21
2001,10130,12,female_male,169.47070562246392,536,21
2001,10210,0,total_pre,151.6968052467411,593,25
2001,10210,1,male,74.86922654447078,242,24
2001,10210,2,female,99.64008844435384,351,25
2001,10210,4,total_post,136.5872728234966,593,25
2001,10210,12,female_male,180.5606733286488,593,25
2001,10261,0,total_pre,108.93838174291935,411,24
2001,10261,1,male,43.14707989742246,185,21
2001,10261,2,female,53.60868010810873,226,22
2001,10261,4,total_post,85.247799610001607,411,24
2001,10261,12,female_male,100.47082342702572,411,24
2001,10285,0,total_pre,61.18709222584253,335,16
2001,10285,1,male,32.3264134558071,126,13
2001,10285,2,female,48.1623779456131,209,16
2001,10285,4,total_post,62.10748937131534,335,16
2001,10285,12,female_male,76.94838304831235,335,16
2001,21720,0,total_pre,205.57373517052625,920,53
2001,21720,1,male,133.36288840296942,472,52
2001,21720,2,female,109.60032484955212,448,49
2001,21720,4,total_post,167.8808352447552,920,53
2001,21720,12,female_male,263.17062638997305,920,53
2001,21740,0,total_pre,192.23488556430758,1573,59
2001,21740,1,male,135.17940788714745,725,55
2001,21740,2,female,106.65382566027522,813,57
2001,21740,4,total_post,186.10088556267144,1573,59
2001,21740,12,female_male,250.92004567718385,1538,57
2002,10130,0,total_pre,118.43770089442846,465,19
2002,10130,1,male,55.3408815621669,200,16
2002,10130,2,female,74.36963462838553,265,19
2002,10130,4,total_post,110.70757173918052,465,19
2002,10130,12,female_male,130.5378094914969,465,19
2002,10210,0,total_pre,186.69462756661338,723,32
2002,10210,1,male,97.91799687340482,304,28
2002,10210,2,female,124.01532085391925,419,32
2002,10210,4,total_post,173.18834144260398,723,32
2002,10210,12,female_male,228.79912989147022,723,32
2002,10261,0,total_pre,109.59172138354884,479,33
2002,10261,1,male,43.01335364510871,202,28
2002,10261,2,female,62.615922753144744,275,32
2002,10261,4,total_post,82.40648147500448,479,33
2002,10261,12,female_male,108.37078513829526,477,33
2002,10285,0,total_pre,93.360525552975,355,24
2002,10285,1,male,33.00165400263841,133,15
2002,10285,2,female,67.52898202124598,222,24
2002,10285,4,total_post,81.99834765230709,355,24
2002,10285,12,female_male,92.5667368446127,355,24
2002,21720,0,total_pre,160.36173312038252,870,47
2002,21720,1,male,118.2825955174045,415,43
2002,21720,2,female,99.55993225433133,447,46
2002,21720,4,total_post,152.34933519206533,870,47
2002,21720,12,female_male,236.98773525035347,862,47
2002,21740,0,total_pre,196.79738631601774,1651,68
2002,21740,1,male,113.49331390819027,702,62
2002,21740,2,female,123.46179457698945,831,63
2002,21740,4,total_post,188.73566032783054,1651,68
2002,21740,12,female_male,249.19256733083637,1533,64
2003,10115,0,total_pre,66.12540398495454,407,62
2003,10115,1,male,30.934080996356922,177,42
2003,10115,2,female,44.32131445741064,214,57
2003,10115,4,total_post,58.12095126355061,407,62
2003,10115,12,female_male,76.54614683073132,391,61
2003,10130,0,total_pre,61.40383252903667,285,36
2003,10130,1,male,34.1795118103902,127,28
2003,10130,2,female,38.25090454227672,158,32
2003,10130,4,total_post,62.29865197610341,285,36
2003,10130,12,female_male,74.01058359754664,285,36
2003,10210,0,total_pre,122.93060273878376,695,37
2003,10210,1,male,66.5086546218656,284,28
2003,10210,2,female,100.324835632866,411,35
2003,10210,4,total_post,115.48124302377126,695,37
2003,10210,12,female_male,171.0701419263012,695,37
2003,10261,0,total_pre,128.39011740077996,506,34
2003,10261,1,male,64.34143982642613,225,27
2003,10261,2,female,63.05402480257597,281,30
2003,10261,4,total_post,103.71183844145217,506,34
2003,10261,12,female_male,131.4401657166121,506,34
2003,21720,0,total_pre,237.5456788548936,1263,101
2003,21720,1,male,168.73853039990104,637,91
2003,21720,2,female,139.64694749911374,626,89
2003,21720,4,total_post,213.53717499421984,1263,101
2003,21720,12,female_male,328.9034665869652,1263,101
2003,21740,0,total_pre,130.21844596680077,1583,89
2003,21740,1,male,73.3185242624407,755,78
2003,21740,2,female,124.96832351964073,801,81
2003,21740,4,total_post,126.29938979188272,1583,89
2003,21740,12,female_male,173.25560076796117,1556,88
2004,10110,0,total_pre,170.62858112995877,550,21
2004,10110,1,male,63.55362106675599,169,18
2004,10110,2,female,107.83511435046745,381,21
2004,10110,4,total_post,144.1031140098383,550,21
2004,10110,12,female_male,167.8973536948174,550,21
2004,10115,0,total_pre,25.777083057364294,280,45
2004,10115,1,male,19.601813675021656,144,34
2004,10115,2,female,18.768832035461088,135,38
2004,10115,4,total_post,27.28739637410621,280,45
2004,10115,12,female_male,38.454478677331004,279,44
2004,10130,0,total_pre,108.80248630957792,473,16
2004,10130,1,male,53.74018370801231,208,16
2004,10130,2,female,69.03998290693534,265,16
2004,10130,4,total_post,99.16066802908223,473,16
2004,10130,12,female_male,124.17190285027723,473,16
2004,10210,0,total_pre,162.36120359571595,712,26
2004,10210,1,male,78.32053301480545,281,24
2004,10210,2,female,109.25627068696997,429,26
2004,10210,4,total_post,146.65908787288066,712,26
2004,10210,12,female_male,193.77576700586502,710,26
2004,10261,0,total_pre,103.1758321081938,401,12
2004,10261,1,male,38.98279816913344,179,12
2004,10261,2,female,55.93245487840218,204,12
2004,10261,4,total_post,86.42687028863773,401,12
2004,10261,12,female_male,95.73745403071777,383,12
2004,21720,0,total_pre,183.5164989047052,995,50
2004,21720,1,male,120.20179762784491,506,48
2004,21720,2,female,119.47319567396568,468,50
2004,21720,4,total_post,160.6384548169062,995,50
2004,21720,12,female_male,255.0398489712213,974,50
2004,21740,0,total_pre,203.22771422863894,1632,59
2004,21740,1,male,111.74434007707316,768,56
2004,21740,2,female,135.92596745780017,807,57
2004,21740,4,total_post,188.55703460648198,1632,59
2004,21740,12,female_male,255.73834698937554,1575,57
2005,10115,0,total_pre,43.58436537852104,277,56
2005,10115,1,male,21.64418556154642,126,40
2005,10115,2,female,27.233174118616745,149,44
2005,10115,4,total_post,38.83028398879069,277,56
2005,10115,12,female_male,49.98816009292161,275,55
2005,10130,0,total_pre,113.57977014400268,531,18
2005,10130,1,male,52.21053433978042,243,18
2005,10130,2,female,84.54603708879219,287,18
2005,10130,4,total_post,104.32689751585896,531,18
2005,10130,12,female_male,132.92986908800646,530,18
2005,10210,0,total_pre,131.83307072229198,653,35
2005,10210,1,male,62.10635675326076,273,33
2005,10210,2,female,105.94281816006233,379,34
2005,10210,4,total_post,120.27085033018902,653,35
2005,10210,12,female_male,170.30915260448484,652,35
2005,10261,0,total_pre,114.23982382488701,407,19
2005,10261,1,male,50.11320619134671,162,16
2005,10261,2,female,84.7633493877914,242,19
2005,10261,4,total_post,99.35131950717577,407,19
2005,10261,12,female_male,127.58337104918077,404,19
2005,10285,0,total_pre,83.65928847484021,337,20
2005,10285,1,male,30.29570823176873,138,17
2005,10285,2,female,62.17358869846127,199,20
2005,10285,4,total_post,75.22468471468261,337,20
2005,10285,12,female_male,86.57973236171739,337,20
2005,21720,0,total_pre,166.1397099968848,1279,80
2005,21720,1,male,126.51577166144995,610,78
2005,21720,2,female,117.9996627242799,664,76
2005,21720,4,total_post,157.47150428945892,1279,80
2005,21720,12,female_male,262.5429424576287,1274,80
2005,21740,0,total_pre,193.1995355571969,1594,68
2005,21740,1,male,124.18027310008549,760,67
2005,21740,2,female,107.50886633502678,774,66
2005,21740,4,total_post,191.66886493740472,1594,68
2005,21740,12,female_male,250.7898582125855,1534,68
2006,10115,0,total_pre,28.957669536337434,239,48
2006,10115,1,male,18.013736211626284,104,41
2006,10115,2,female,14.072811202124264,133,38
2006,10115,4,total_post,24.727327255896924,239,48
2006,10115,12,female_male,31.894737890776963,237,46
2006,10130,0,total_pre,151.17184473515215,508,27
2006,10130,1,male,73.29764921256064,229,26
2006,10130,2,female,91.2051523055767,277,26
2006,10130,4,total_post,135.70425266065456,508,27
2006,10130,12,female_male,167.62497103671382,506,27
2006,10210,0,total_pre,121.52964091222843,426,39
2006,10210,1,male,63.31383339882158,186,31
2006,10210,2,female,65.5073753014109,240,34
2006,10210,4,total_post,110.80482400889257,426,39
2006,10210,12,female_male,132.84134546233506,426,39
2006,10261,0,total_pre,130.0397188414893,539,44
2006,10261,1,male,72.98862466968278,246,32
2006,10261,2,female,87.82747443669463,284,39
2006,10261,4,total_post,124.53117069477474,539,44
2006,10261,12,female_male,166.7345753753897,530,43
2006,10285,0,total_pre,87.78257756464244,362,18
2006,10285,1,male,40.98523167316392,149,16
2006,10285,2,female,61.575734416257696,213,18
2006,10285,4,total_post,82.38395423224199,362,18
2006,10285,12,female_male,100.37850384496426,362,18
2006,21720,0,total_pre,380.5925978967917,1300,111
2006,21720,1,male,227.29062297414802,617,97
2006,21720,2,female,215.84836763201926,656,106
2006,21720,4,total_post,312.49967933660156,1300,111
2006,21720,12,female_male,466.2691751024066,1273,111
2006,21740,0,total_pre,350.7348671381934,1535,279
2006,21740,1,male,182.39584267979748,598,225
