year,species_code,sex,bias
1982,10110,0,5.256444461246687e-19
1982,10110,1,-8.837508405957425e-19
1982,10110,2,2.24000260164458e-19
1982,10110,3,-1.0408340855860843e-17
1982,10110,4,8.441288342922856e-19
1982,10110,12,-1.3145223124787503e-5
1982,10115,0,-8.352372291740182e-19
1982,10115,1,-1.9743892193683395e-18
1982,10115,2,-3.358900848092347e-19
1982,10115,3,0
1982,10115,4,-1.168529008123266e-18
1982,10115,12,-6.60473354907048e-5
1982,10130,0,1.1216329617736944e-18
1982,10130,1,1.5271762029581534e-18
1982,10130,2,-1.045684463726151e-18
1982,10130,3,-2.6688053476566264e-19
1982,10130,4,-3.6527287477785447e-19
1982,10130,12,-6.410690577387926e-6
1982,10210,0,-1.22407406048605e-18
1982,10210,1,1.92625257299125e-18
1982,10210,2,-1.878766134395997e-18
1982,10210,3,1.850371707708594e-17
1982,10210,4,4.493732688591235e-19
1982,10210,12,-6.387106049094639e-7
1982,10285,0,-9.84816973341e-19
1982,10285,1,3.9377620570133253e-19
1982,10285,2,1.3491893649055331e-5
1982,10285,4,-1.2769492253718164e-18
1982,10285,12,4.228165257291941e-6
1982,21720,0,8.163857551627357e-19
1982,21720,1,1.365291624611376e-19
1982,21720,2,7.31517583435808e-19
1982,21720,3,5.782411586589357e-19
1982,21720,4,7.336845383126339e-19
1982,21720,12,-4.251981997826871e-6
1982,21740,0,1.084940611465162e-18
1982,21740,1,6.286026970715837e-19
1982,21740,2,4.899639793051783e-19
1982,21740,3,3.377628580471248e-18
1982,21740,4,3.7129363460989467e-19
1982,21740,12,-1.7318725778549053e-7
1983,10110,0,8.119195814408493e-19
1983,10110,1,1.6768993601109135e-18
1983,10110,2,1.046868795791428e-18
1983,10110,3,0
1983,10110,4,-3.829204945551077e-19
1983,10110,12,-3.258359303625853e-6
1983,10112,0,-8.518731355243249e-19
1983,10112,1,5.484787460809022e-19
1983,10112,2,1.0842021724855044e-18
1983,10112,4,-1.7708635483929904e-18
1983,10112,12,-7.024636914551016e-5
1983,10115,0,4.1593937889898443e-19
1983,10115,1,1.1102230246251566e-18
1983,10115,2,-7.495136757617182e-19
1983,10115,3,2.8912057932946786e-18
1983,10115,4,6.958606670679692e-19
1983,10115,12,-4.879930144089874e-5
1983,10130,0,-4.3239015212219525e-20
1983,10130,1,-8.155986134339741e-19
1983,10130,2,1.736113478762045e-18
1983,10130,3,7.093779928548015e-18
1983,10130,4,9.131821869446362e-19
1983,10130,12,-1.782772074282674e-6
1983,10210,0,6.406392524400025e-19
1983,10210,1,-1.8894845925332055e-18
1983,10210,2,9.055723353867642e-19
1983,10210,3,1.1384122811097797e-18
1983,10210,4,8.679264266199065e-19
1983,10210,12,-3.006908776872578e-7
1983,10285,0,-1.969241119807911e-18
1983,10285,1,1.270839832177652e-18
1983,10285,2,2.710505431213761e-19
1983,10285,4,-1.975133522919245e-18
1983,10285,12,-2.4792331968372477e-6
1983,21720,0,6.008794624477248e-19
1983,21720,1,6.971287749304661e-19
1983,21720,2,-4.87281875274384e-20
1983,21720,3,4.336808689942018e-19
1983,21720,4,6.069704858886546e-19
1983,21720,12,-2.2585787740319447e-6
1983,21740,0,4.871000733604986e-19
1983,21740,1,-8.171492116883651e-19
1983,21740,2,-5.896240926518619e-19
1983,21740,3,-1.1160904716762546e-18
1983,21740,4,1.9870576525287329e-19
1983,21740,12,-6.713335022795285e-8
1984,10110,0,5.723522629304058e-19
1984,10110,1,6.667843360785853e-19
1984,10110,2,1.780555658722785e-18
1984,10110,3,0
1984,10110,4,-7.26028240503686e-21
1984,10110,12,-5.224462841724237e-6
1984,10112,0,-1.2335811384723962e-18
1984,10112,1,-1.5244539637371941e-18
1984,10112,2,-7.68797904126085e-19
1984,10112,4,1.778091562876227e-18
1984,10112,12,-1.1420343034568726e-4
1984,10115,0,4.909594743330586e-19
1984,10115,1,1.014997778497068e-18
1984,10115,2,-6.30808536718839e-19
1984,10115,4,-1.5383396862435837e-18
1984,10115,12,-1.5550388271826768e-4
1984,10130,0,-2.0102915281502062e-19
1984,10130,1,-5.1886818254663425e-19
1984,10130,2,-1.9185089661908134e-18
1984,10130,3,-2.295517703124482e-18
1984,10130,4,1.5917765824020813e-18
1984,10130,12,-1.8782961757936293e-6
1984,10210,0,-1.183349607995692e-18
1984,10210,1,1.3784231652608045e-18
1984,10210,2,-2.78183452150886e-19
1984,10210,3,0
1984,10210,4,-1.3063922887547377e-18
1984,10210,12,-1.1483926826511443e-6
1984,10285,0,-5.102684061784976e-19
1984,10285,1,8.592302216947622e-19
1984,10285,2,6.789170746754468e-19
1984,10285,4,1.6767312667508383e-18
1984,10285,12,-4.249171401678034e-8
1984,21720,0,9.19656815601495e-19
1984,21720,1,7.100278020386392e-19
1984,21720,2,-9.62077152494862e-19
1984,21720,3,-4.870569759473343e-18
1984,21720,4,4.258734348716839e-19
1984,21720,12,-7.809017791588459e-7
1984,21740,0,-3.3592868832458386e-19
1984,21740,1,-6.044166486084455e-19
1984,21740,2,-1.0657086198037856e-18
1984,21740,3,3.8803025120533843e-19
1984,21740,4,-5.295443951192661e-19
1984,21740,12,-7.096074197062806e-8
1985,10110,0,-1.0715383356347517e-18
1985,10110,1,-1.2061749168901237e-18
1985,10110,2,-3.4333068795374305e-19
1985,10110,3,0
1985,10110,4,-1.049987595730839e-18
1985,10110,12,-6.9416511042908496e-6
1985,10115,0,1.4134783878329539e-18
1985,10115,1,-6.505213034913027e-19
1985,10115,2,-1.6027336462829196e-18
1985,10115,3,1.6653345369377347e-17
1985,10115,4,1.1163266812998897e-18
1985,10115,12,-1.6204143890237425e-4
1985,10130,0,8.409020421122693e-19
1985,10130,1,-1.304140327475421e-18
1985,10130,2,1.3883076598899752e-20
1985,10130,3,0
1985,10130,4,-2.038445289920849e-18
1985,10130,12,-8.101306316026428e-7
1985,10210,0,-2.0944462682050334e-18
1985,10210,1,-8.944667923005411e-20
1985,10210,2,-1.6494222756415505e-18
1985,10210,4,-1.2723886924240599e-18
1985,10210,12,-8.329748628121139e-7
1985,10285,0,1.9237977572761085e-19
1985,10285,1,-3.256776525812227e-18
1985,10285,2,-4.5175090520229353e-20
1985,10285,3,0
1985,10285,4,6.323410841356006e-19
1985,10285,12,-9.82826243933471e-6
1985,21720,0,-5.683317839641757e-19
1985,21720,1,2.8602135800308004e-19
1985,21720,2,-4.531257992616048e-19
1985,21720,3,-7.568016480310002e-19
1985,21720,4,1.1250054800521632e-19
1985,21720,12,-6.439359282877494e-7
1985,21740,0,-8.586462147679711e-19
1985,21740,1,1.0067049789531333e-18
1985,21740,2,5.291055122574807e-19
1985,21740,3,2.446587797121895e-19
1985,21740,4,5.799055040991547e-19
1985,21740,12,-9.210513816438759e-8
1986,10110,0,-3.8735586707891204e-19
1986,10110,1,1.2609742658255323e-18
1986,10110,2,3.3128399714834856e-19
1986,10110,3,-9.25185853854297e-18
1986,10110,4,6.10110131607752e-19
1986,10110,12,-4.706842352326314e-6
1986,10115,0,-5.348730717595155e-19
1986,10115,1,5.337610695313253e-19
1986,10115,2,9.086646778926133e-19
1986,10115,3,3.4694469519536144e-19
1986,10115,4,5.782411586589357e-20
1986,10115,12,3.524839412249903e-5
1986,10130,0,-1.0269803911598806e-19
1986,10130,1,1.5255280567985143e-18
1986,10130,2,-1.179069862577986e-18
1986,10130,3,-1.2886517250113425e-17
1986,10130,4,-1.7801997337671713e-18
1986,10130,12,-2.4826417718819758e-6
1986,10210,0,8.983453115853372e-19
1986,10210,1,1.7487131814282328e-19
1986,10210,2,-1.6185462201586647e-18
1986,10210,4,-7.510507401259578e-19
1986,10210,12,-9.86556159238591e-7
1986,10285,0,-9.804096474365873e-19
1986,10285,1,-2.358139725155972e-18
1986,10285,2,-6.213312450013083e-19
1986,10285,4,-7.675358062534577e-19
1986,10285,12,-4.4544897081792e-6
1986,21720,0,-8.413860609392716e-20
1986,21720,1,-7.885106708985487e-19
1986,21720,2,-2.428161115462328e-19
1986,21720,3,2.3382191430711483e-19
1986,21720,4,3.9274094321024394e-19
1986,21720,12,-1.5180248739989526e-6
1986,21740,0,8.765933249198713e-19
1986,21740,1,4.326456065031132e-19
1986,21740,2,-6.751643153700878e-19
1986,21740,3,-3.681573463961648e-18
1986,21740,4,-1.0663072612327522e-18
1986,21740,12,-1.530265291956516e-7
1987,10110,0,1.7411551837796871e-19
1987,10110,1,1.7590050871314302e-18
1987,10110,2,5.613962096513925e-19
1987,10110,3,0
1987,10110,4,-1.3442269308019432e-18
1987,10110,12,-2.806679221142981e-6
1987,10112,0,2.7755575615628914e-17
1987,10112,1,1.850371707708594e-17
1987,10112,2,0
1987,10112,4,-6.938893903907228e-18
1987,10112,12,0.0015406030278739705
