year,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
1982,10110,0,1,17.419035812672185,3.5453425843140143,13,0
1982,10110,0,2,21.10816,0.6935969780325401,20.53,1.85
1982,10110,0,3,27.20697999999998,1.408569350379902,27.71,3.19
1982,10110,0,4,32.19534,1.3048273576479508,32.37,2.66
1982,10110,0,5,35.444680000000034,1.1988144183397356,35.11,3.27
1982,10110,0,6,38.28407999999998,1.163809545809724,39.11,3.83
1982,10110,0,7,40.796533066132255,1.697388557777243,43.01,3.73
1982,10110,0,8,42.55446680080481,2.88349721989489,47.6,4.62
1982,10110,0,9,44.55697872340429,4.049966413766666,50.32,3.27
1982,10110,0,10,46.44914364640881,6.033943743851304,NA,NA
1982,10110,0,11,50.40846666666666,6.926302337904593,NA,NA
1982,10110,0,12,44.529909909909925,7.117316845744545,NA,NA
1982,10110,0,13,46.58370967741936,6.718587193863316,NA,NA
1982,10110,0,14,46.52290322580646,6.958392594463031,NA,NA
1982,10110,0,15,47.586,3.606784348049289,NA,NA
1982,10110,0,16,47.6775,5.785270808988403,NA,NA
1982,10110,0,17,49.906666666666666,7.663650642903197,NA,NA
1982,10110,0,18,48.148,4.328916723615736,NA,NA
1982,10110,1,1,16.283344370860924,3.703202224862156,13,0
1982,10110,1,2,21.554789579158317,1.1632091505500275,20.77,1.88
1982,10110,1,3,27.34105999999999,1.7890006492581527,27.63,3.14
1982,10110,1,4,31.62593999999998,1.8257522446700798,31.24,2.74
1982,10110,1,5,34.79937875751505,1.4686782759825352,34.72,3.19
1982,10110,1,6,37.21393574297192,1.8710112426998953,38.91,4.36
1982,10110,1,7,39.57642424242427,2.0764158483116084,41.66,2.49
1982,10110,1,8,40.772593406593415,2.833202115732443,40.74,4.98
1982,10110,1,9,42.87314199395773,4.681011329579903,49,0
1982,10110,1,10,43.69350710900474,5.127295399897139,NA,NA
1982,10110,1,11,46.17909090909091,5.603121574664553,NA,NA
1982,10110,1,12,43.01276595744681,5.389651397183656,NA,NA
1982,10110,1,13,42.839999999999996,3.9529518807378077,NA,NA
1982,10110,1,14,42.76347826086957,3.9163382813026812,NA,NA
1982,10110,1,15,55,NA,NA,NA
1982,10110,1,16,51,8,NA,NA
1982,10110,1,17,52,3.4641016151377544,NA,NA
1982,10110,1,18,47,9.237604307034012,NA,NA
1982,10110,2,1,20.54083333333333,1.9859029765282865,NA,NA
1982,10110,2,2,21.261980000000015,0.8409636849703308,20.62,1.84
1982,10110,2,3,27.77438000000001,1.690300934774693,28.14,2.94
1982,10110,2,4,33.17881763527055,1.5159066914551216,33.13,2.35
1982,10110,2,5,36.118980000000015,1.549154517483029,35.84,3.39
1982,10110,2,6,38.64721442885774,1.5685842925528735,39.66,3.81
1982,10110,2,7,41.42670682730924,2.3044368888388815,43.65,4.32
1982,10110,2,8,43.7323360655738,3.178624945461828,48.67,2.57
1982,10110,2,9,46.314844868735086,5.5816917623980435,50.47,3.64
1982,10110,2,10,48.3878662420382,6.716104214194227,NA,NA
1982,10110,2,11,50.67299145299147,6.632963043217182,NA,NA
1982,10110,2,12,44.640259740259744,6.418421878104579,NA,NA
1982,10110,2,13,48.51204545454545,8.094724259361472,NA,NA
1982,10110,2,14,49.88444444444444,6.783706296053147,NA,NA
1982,10110,2,15,48,2,NA,NA
1982,10110,2,16,46.15384615384615,3.7825510317366913,NA,NA
1982,10110,2,17,51.77125,6.618052017021323,NA,NA
1982,10110,2,18,50.272000000000006,1.2999692304050894,NA,NA
1982,10110,3,1,13.361722488038277,1.292974321359005,13,0
1982,10110,3,2,16.65828431372549,2.1392601496155215,18,0
1982,10110,3,3,17.595959595959595,1.3696356726888637,NA,NA
1982,10110,3,4,18,0,NA,NA
1982,10110,3,5,18,0,NA,NA
1982,10110,4,1,17.389068969472,3.436295841006281,13,0
1982,10110,4,2,21.35075671780516,0.727047751920274,20.679962214486586,1.85514861291547
