year,species_code,sex,sex_desc,iss,nss,nhl
1982,10110,0,total_pre,43.579438997824994,237,9
1982,10110,1,male,21.991402722004562,105,9
1982,10110,2,female,27.57266752288692,132,9
1982,10110,4,total_post,37.643397969013144,237,9
1982,10110,12,female_male,51.54925590442681,237,9
1982,10115,0,total_pre,33.27541065214311,292,11
1982,10115,1,male,17.208517178462106,141,11
1982,10115,2,female,20.507039106468476,151,11
1982,10115,4,total_post,25.40520670363461,292,11
1982,10115,12,female_male,40.10016787335054,292,11
1982,10130,0,total_pre,127.54604914681275,390,15
1982,10130,1,male,61.274529670606654,181,15
1982,10130,2,female,54.78728746681959,207,14
1982,10130,4,total_post,119.85658706610943,390,15
1982,10130,12,female_male,122.0626024524249,388,15
1982,10210,0,total_pre,182.72249625409464,744,35
1982,10210,1,male,81.28451205587588,317,31
1982,10210,2,female,116.88434744041136,419,33
1982,10210,4,total_post,164.43000426994251,744,35
1982,10210,12,female_male,203.19581204779044,736,34
1982,10285,0,total_pre,73.49673797304375,298,27
1982,10285,1,male,25.91658355531058,102,13
1982,10285,2,female,51.8930673058017,196,27
1982,10285,4,total_post,64.76609262267294,298,27
1982,10285,12,female_male,67.98292833548919,298,27
1982,21740,0,total_pre,149.62030168611227,1500,81
1982,21740,1,male,90.28935631250187,654,65
1982,21740,2,female,110.4614793183401,742,71
1982,21740,4,total_post,147.12391745125197,1500,81
1982,21740,12,female_male,225.5492966203681,1396,76
1983,10210,0,total_pre,148.1420713637264,709,37
1983,10210,1,male,72.45500141191557,303,28
1983,10210,2,female,91.32930701801236,406,35
1983,10210,4,total_post,137.02295002390534,709,37
1983,10210,12,female_male,171.27073867086176,709,37
1983,21740,0,total_pre,142.10030952905439,1931,95
1983,21740,1,male,66.45144077909738,931,88
1983,21740,2,female,85.2818471211205,990,85
1983,21740,4,total_post,135.081505976301,1931,95
1983,21740,12,female_male,166.96909409149472,1921,94
1984,10210,0,total_pre,167.87353492761864,796,56
1984,10210,1,male,70.48362558325893,329,42
1984,10210,2,female,115.74544296584004,467,49
1984,10210,4,total_post,153.3990220560534,796,56
1984,10210,12,female_male,191.9846339316625,796,56
1984,21720,0,total_pre,48.1033346832859,316,18
