year,species_code,sex,sex_desc,length,iss,nss,nhl
1982,10110,2,female,30,3.187522956194889,7,4
1982,10110,2,female,31,3.864036699675164,8,5
1982,10110,2,female,32,2.251310078042417,5,5
1982,10110,2,female,33,4.736669274650774,6,4
1982,10110,2,female,34,1.4553096798120908,3,3
1982,10110,2,female,35,5.5558938601680445,4,3
1982,10110,2,female,36,4.932456140541459,7,5
1982,10110,2,female,37,2.4301296340055605,5,5
1982,10110,2,female,38,3.7630631800922147,6,6
1982,10110,2,female,39,3.887166769993801,4,4
1982,10110,2,female,40,3.890898662885251,6,5
1982,10110,2,female,41,4.314606741573034,4,4
1982,10110,2,female,42,6.60464838024588,4,4
1982,10110,2,female,43,2.9368575624082234,5,4
1982,10110,2,female,44,1.2707581227436824,3,2
1982,10110,2,female,45,1,1,1
1982,10110,2,female,46,0.8999999999999999,1,1
1982,10110,2,female,47,2.3529411764705883,2,2
1982,10110,2,female,48,0.9411764705882353,2,2
1982,10110,2,female,49,0.6,2,2
1982,10110,2,female,51,1,1,1
1982,10110,2,female,52,1.6666666666666667,1,1
1982,10110,2,female,54,1.272727272727273,1,1
1982,10110,2,female,56,1,1,1
1982,10110,2,female,64,0.6631578947368422,1,1
1982,10115,0,total,14,NA,1,1
1982,10115,0,total,15,5.976896707348692,9,1
1982,10115,0,total,15,5.976896707348692,9,3
1982,10115,0,total,16,4.569230769230771,10,4
1982,10115,0,total,16,4.569230769230771,10,2
1982,10115,0,total,17,4.351832350463354,10,4
1982,10115,0,total,17,4.351832350463354,10,4
1982,10115,0,total,18,10.842044801838025,11,5
1982,10115,0,total,18,10.842044801838025,11,3
1982,10115,0,total,19,5.225806451612903,3,3
1982,10115,0,total,20,0.8,3,2
1982,10115,0,total,20,0.8,3,1
1982,10115,0,total,21,2.4649589173513773,6,3
1982,10115,0,total,21,2.4649589173513773,6,2
1982,10115,0,total,22,2.3781364871344097,10,3
1982,10115,0,total,22,2.3781364871344097,10,3
1982,10115,0,total,23,2.170067822376588,10,3
1982,10115,0,total,23,2.170067822376588,10,2
1982,10115,0,total,24,5.30112203501334,10,2
1982,10115,0,total,24,5.30112203501334,10,4
1982,10115,0,total,25,3.571076498422713,9,2
1982,10115,0,total,25,3.571076498422713,9,5
1982,10115,0,total,26,11.274773672620505,8,1
1982,10115,0,total,26,11.274773672620505,8,1
1982,10115,0,total,27,4.129994798529491,10,2
1982,10115,0,total,27,4.129994798529491,10,3
1982,10115,0,total,28,7.902810088253758,8,2
1982,10115,0,total,28,7.902810088253758,8,4
1982,10115,0,total,29,3.5707844905320107,4,3
1982,10115,0,total,29,3.5707844905320107,4,1
1982,10115,0,total,30,3.1116274585991777,8,5
1982,10115,0,total,30,3.1116274585991777,8,2
1982,10115,0,total,31,3.65560722688799,9,4
1982,10115,0,total,31,3.65560722688799,9,3
1982,10115,0,total,32,2.170355399170859,7,4
1982,10115,0,total,32,2.170355399170859,7,2
1982,10115,0,total,33,3.97246622624948,8,2
1982,10115,0,total,33,3.97246622624948,8,2
1982,10115,0,total,34,1.3668853955859006,8,4
1982,10115,0,total,34,1.3668853955859006,8,2
1982,10115,0,total,35,2.458036984352774,8,3
1982,10115,0,total,35,2.458036984352774,8,3
