year,species_code,sex,bias
1982,10110,0,-0.002230296010174746
1982,10110,1,-0.00443172278530626
1982,10110,2,-0.005046668373311129
1982,10110,3,-0.005510229358907312
1982,10110,4,-0.0021515025011353958
1982,10110,12,-0.002477757756708809
1982,10115,0,-0.0027467803994196886
1982,10115,1,-0.0018115911108518349
1982,10115,2,-0.007262289018775466
1982,10115,3,-0.030377829421129002
1982,10115,4,-0.003907072911974925
1982,10115,12,-0.0024154612656388207
1982,10130,0,-8.213518971643074e-4
1982,10130,1,-0.0010761078866028916
1982,10130,2,-0.0011767252209294963
1982,10130,3,-2.38064819796936e-5
1982,10130,4,-4.933563878337034e-4
1982,10130,12,-5.943535701568467e-4
1982,10210,0,-5.723250753135167e-5
1982,10210,1,-1.1714099946143684e-4
1982,10210,2,-1.3842164350075608e-4
1982,10210,3,-0.06496387446406227
1982,10210,4,-2.9447660480273024e-5
1982,10210,12,-9.323878301830164e-5
1982,10285,0,-2.855584115533036e-4
1982,10285,1,-0.005612807029683058
1982,10285,2,-0.0011964351730415757
1982,10285,4,-4.030995288047468e-4
1982,10285,12,-0.0017792555752527098
1982,21740,0,-8.775033668959136e-6
1982,21740,1,-1.8836111201476115e-5
1982,21740,2,-9.571952856731005e-6
1982,21740,3,-9.702629415682542e-5
1982,21740,4,-4.695795878742437e-6
1982,21740,12,-9.664949586075929e-6
1983,10210,0,-3.134973007285322e-4
1983,10210,1,-4.1014121267831576e-4
1983,10210,2,-1.6254995931414722e-4
1983,10210,3,-4.0408848282728405e-4
1983,10210,4,-1.2206106510499152e-4
1983,10210,12,-1.1805270038428133e-4
1983,21740,0,-7.8381981978142e-6
1983,21740,1,-2.217384773687362e-5
1983,21740,2,-2.1275552906840387e-5
1983,21740,3,-1.7178773469479669e-4
1983,21740,4,-8.172668621096414e-6
1983,21740,12,-1.2674922804084545e-5
1984,10210,0,-1.5963984557293e-4
1984,10210,1,-4.1254285690207237e-4
1984,10210,2,-7.988306842264409e-5
1984,10210,3,-0.006823240346713712
1984,10210,4,-1.8695842695330808e-4
1984,10210,12,-1.169771641923727e-4
1984,21720,0,-3.740253809930719e-4
1984,21720,1,-4.948930478973898e-4
1984,21720,2,-0.001643765755061373
1984,21720,3,-0.0031317216288827467
1984,21720,4,-2.742005590802587e-4
1984,21720,12,-3.6419572736262764e-4
1984,21740,0,-6.5705471719741024e-6
1984,21740,1,-1.1228740574619138e-5
1984,21740,2,-1.1897188732650373e-5
1984,21740,3,-8.929495179958435e-5
1984,21740,4,-7.666608345544259e-6
1984,21740,12,-5.972824161045691e-6
1985,10130,0,-2.0511031047294872e-4
1985,10130,1,-0.001476279208666306
1985,10130,2,-3.3337709190945774e-4
1985,10130,4,-2.0727067213156513e-4
1985,10130,12,-3.8036257468535733e-4
1985,10210,0,-2.3401244385718014e-4
1985,10210,1,-5.87477122334662e-4
1985,10210,2,-2.0264914008116686e-4
1985,10210,4,-2.458465421640086e-4
1985,10210,12,-1.8830300642970916e-4
1985,21740,0,-3.81913030029491e-6
1985,21740,1,-3.9360709002405e-5
1985,21740,2,-1.3173978517546329e-5
1985,21740,3,-1.110093795433879e-6
1985,21740,4,-5.092389603040234e-6
1985,21740,12,-1.4869031749316376e-5
1986,10210,0,-4.593245332937997e-4
1986,10210,1,-6.85470162735987e-4
1986,10210,2,-6.703854242891299e-4
1986,10210,4,-3.965004862110262e-4
1986,10210,12,-3.3058324732908057e-4
1986,21740,0,-2.1362699022672736e-5
1986,21740,1,-1.1880253662608821e-5
1986,21740,2,-2.3030527786401897e-4
1986,21740,3,-6.786754283201219e-6
1986,21740,4,-5.469823409058311e-5
1986,21740,12,-5.025919138905536e-5
1987,10210,0,-5.141025878645086e-4
1987,10210,1,-9.803064195605094e-4
1987,10210,2,-6.316198513086346e-4
1987,10210,4,-2.584963720863844e-4
1987,10210,12,-3.730345160219531e-4
1987,21740,0,-1.5700137915517245e-5
1987,21740,1,-2.3234808056824755e-5
1987,21740,2,-4.262579833699145e-5
1987,21740,3,-2.271799530634048e-5
1987,21740,4,-2.1095887513743697e-5
1987,21740,12,-1.6596740924452283e-5
1988,10210,0,-1.3742694455524818e-4
1988,10210,1,-9.043167072863069e-5
1988,10210,2,-5.159066166436217e-4
1988,10210,4,-2.838436973823597e-4
1988,10210,12,-2.384897665883205e-4
1988,10285,0,-0.0012479165417704182
1988,10285,1,-0.004506413839320718
1988,10285,2,-0.00498113759044971
1988,10285,4,-0.0022309687364896165
1988,10285,12,-0.0026197505197270237
1988,21720,0,-1.5495833734730604e-5
1988,21720,1,-1.5625943452150605e-4
1988,21720,2,1.6257028670669664e-4
1988,21720,3,-5.984991862890085e-4
1988,21720,4,-2.435401887797015e-5
1988,21720,12,-1.4538446318671568e-5
1988,21740,0,-3.190325865227104e-5
1988,21740,1,-3.655195805149935e-5
1988,21740,2,-4.361254813587133e-5
1988,21740,3,-6.576129741053382e-4
1988,21740,4,-1.5897065319805266e-5
1988,21740,12,-2.4057414308375632e-5
1989,10210,0,-2.739262977124441e-4
1989,10210,1,-5.424644264178039e-4
1989,10210,2,-3.493804147163739e-4
1989,10210,4,-2.7865956559470405e-4
1989,10210,12,-2.1768821170468192e-4
1989,21720,0,4.936487004899994e-4
1989,21720,1,4.085345295935966e-4
1989,21720,2,4.382936646425405e-4
1989,21720,3,-0.013811059228823069
1989,21720,4,6.043750936901204e-4
1989,21720,12,2.4322934367926522e-4
1989,21740,0,-7.890668574903703e-5
1989,21740,1,-2.0333259473188814e-4
1989,21740,2,-2.7158701920533464e-4
1989,21740,3,-7.969396206518128e-6
1989,21740,4,-6.877160437627519e-5
1989,21740,12,-1.1502514027060313e-4
1990,10210,0,-1.0646004814016863e-4
1990,10210,1,-7.96187116931367e-4
1990,10210,2,-3.5698521225894776e-4
1990,10210,3,-0.02684561630625752
1990,10210,4,-1.4315501071928487e-4
1990,10210,12,-2.9424217328522857e-4
1990,21720,0,-2.0177876479921558e-4
1990,21720,1,-2.650485928028079e-4
1990,21720,2,-8.505264734832752e-5
1990,21720,3,-0.004905411912316533
1990,21720,4,-1.0859877711246104e-4
1990,21720,12,-1.0383811462197478e-4
1990,21740,0,-1.7969188624905168e-4
1990,21740,1,-7.618037692553474e-5
1990,21740,2,-3.9697282241671323e-4
1990,21740,3,-6.901936342623416e-5
1990,21740,4,-1.8079571886117773e-4
1990,21740,12,-1.1448873311525683e-4
1991,10210,0,-1.2492490155904622e-4
1991,10210,1,-8.955011011066904e-4
1991,10210,2,-2.9686565711283463e-4
1991,10210,4,-1.660204487322749e-4
1991,10210,12,-3.454386965572982e-4
1991,21720,0,-6.817953626806083e-5
1991,21720,1,-2.919977630130382e-4
1991,21720,2,-2.595285122780832e-4
1991,21720,3,-0.008702883545354818
1991,21720,4,-1.2496641123746203e-4
1991,21720,12,-1.6978551480847055e-4
1991,21740,0,-1.1155775238987222e-4
1991,21740,1,-2.135655499585885e-4
1991,21740,2,-4.5927248713226307e-4
1991,21740,3,-2.3669626726681518e-5
1991,21740,4,-1.5528581806911873e-4
1991,21740,12,-1.7221588408964487e-4
1992,10130,0,-4.5008529650241943e-4
1992,10130,1,-0.00272978563724974
1992,10130,2,-0.0012957806126359796
1992,10130,3,-0.003393805608086779
1992,10130,4,-7.895592242773954e-4
1992,10130,12,-0.00110488141661081
1992,10210,0,-3.4475590705175215e-4
1992,10210,1,-0.0021387130603034445
1992,10210,2,-3.78981759985388e-4
1992,10210,4,-6.749730140294727e-4
1992,10210,12,-6.667437155498034e-4
1992,10285,0,-3.6953854483883115e-4
1992,10285,1,-0.002783918904030751
1992,10285,2,-0.0014901181822864862
1992,10285,4,-0.0011832120889661171
1992,10285,12,-0.0011968984796949956
1992,21720,0,2.7813595767647726e-5
1992,21720,1,-6.245766955482955e-5
1992,21720,2,1.1237674101410455e-5
1992,21720,3,-0.019925708571357205
1992,21720,4,6.703848926494601e-6
1992,21720,12,-1.8043234960175e-5
1992,21740,0,-9.480165675613442e-5
1992,21740,1,-1.4650652226435323e-4
1992,21740,2,-4.8812994023009714e-4
1992,21740,3,-2.1466525326804134e-4
1992,21740,4,-1.1701080014994879e-4
1992,21740,12,-1.6594382928397365e-4
1993,10110,0,-0.003770894437610844
1993,10110,1,-0.004021463217314086
1993,10110,2,-0.001119274806432857
1993,10110,3,-0.19817628405140025
1993,10110,4,-9.473625440303248e-4
1993,10110,12,-0.0015493278396050102
1993,10130,0,-0.003578468945132063
1993,10130,1,-0.0036753982675113207
1993,10130,2,-0.0040601446296795645
1993,10130,3,-0.031738411205823894
1993,10130,4,-0.0014443855884915342
1993,10130,12,-0.0021181894424880028
1993,10210,0,-1.64419235370521e-4
1993,10210,1,-0.0020021181701248727
1993,10210,2,-4.0921100463665644e-4
1993,10210,3,-0.001593391553286837
1993,10210,4,-3.3304254984049564e-4
1993,10210,12,-6.652108727126085e-4
1993,10285,0,-0.0029559297147958357
1993,10285,1,-0.004728529450278663
1993,10285,2,-0.0032896872940258648
1993,10285,3,-0.00393265184030944
1993,10285,4,-0.002693856719909755
1993,10285,12,-0.002032438305923037
1993,21720,0,-1.2009624064454818e-18
1993,21720,1,-6.451002926288751e-18
1993,21720,2,-7.561996964744834e-5
1993,21720,3,-0.0026688642421772296
1993,21720,4,-2.782489559369069e-5
1993,21720,12,-6.420518240132979e-6
1993,21740,0,-6.194238245643543e-5
1993,21740,1,-1.6867023877651342e-4
1993,21740,2,-8.152777502618e-5
1993,21740,3,-2.8749494960927315e-5
1993,21740,4,-3.166210966910543e-5
1993,21740,12,-5.534486910822422e-5
1994,10110,0,-0.0020390240908321608
1994,10110,1,-0.02279427637863673
1994,10110,2,-0.004440944818287376
1994,10110,3,0
1994,10110,4,-0.005710286613779801
1994,10110,12,-0.005611663516560084
1994,10130,0,-0.001688499588505366
1994,10130,1,-0.002030350464143209
1994,10130,2,-8.419764175896387e-4
1994,10130,3,-1.4544885341161062e-4
1994,10130,4,-9.862499735152361e-4
1994,10130,12,-0.0011640947173975206
1994,10210,0,-9.510526921917447e-5
1994,10210,1,-2.7629508270848776e-4
1994,10210,2,-0.0017142737706926797
1994,10210,4,-1.0059041163609729e-4
1994,10210,12,-5.907062164661457e-4
1994,10285,0,-0.0013536042348033716
1994,10285,1,-0.001323276684437844
1994,10285,2,-0.004361984741204977
1994,10285,4,-9.05427145525189e-4
1994,10285,12,-0.0016631251022249153
1994,21720,0,-6.7664071946481706e-18
1994,21720,1,-1.6041879715832045e-5
1994,21720,2,-6.619413405090878e-5
1994,21720,3,-0.0036371054282494848
1994,21720,4,-8.008736136587353e-6
1994,21720,12,-3.286666421732239e-5
1994,21740,0,-2.3682715133443465e-4
1994,21740,1,-1.6838430021172494e-4
1994,21740,2,-7.785571733670185e-4
1994,21740,3,-0.0014758882849950604
1994,21740,4,-2.3982413145653893e-4
1994,21740,12,-2.269916948326427e-4
1995,10130,0,-3.6894828993546726e-4
1995,10130,1,-0.0010283344451996897
1995,10130,2,-7.110285559687854e-4
1995,10130,3,-0.0034146742500707128
1995,10130,4,-2.901701783056648e-4
1995,10130,12,-4.436963610924712e-4
1995,10210,0,-2.3166258193829084e-4
1995,10210,1,-5.595192876469945e-4
1995,10210,2,-2.367789312734641e-4
1995,10210,4,-1.4055820336873105e-4
1995,10210,12,-2.4097472105185464e-4
1995,10285,0,-0.0010778480273922074
1995,10285,1,-0.0012749057380443379
1995,10285,2,-0.002540896837693596
1995,10285,4,-0.001204689728833212
1995,10285,12,-0.0010237657326567944
1995,21720,0,3.486126985376468e-18
1995,21720,1,-1.527504140179083e-4
1995,21720,2,1.4164130464143409e-5
1995,21720,3,-0.001073471391430443
1995,21720,4,6.892745206305081e-6
1995,21720,12,-1.4954787884115623e-5
1995,21740,0,-3.778356728102077e-5
1995,21740,1,-6.529262026673195e-5
1995,21740,2,-6.037368269982505e-5
1995,21740,3,-1.299455012387435e-4
1995,21740,4,-3.444080806032341e-5
1995,21740,12,-4.18192179906772e-5
1996,10110,0,-8.675737665139159e-4
1996,10110,1,-0.0036449936070187617
1996,10110,2,-0.0013659790566348112
1996,10110,3,-0.03397646887509064
1996,10110,4,-0.0010740181399437562
1996,10110,12,-0.0019860007883084896
1996,10210,0,-1.2790470526569475e-4
1996,10210,1,-1.7270534842669396e-4
1996,10210,2,-1.9684340362677408e-4
1996,10210,3,-1.3828016057249067e-4
1996,10210,4,-9.247311185085343e-5
1996,10210,12,-1.1319677891285578e-4
1996,10261,0,-7.581325567627877e-5
1996,10261,1,-3.195240084748316e-4
1996,10261,2,-1.325295507459315e-4
1996,10261,3,-4.459514626121855e-4
1996,10261,4,-6.238808737003268e-5
1996,10261,12,-1.0354896359658557e-4
1996,21720,0,-3.707829202183373e-5
1996,21720,1,-2.3739437616205632e-4
1996,21720,2,2.856566410670421e-5
1996,21720,3,-3.8163916471489756e-17
1996,21720,4,-2.9751447384112294e-5
1996,21720,12,-4.08622105305497e-5
1996,21740,0,-6.350422114428936e-5
1996,21740,1,-1.0050132122052755e-4
1996,21740,2,-8.007056008409344e-5
1996,21740,3,-1.198553895885365e-4
1996,21740,4,-4.7316464503044405e-5
1996,21740,12,-4.563755575655551e-5
1997,10210,0,-2.7640883716398566e-4
1997,10210,1,-9.570054284555625e-4
1997,10210,2,-6.354056784516035e-4
1997,10210,3,-0.017323992177464966
1997,10210,4,-3.8612358759407137e-4
1997,10210,12,-3.963417681617674e-4
1997,10261,0,-4.255402789450523e-4
1997,10261,1,-0.0010595239314919402
1997,10261,2,-7.031608409805085e-4
1997,10261,3,-2.146696826066361e-4
1997,10261,4,-3.497521319509233e-4
1997,10261,12,-6.768802078303406e-4
1997,21720,0,-1.8760534037921586e-4
1997,21720,1,-5.398196101738626e-4
1997,21720,2,-8.399563603177541e-5
1997,21720,3,-1.9560391754880072e-4
1997,21720,4,-1.4170687665144747e-4
1997,21720,12,-1.233883906138929e-4
1997,21740,0,-2.7183735911300682e-5
1997,21740,1,-9.076826479263485e-5
1997,21740,2,-3.495482921315586e-5
1997,21740,3,-1.7678517527940709e-6
1997,21740,4,-3.0186444333741854e-5
1997,21740,12,-3.187877556576232e-5
1998,10110,0,-0.0011808396523355102
1998,10110,1,-0.004903339051782276
1998,10110,2,-0.001852553824905886
1998,10110,3,-0.1288363916591911
1998,10110,4,-0.0015103242328041043
1998,10110,12,-0.002968320631380823
1998,10115,0,-0.0055442496837038386
1998,10115,1,-0.014079733820318666
1998,10115,2,-0.02006674622149554
1998,10115,3,0
1998,10115,4,-0.004512003419093072
1998,10115,12,-0.008641485973987104
1998,10210,0,-1.7188289906659707e-4
1998,10210,1,-8.005806066126692e-4
1998,10210,2,-3.0417371168516526e-4
1998,10210,3,-9.138932035056383e-4
1998,10210,4,-2.3897676233478925e-4
1998,10210,12,-2.7139171053225207e-4
1998,10261,0,-1.6767032860782191e-4
1998,10261,1,-6.832709697490262e-4
1998,10261,2,-3.0629705183728525e-4
1998,10261,3,-0.001777169949852821
1998,10261,4,-1.417070601536062e-4
1998,10261,12,-1.8757493898716897e-4
1998,10285,0,-5.320165389405954e-4
1998,10285,1,-4.555561940638327e-4
1998,10285,2,-8.217936783030445e-4
1998,10285,4,-4.955759275072706e-4
1998,10285,12,-3.9093291197063955e-4
1998,21720,0,-1.6715905370535012e-4
1998,21720,1,-1.4760302515225403e-4
1998,21720,2,-1.1070245764406991e-4
1998,21720,3,-6.938893903907228e-17
1998,21720,4,-8.711928080888312e-5
1998,21720,12,-6.453209551298955e-5
1998,21740,0,-2.5649146442475853e-5
1998,21740,1,-2.732157864918698e-5
1998,21740,2,-4.695690457063772e-5
1998,21740,3,-1.1938659622881629e-4
1998,21740,4,-2.1513081021462267e-5
1998,21740,12,-1.8345951756634484e-5
1999,10130,0,-6.01230562930661e-4
1999,10130,1,-8.834387647865457e-4
1999,10130,2,-8.118036420801599e-4
1999,10130,3,-0.008511081826698874
1999,10130,4,-4.744385700668213e-4
1999,10130,12,-4.299367651586519e-4
1999,10210,0,-7.906435654124682e-5
1999,10210,1,-9.667741714942853e-5
1999,10210,2,-1.42902007224436e-4
1999,10210,3,-1.7385777849511294e-4
1999,10210,4,-7.581860550123121e-5
1999,10210,12,-7.88150823036111e-5
1999,10261,0,-1.2353534605675823e-4
1999,10261,1,-8.738784820417613e-4
1999,10261,2,-2.487387531884802e-4
1999,10261,3,-5.034238086406538e-4
1999,10261,4,-1.0886944204185179e-4
1999,10261,12,-2.3481592967424555e-4
1999,21720,0,-9.817109387066141e-5
1999,21720,1,-3.5367985276140964e-4
1999,21720,2,-2.3824165643544318e-4
1999,21720,3,-2.2126728005742238e-4
1999,21720,4,-1.4784116730290009e-4
1999,21720,12,-1.2855276786923061e-4
1999,21740,0,-1.9952785828906817e-5
1999,21740,1,-2.842102466252555e-5
1999,21740,2,-7.158963669368667e-5
1999,21740,3,-2.5625440205449823e-6
1999,21740,4,-2.6564002062065178e-5
1999,21740,12,-2.5594741315804626e-5
2000,10130,0,-8.346540320170406e-4
2000,10130,1,-4.94494930289779e-4
2000,10130,2,-7.263223632641606e-4
2000,10130,3,-0.0022229593062757093
2000,10130,4,-1.6515821996929234e-4
2000,10130,12,-2.847658873038936e-4
2000,10210,0,-2.4584112728099565e-4
2000,10210,1,-0.0020932690489032647
2000,10210,2,-3.0042334072014683e-4
2000,10210,3,-0.0022297964269847727
2000,10210,4,-3.2407731372088367e-4
2000,10210,12,-5.293775731593623e-4
2000,10261,0,-1.3231219820535904e-4
2000,10261,1,-1.2767126546071555e-4
2000,10261,2,-5.024517373906185e-4
2000,10261,4,-5.523598643290067e-5
2000,10261,12,-2.064798777768242e-4
2000,10285,0,-1.8663065921478957e-4
2000,10285,1,-0.00403004697202726
2000,10285,2,-6.452056318506758e-4
2000,10285,3,-0.0010537912956550969
2000,10285,4,-2.2560813003053503e-4
2000,10285,12,-0.0010165817044431183
2000,21720,0,-4.287374596583997e-5
2000,21720,1,7.727404574805776e-18
2000,21720,2,-1.2324400285679136e-4
2000,21720,3,1.8919327909872052e-17
2000,21720,4,-2.9073642601105122e-6
2000,21720,12,-4.6187580253109975e-5
2000,21740,0,-1.700477343702752e-5
2000,21740,1,-9.248258215748036e-5
2000,21740,2,-8.93864389381644e-6
2000,21740,3,-1.177431430943408e-6
2000,21740,4,-1.2182192223292823e-5
2000,21740,12,-2.0738738969353645e-5
2001,10130,0,-3.166190602599049e-4
2001,10130,1,-3.193077398859222e-4
2001,10130,2,-7.051181316012098e-4
2001,10130,3,-0.08662614701744854
2001,10130,4,-2.9956520004268636e-4
2001,10130,12,-2.522845849869883e-4
2001,10210,0,-2.236040130585715e-4
2001,10210,1,-6.696377096397044e-4
2001,10210,2,-3.5528369828263524e-4
2001,10210,3,-7.772967964663704e-4
2001,10210,4,-2.686910286019303e-4
2001,10210,12,-2.675107724196674e-4
2001,10261,0,-1.1222210627102746e-4
2001,10261,1,-3.899016113255891e-4
2001,10261,2,-2.4557589024485065e-4
2001,10261,4,-1.1960636025220013e-4
2001,10261,12,-1.3362761232348417e-4
2001,10285,0,-2.805807461137412e-4
2001,10285,1,-0.0020833736488211495
2001,10285,2,-4.577999538134681e-4
2001,10285,4,-6.301725032508472e-4
2001,10285,12,-6.829309145019003e-4
2001,21720,0,-4.5793526183963155e-5
2001,21720,1,-1.0589058896685465e-5
2001,21720,2,-2.6142738820870813e-4
2001,21720,3,-5.662455007919148e-4
2001,21720,4,-4.1332195113384417e-5
2001,21720,12,-5.79981604262957e-5
2001,21740,0,-2.3265171617918115e-18
2001,21740,1,-2.0141127814684156e-5
2001,21740,2,2.7940793486761853e-18
2001,21740,3,-4.378835021372755e-6
2001,21740,4,-1.1474472992138256e-18
2001,21740,12,-9.287487280610599e-6
2002,10130,0,-7.886548060143877e-4
2002,10130,1,-0.0025985474405496437
2002,10130,2,-0.0014493525393156766
2002,10130,3,-5.420796698048861e-4
2002,10130,4,-8.651549827084356e-4
2002,10130,12,-9.933260201988039e-4
2002,10210,0,-7.44157667449833e-5
2002,10210,1,-4.872239912348681e-4
2002,10210,2,-1.8113260271005618e-4
2002,10210,3,-4.348674895144844e-5
2002,10210,4,-5.830416297680857e-5
2002,10210,12,-1.7115297914916354e-4
2002,10261,0,-2.4742845215980265e-5
2002,10261,1,-8.631256660329096e-4
2002,10261,2,-5.4751545185670634e-5
2002,10261,3,-0.014013868502441554
2002,10261,4,-4.501631468334767e-5
2002,10261,12,-3.072782853960883e-4
2002,10285,0,-5.2141403013583715e-5
2002,10285,1,-8.480745080046079e-4
2002,10285,2,-1.8941701649146593e-4
2002,10285,3,-7.141738756664595e-4
2002,10285,4,-9.873229204997818e-5
2002,10285,12,-2.8904802461023136e-4
2002,21720,0,-3.5738262752700764e-5
2002,21720,1,-7.34656137224398e-5
2002,21720,2,-7.158004549011514e-5
2002,21720,3,-6.938893903907228e-18
2002,21720,4,-4.909418059461993e-5
2002,21720,12,-4.534921416008578e-5
2002,21740,0,-8.103869562348108e-7
2002,21740,1,-1.1048732131461618e-5
2002,21740,2,-3.331321956269954e-5
2002,21740,3,-6.702608539142725e-19
2002,21740,4,-5.301589953125979e-7
2002,21740,12,-1.0176299002005486e-5
2003,10115,0,-6.653499809588524e-4
2003,10115,1,-0.0019947030113874773
2003,10115,2,-0.0016091457687143727
